country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT,66402,66521,63970,63893,63503,63550,62407,62176,62307,60599,59075,58652,57518,57435,57007,56968,57295,58657,58258,59865,59764,59446,59829,60043,60921,61602,62519,63198,62257,61270,61132,61284
BE,127670,125680,126495,129048,129310,132346,132763,132656,134211,129062,89590,87281,84813,80498,75408,74164,73472,70504,68320,68756,68957,67535,67934,66555,65795,65659,65497,63720,63220,62223,62247,61629
BG,107541,88923,94570,66107,58278,46879,47542,45010,37746,42041,39762,36806,37331,38730,39890,38743,34617,34286,33438,33127,31229,31682,32814,34538,35205,35941,37430,38074,38276,38709,37778,38181
CH,63476,62156,61184,60139,59524,59031,57472,55108,54665,53974,53274,53833,53343,52467,52272,53167,53681,54452,54207,52764,52643,51847,51402,50887,51426,50811,50668,50639,50172,49309,49165,49490
CY,5455,5489,6073,6319,6347,6470,6749,6592,6610,6467,6330,6756,7170,6939,6780,6290,6480,6429,6214,6092,6000,5928,5585,5303,5531,4727,4939,4944,5123,5265,5535,5671
CZ,125723,115941,103039,91513,83017,81947,85165,83365,80351,79263,77081,76899,76893,74579,71465,70954,69760,69901,68329,63797,61963,61922,61863,64494,66671,73537,74066,72271,68690,64692,62131,61726
DE,682718,604801,600877,591155,568124,563664,569216,560679,567246,565502,563292,569650,556449,554367,539447,541606,532561,537728,538445,535483,533005,529311,534706,534259,541836,540679,535401,519420,494818,475149,435922,423157
DK,122216,118280,115291,111721,106896,101018,97586,96786,97354,93430,90183,87619,85784,84420,84180,81257,77882,76723,75989,72014,73216,70141,68799,66474,66688,67925,68348,70395,69469,65034,67909,59804
EE,19646,17862,15466,11372,10600,9068,7785,8039,8213,7204,7613,7965,7596,8194,8468,9009,9685,9205,9602,9076,9731,9738,9813,9865,10085,10061,9525,9452,9148,9056,8898,9032
EL,85008,84015,81510,75676,71409,75081,75389,74375,74026,72952,71140,69694,69397,69117,70084,67913,66868,67957,64717,59920,65093,61908,61079,61891,58788,57475,57671,57100,56907,56860,57732,56608
ES,445057,443559,452522,431844,455987,457041,495351,491576,517802,507520,541609,548377,538926,544562,518753,483223,478347,484702,433847,432400,433818,422584,420583,426961,446152,449969,451900,466878,463346,456844,470510,458219
EU27,4597853,4339784,4140205,3978918,3874622,3805147,3825323,3797194,3798811,3761162,3693342,3668088,3613061,3568429,3498945,3455453,3426499,3443207,3354032,3278779,3227117,3203558,3196411,3176570,3205979,3234830,3247561,3259410,3227283,3140650,3110094,3024985
FI,32517,30624,29724,30220,31074,30767,31333,32110,32027,30740,31199,31454,32391,33407,33299,33440,33598,33323,33088,32396,33115,32709,32633,32555,33112,32011,30685,30085,29576,29107,27678,27118
FR,635631,627784,622566,615044,609075,613167,614707,613276,611075,610747,623246,618033,605780,588276,582797,583026,573806,573002,586213,577667,563406,572720,565032,552858,562903,563049,561789,560776,558023,539922,521203,505691
HR,41628,41579,36272,33300,32245,30099,29992,32320,27799,30860,31343,34600,33053,32462,33549,31899,32756,32841,35939,27647,29094,30633,29083,23542,22855,24701,23223,26129,26556,25858,26069,26113
HU,127502,104974,89168,78771,74552,74772,74018,72936,76868,77881,80477,79477,81384,81480,79322,74147,73632,73797,67461,63029,63333,63146,61836,63469,64815,68256,69076,70057,69804,69487,70225,70181
IE,110128,112177,114960,114326,115255,115896,119987,122882,126855,124393,118482,118358,118668,118811,116084,116948,118780,112163,114195,114583,112772,109128,115511,116586,113109,118459,123854,128323,135147,124906,122784,123643
IS,4823,4669,4512,4529,4531,4388,4487,4409,4500,4478,4414,4401,4312,4263,4262,4191,4354,4459,4480,4450,4367,4398,4277,4165,4494,4505,4542,4536,4420,4356,4293,4270
IT,446642,452455,439833,443744,432445,426128,417653,425141,422247,426259,408654,406779,396519,394107,386747,373406,370778,378972,369802,356265,345094,341459,356357,337494,325012,326686,338866,329585,321292,319926,331193,320828
LI,82,81,79,75,78,77,77,76,73,73,74,75,82,83,83,87,91,95,97,98,97,100,101,97,98,99,97,96,98,100,100,99
LT,83118,81518,60515,46514,41271,38158,39413,39386,38002,35280,33090,32467,34292,35531,36272,37088,37153,38069,35861,36999,36224,35534,35246,34991,37581,37995,37378,37335,36615,36942,37765,36294
LU,5927,5950,5726,5740,5667,5832,5912,5809,5759,5782,5700,5625,5454,5324,5428,5427,5369,5479,5643,5584,5701,5570,5401,5451,5574,5603,5699,5818,5807,5714,5689,5644
LV,31401,29489,22755,15321,13565,13149,12773,12602,11842,10724,10978,12115,12170,12231,11772,11842,11956,12356,11995,12221,12410,12370,12971,13409,13686,13684,13789,14029,13590,13752,13667,13305
MT,2192,2240,2309,2317,2293,2219,2019,2041,1994,2021,2038,2003,1927,1764,1816,1647,1683,1731,1571,1512,1498,1274,1279,1313,1297,1266,1244,1187,1225,1226,1343,1292
NL,327313,341010,277957,276367,235816,198852,201337,191799,176645,175832,154003,147410,140175,137136,136324,134644,137880,134712,122249,118621,116357,114688,109671,107221,111106,112807,113155,114652,112188,107105,106121,104661
NO,27960,28038,28309,25908,25401,25396,25822,25437,25979,26722,25751,26133,26401,27545,27588,27785,27846,27993,28333,28663,28312,27947,28165,28597,28597,28742,28991,28826,28690,27870,27899,28411
PL,479133,418546,395311,365449,367445,359321,339435,343078,351461,347151,335882,323506,316452,300735,290590,307330,311073,317642,306755,294584,285879,284952,275568,281689,277041,276953,278303,292146,302739,290334,299307,278245
PT,57204,57665,57196,56755,56572,55865,56791,56041,54764,57425,59585,57301,55416,52198,53309,49230,48763,49127,48607,47818,46738,47200,46110,45086,47142,48141,48910,49553,50171,51310,52271,52106
RO,298807,242072,210883,207308,192974,195773,192161,175835,171503,161547,152717,148531,154708,156732,164185,169933,170790,170905,167054,161246,144686,144951,139755,142274,143713,148957,145576,143934,142665,140684,138842,141355
SE,54042,52221,52697,53282,54247,52889,53247,53867,53056,51208,50155,49751,49644,49349,49752,48540,47811,47700,48105,45528,46273,46244,45253,46433,46415,46474,45282,45503,45343,44759,45159,44207
SI,21839,20395,21344,19793,19697,19745,18884,18761,19011,18956,19720,19438,20391,19099,18027,18202,18335,18893,17741,18244,17647,16949,16916,16691,16934,17252,17494,17213,17277,17161,17143,17105
SK,55394,48012,41176,36018,36960,35451,35708,38056,32036,30318,30403,31541,32760,30945,28187,28577,25370,26402,24597,24304,24114,23837,24783,25123,26013,24963,25938,27634,28012,27358,23841,21885
TR,531712,551476,726263,572122,539521,508732,525057,507833,547430,565372,548844,500122,490505,514960,537207,553434,578552,544188,510868,512071,530214,554600,620068,658614,675952,648101,688406,735350,757800,781935,831451,881344
