country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AL,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,0.09
AT,13.8,14,14.5,15.4,16,16.7,16.7,17,17.4,18.5,19.5,19.6,18.62,18.4,19.35,20.3,21.25,23.37,24.08,25.33,25.69,NA 
BE,1.5,1.6,2.1,1.7,1.7,1.7,2.1,2.4,2.6,3,3.6,4.1,4.48,4.67,5,5.17,5.8,6.28,6.56,6.85,7.25,7.48
BG,NA ,NA ,NA ,NA ,NA ,0.2 e,0.1,0.3,0.3,0.2,0.5,0.5,0.76,1.13,0.96,2.37,3.2,2.72,2.56,2.34,2.3,1.71
CH,NA ,NA ,NA ,NA ,NA ,11,NA ,NA ,NA ,NA ,NA ,NA ,11.57,12.19,12.73,12.91,13.4,14.37,15.4,16.27,16.98,17.4
CY,NA ,NA ,NA ,NA ,0.6,1,1.2,1.5,1.6 e,2.6,2.8 e,2.9 e,3.38,4.03,3.63,3.72,4.94,4.61,4.55,4.98,4.63,6.27 p
CZ,NA ,NA ,NA ,7,7.2,7.1,7.2,8.2,9,10.6,12.4,13.1,13.29,13.47,13.44,13.68,14,14.09,14.76,15.19,15.33,15.55
DE,3.2,3.7,4.1,4.3,4.5,4.7,4.9,5.1,5.4,5.6,5.9,6.1,5.76,6.04,6.18,6.34,6.82,6.82,7.34 e,7.75 e,9.59 e,9.65
DK,5.9,6.3,6.5,6.3,5.8,4.9,5.1,5 e,5.6,5.9,6.1,6.1,7.31,6.44,6.25,6.33,7.81,8.6,9.75,11.09,11.45,11.58
EE,NA ,NA ,NA ,NA ,7.2 e,7.2,9.6,8.7,9.6,11,12.8,14.1,14.86,15.65,15.96,15.68,18.02,20.01,20.98,22.33,22.41,22.97
EL,0.7 e,0.7 e,2,6.4,6.5,7.6,7.6,7,7.8,8.5,8.4,5.2,9.01,7.36,6.71,7.69,6.51,7.96,9.32,10.26,10.15,NA 
ES,1.5,1.9,2.6,2.9,2.9 e,3.1,3.7,4,5.3,6.6,6.7 e,7.5,7.49,6.85,7.26,8.24,8.48,8.73,9.28,9.66,9.98,10.79
EU,3,NA ,3.8,4,NA ,3.8 e,4.1 e,4.0 e,4.3 e,4.7 e,5.1 e,5.4 e,5.66,5.7,5.78,6.2,6.68,7.02,7.47 e,7.90 e,9.09 e,NA 
EU27,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,5.88,5.91,6.08,6.56,7.09,7.47,7.99 e,8.47 e,9.09 e,NA 
EU28,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,5.64,5.7,5.78,6.2,6.68,7.02,7.47 e,7.90 e,NA ,NA 
FI,6.7,6.7,7.6 e,7.1,7.2,6.5,6.3,6.6,6.5,7.2,7.4,8.2,8.65,9.07,9.29,9.91,10.47,11.41,13.09,13.48,13.93,16.11
FR,1.2,1.4,1.7,1.9,1.8,1.9,1.7,1.9,2,1.9,2.9,3.4,3.55,3.66,3.87,4.54,5.28,5.99,7.01,7.72,8.71 e,9.67
HR,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,2.4,3.13,4.03,4.94,6.05,6.46,6.94,7.19,7.21,8.26
