freq,nutrient,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,N,T,AL	: 	: 	: 	: 	: 	13943 	18131 	18187 	20028 	16511 	17281 	14584 	14803 	13442 	15631 	16566 	17966 	17097 	17293 	17409 	17630 	17751 	18105 	: 	: 	: 	: 	: 
A,N,T,AT	: 	: 	: 	: 	: 	137849 	129022 	105899 	114228 	85434 	104981 	97489 	110948 	108502 	89132 	104762 	98161 	107895 	110626 	121562 	124078 	132031 	111884 	100096 	102812 	117321 	94319 	97561 dp
A,N,T,AT11	: 	: 	: 	: 	: 	: 	11486 	9062 	8357 	5692 	6313 	6277 	7608 	8030 	4854 	5584 	6003 	8897 	8649 	8611 	: 	: 	: 	: 	: 	: 	: 	: 
A,N,T,AT12	: 	: 	: 	: 	: 	: 	63121 	49581 	54158 	44192 	48722 	48569 	52006 	47897 	38355 	49938 	37407 	34616 	45834 	43605 	: 	: 	: 	: 	: 	: 	: 	: 
A,N,T,AT21	: 	: 	: 	: 	: 	: 	4037 	3273 	3856 	2677 	3457 	3719 	4612 	1637 	2964 	2963 	3213 	3737 	3156 	3433 	: 	: 	: 	: 	: 	: 	: 	: 
A,N,T,AT22	: 	: 	: 	: 	: 	: 	17669 	14753 	18504 	10123 	19661 	13948 	20022 	20139 	12457 	18138 	21574 	31777 	23791 	33218 	: 	: 	: 	: 	: 	: 	: 	: 
A,N,T,AT31	: 	: 	: 	: 	: 	: 	30992 	27769 	28130 	21688 	25757 	23721 	25922 	29771 	29829 	27141 	29155 	27781 	28160 	31194 	: 	: 	: 	: 	: 	: 	: 	: 
A,N,T,AT32	: 	: 	: 	: 	: 	: 	944 	929 	765 	612 	796 	1059 	566 	947 	608 	856 	692 	851 	592 	783 	: 	: 	: 	: 	: 	: 	: 	: 
A,N,T,AT33	: 	: 	: 	: 	: 	: 	512 	356 	298 	306 	152 	80 	38 	37 	8 	64 	28 	126 	126 	332 	: 	: 	: 	: 	: 	: 	: 	: 
A,N,T,AT34	: 	: 	: 	: 	: 	: 	261 	176 	160 	144 	124 	116 	174 	44 	57 	78 	89 	110 	318 	386 	: 	: 	: 	: 	: 	: 	: 	: 
A,N,T,BE	: 	: 	: 	: 	: 	162844 	150015 	155741 	146763 	149229 	139625 	139400 	146101 	141010 	146268 	149079 	144287 	142864 	149743 	153299 	150320 	160883 	155829 	149878 	153353 	152371 	152461 p	: 
A,N,T,BG	: 	: 	: 	: 	: 	144928 	167962 	155411 	140930 	164958 	159506 	152766 	177936 	173917 	177553 	199083 	192357 	235386 	258856 	322004 	341608 	365913 	351120 	339329 	352486 	364335 	342890 	: 
A,N,T,CH	: 	: 	: 	: 	: 	53000 	57100 	55700 	53200 	53600 	52400 	51400 	53900 	50800 	47900 	55500 	48900 	47200 	45700 	51600 	45800 	48500 	51600 	47900 	42000 	43000 	47400 p	40200 
A,N,T,CY	: 	: 	: 	: 	: 	10537 e	12359 e	10579 e	11198 e	10738 e	8593 e	11291 e	8198 e	7499 e	7674 e	9369 e	7138 e	8319 e	7051 e	6693 e	7533 e	8073 e	7841 e	7824 e	7824 e	: 	: 	: 
A,N,T,CZ	: 	: 	: 	: 	: 	262253 	310830 	289098 	242488 	303330 	292846 	309597 	335264 	341628 	253759 	270256 	352745 	348992 	331616 	325667 	397136 	407184 	397586 	351780 	332032 	285436 	309646 	324916 
A,N,T,CZ01	: 	: 	: 	: 	: 	: 	1272 	556 	795 	908 	868 	1064 	1190 	747 	971 	1844 	2275 	1466 	1511 	1422 	1704 	1920 	1733 	1464 	1311 	1217 	1179 	1089 
A,N,T,CZ02	: 	: 	: 	: 	: 	: 	58221 	54967 	47928 	59129 	59867 	63546 	68592 	69568 	51895 	55047 	68115 	69019 	64035 	63435 	77966 	80597 	79102 	67315 	63314 	55003 	61060 	64084 
A,N,T,CZ03	: 	: 	: 	: 	: 	: 	63969 	57815 	47579 	59229 	56080 	56525 	63427 	64892 	45158 	47253 	62905 	60591 	56921 	54703 	67419 	67952 	65298 	58771 	57300 	51152 	54097 	56167 
A,N,T,CZ04	: 	: 	: 	: 	: 	: 	18120 	19692 	15000 	17540 	18468 	19390 	19824 	22294 	16056 	17330 	22636 	23019 	21012 	21544 	26781 	29669 	28949 	25187 	24872 	19634 	20248 	19843 
A,N,T,CZ05	: 	: 	: 	: 	: 	: 	45093 	40959 	37752 	48238 	46979 	49865 	52099 	53630 	38835 	40512 	53579 	54369 	53680 	52651 	65026 	63908 	66147 	58985 	55832 	46801 	52862 	54860 
A,N,T,CZ06	: 	: 	: 	: 	: 	: 	73280 	68016 	56639 	68617 	60581 	68129 	75766 	78882 	57484 	61851 	81910 	80765 	78187 	75210 	92188 	91357 	90837 	80917 	75505 	65272 	69712 	74556 
A,N,T,CZ07	: 	: 	: 	: 	: 	: 	34551 	32206 	24606 	34432 	33769 	34458 	36883 	34646 	30779 	33008 	43336 	41896 	40005 	40099 	46860 	52621 	46957 	43197 	38427 	33971 	36176 	39334 
A,N,T,CZ08	: 	: 	: 	: 	: 	: 	16323 	14887 	12189 	15238 	16233 	16619 	17484 	16971 	12580 	13410 	17988 	17866 	16265 	16603 	19191 	19160 	18563 	15943 	15470 	12387 	14313 	14984 
A,N,T,DE	: 	: 	: 	: 	: 	2014357 	1847507 	1791693 	1787833 	1827767 	1778438 	1784996 	1599788 	1807176 	1550625 	1569045 	1786485 	1640414 	1648828 	1675289 	1822791 	1710616 	1658837 	1496649 	1342284 	1372084 	1265477 	1096787 
A,N,T,DK	: 	: 	: 	: 	: 	251581 e	233809 e	210917 e	201331 e	206864 e	206388 e	191899 e	194684 e	220674 e	200412 e	190072 e	197162 e	187000 	193600 	186800 	205300 	240726 	236492 	224387 	225240 	233475 	202178 	: 
A,N,T,EE	: 	: 	: 	: 	: 	22396 	19603 	16700 	23255 	24833 	20083 	22610 	24982 	35455 	27328 	28628 	29803 	32978 	33659 	35806 	36276 	36390 	37333 	38867 	41438 	41486 	46767 	42053 
A,N,T,EL	: 	: 	: 	: 	: 	270000 e	260000 e	253000 e	247000 e	255000 e	224000 e	210000 e	236000 e	201000 e	184789 	212948 	181394 	175445 	182534 	165942 	164334 	185019 	192167 	179436 	189748 	202945 	208752 	167421 
A,N,T,ES	: 	: 	: 	: 	: 	1279154 	1131006 	1026546 	1198606 	1072949 	923764 	969783 	985857 	739757 	781069 	940984 	846697 	843410 	961507 	1101895 	1068103 	982155 	1072125 	1033494 	1011251 	1059299 	1029913 	744072 p
A,N,T,ES11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14762 	21300 	25500 	31100 	21299 	21708 	21962 	24606 	25034 	: 	: 
A,N,T,ES12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3867 	3500 	4700 	3800 	3389 	3286 	2539 	4813 	3854 	: 	: 
A,N,T,ES13	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3095 	3500 	3900 	2900 	2314 	3150 	3617 	4377 	14757 	: 	: 
A,N,T,ES21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11771 	11700 	13800 	13700 	11769 	11236 	12582 	12430 	18133 	: 	: 
