country	2000	2010	2016
AT	15.45	15.56	15.5
BE	0.7	0.41	0.42
BG	4.82	3.01	3.37
CY	8.55	6.1	6.5
CZ	2.77	1.33	1.31
DE	2.46	1.37	1.3
DK	0.01	0.01	0
EE	0.01	0	0
EL	10.8	9.41	9.6
ES	10.92	8.85	9.02
EU27	6.11	5.32	5.31
EU28	5.99	5.26	5.25
FI	0.01	0.01	0.01
FR	4.14	3.39	3.27
HR	7.89	7.07	5.12
HU	2.94	2.57	2.51
IE	0.72	0.68	0.67
IT	25.83	24.61	24.93
LT	0.03	0.02	0.02
LU	3.56	2.65	2.63
LV	0.01	0.01	0.01
MT	30.13	12.57	10.6
NL	0.01	0.01	0.01
PL	1.28	1.09	1.14
PT	5.24	4.44	4.08
RO	8.09	7.51	7.31
SE	0.67	0.68	0.68
SI	19.37	18.96	18.99
SK	5.72	4.7	4.55
UK	3.87	4.12	4.1
