country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,4.2,3.7,3.9,4.5,4.8,4.5,4.7,4.9,4.6,5.3,4,3.8,3.7,4.5,4.4,4.1,4.4,5.7,7.8
BE,3.1,2.3,2.4,2.8,2.8,3,3,3.4,3.6,3.1,3.5,3.3,3.3,3.2,5.6,5,5.1,6.8,7.8
BG,NA ,NA ,NA ,1.7,3.3,3.1,1.9,2,2.3,2.8,2.4,2.4,2.2,3,3,3.5,3.7,4.2,5.3
CH,6.5,NA ,6.6,NA ,6.3,NA ,7.6,NA ,9.4,NA ,13,15.3,NA ,14.8,15.5,16.6,17.5,22.9,24.2
CY,14.7,14.1,13.3,14.6,12.2,12.5,11.8,11.5,10.5,8.1,7,7,6.5,6.7,6.9,7.1,8,8.6,10
CZ,2.4,2.8,3.3,3.6,4.2,4.3,4.3,4.5,3.9,3.7,3.9,4,3.9,4.4,4.6,5.6,5.5,5.9,6.3
DE,4,3.8,4.8,5.9,6.8,8.1,9.4,9.3,8.6,8.9,9,10,10,10.7,11.1,11.1,12.4,13.5,14
DK,14.7,15.3,17.3,16.8,13.7,13.5,13.1,14.5,12.3,16.4,12.3,16.5,16.9,13.4,15.1,17.5,15.5,23.8,27.3
EA19,5.8,6.1,6.5,7.4,7.9,7.4,7.6,7.7,6.5,6.6,6.7,6.8,6.9,7.2,7.4,7.5,8.1,8.6,9
EA20,5.7,6.1,6.4,7.4,7.8,7.4,7.5,7.6,6.4,6.5,6.6,6.7,6.9,7.1,7.4,7.4,8,8.5,9
EE,3.9,4.5,5.1,5.5,5.5,5.5,6.1,9.2,12.1,11,7,6.5,4.9,6.7,4.1,5.2,7.5,7.6,10
EL,2.6,3.1,3.7,3.9,3.4,2.8,2.6,2.8,2.5,2.6,2.7,2.8,3.1,1.7,3,5.3,4.1,4.8,4.9
ES,8.3,10.5,13.3,15.9,15.7,14.4,12.6,11.8,8.3,8,7.9,8.7,8.6,8.6,9.3,9.6,10,10.5,10.5
EU27,4.9,5.2,5.5,6.3,6.7,6.3,6.5,6.5,5.6,5.8,5.7,5.9,6,6.2,6.4,6.6,7.2,7.5,7.8
FI,17.6,18.2,18.6,19.2,18.6,18.9,18.6,18,18.4,17.8,17.2,17.7,13.9,13.2,10.3,10.3,10.9,12.6,12.5
FR,5.5,5.8,3.5,3.7,4.2,4.5,4.8,5.7,4.4,4.7,5.3,5.9,6,6.9,5.9,5.4,5.5,5.2,6.3
HR,NA ,NA ,NA ,NA ,0.7,0.5,0.6,0.8,0.5,0.2,1.5,1.1,2,2.6,1.9,2.8,2.7,1.4,2.7
HU,NA ,5.4,4.7,3.6,4.2,3.7,1.9,0.9,1.9,5.5,1.6,1.7,3.3,3.6,3.7,4,5.3,4.3,3.6
IE,17.8,22,19.2,23.3,23.3,20.4,18.7,20.4,19.9,19.5,19.4,19.5,20.2,20.6,22.7,19.7,18.7,19.2,19.5
IS,61.4,75.3,73.3,76,62.1,48.1,50.8,65,70,56.8,10.4,13.3,16.8,51.8,27.1,17.5,NA ,22.7,26.8
IT,NA ,5.6,6.3,7.4,7.5,5.7,5.6,5.2,4.5,4.8,4.4,4,4.5,4.3,4.9,5.1,5,5.1,5
LT,3.7,3.9,2,2.1,2.7,2.2,1.7,2,2,2.2,2.4,2.6,2.7,2.9,3.1,3.2,3.6,3.3,2.5
LU,0.1,0,0.1,0.1,0.1,0.1,1.2,1.2,0.9,0.5,0.5,0.3,0.2,0.4,0.2,0.3,1.1,0.9,0.9
LV,NA ,0.8,3.9,4.3,5.6,2.8,2.1,1.3,2.4,2.6,3.4,4.4,5.6,3.1,3.7,6.1,5.7,5.8,5.4
MT,0.4,1.2,0.7,0.2,1.1,1.2,0.9,1,1,1.3,1.1,1.6,0.6,0.6,2.3,3,1.6,1.9,1.9
NL,12.8,13.2,12.8,12.3,14.5,10,10.6,9.8,8.9,8.9,9.9,5.9,6.2,6.1,7.2,8.2,12.6,12.6,13.8
NO,29.7,31.8,34.3,36,34.8,36.2,39,41.3,43.5,47.6,50.4,53.3,50.1,64.9,49.4,48.2,48.9,48.8,49.1
PL,0.1,0.2,0.2,0.5,0.6,NA ,NA ,NA ,1.7,1.8,1.4,1.6,1.4,1.5,1.7,2.6,3.8,0.1,0.1
PT,1.6,1.8,1.7,2.3,2.6,3.2,3,2.5,0.9,1.6,1.7,1.8,1.8,1.7,1.8,1.7,1.7,1.9,2
RO,0.3,0.3,1.4,1.4,2.4,1.4,2.9,1.9,1.5,0.7,0.8,1.2,1.2,1.1,0.7,1.1,1,1.2,0.5
RS,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,1.5,1.6,2,1.6,1.8,1.9,2.2,2.6,2.9,3.3
SE,7.8,6.2,6.6,4.3,4.7,4.4,5.1,5.5,6.1,5.5,5.6,4.8,5.3,4.8,4.2,4.5,4.8,7.7,7.5
SI,1.9,2.7,2,3.7,3.8,4,4,4.5,3.6,3.4,3.3,2.9,3.4,4.4,6,4.8,6,6.5,7.7
SK,1.9,2.3,2,1.9,2,2.1,2.5,3.3,1.8,2.2,1.8,1.9,1.8,2.3,2.1,2.9,2.9,6.5,1.7
UK,6.9,6.6,6.9,6,5.1,6.1,5.7,6.5,7.4,7.4,6.5,7.4,6.9,7.2,6.3,6,NA ,NA ,NA 
