freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCA,AT	5.4 	4.7 	4.6 	4.9 
A,CVA,LCA,AT1	10.3 	8.7 	8 	6.6 
A,CVA,LCA,AT11	25.3 	20.7 	18.4 	14.4 
A,CVA,LCA,AT12	12.8 	10.9 	10 	8.3 
A,CVA,LCA,AT13	20.3 	16.1 	15.4 	14.1 
A,CVA,LCA,AT2	10.2 	8.9 	9.1 	12.3 
A,CVA,LCA,AT21	20.6 	16.6 	17.7 	15.8 
A,CVA,LCA,AT22	11.8 	10.6 	10.6 	16.5 
A,CVA,LCA,AT3	8 	7.3 	7.2 	7.4 
A,CVA,LCA,AT31	12.9 	10.6 	9.9 	9.3 
A,CVA,LCA,AT32	16.5 	27.4 	16.2 	20.8 
A,CVA,LCA,AT33	16.9 	16.6 	18.2 	17.4 
A,CVA,LCA,AT34	22.2 	22.1 	23.5 	25.3 
A,CVA,LCA,BE	5.3 	4.7 	4.3 	4.2 
A,CVA,LCA,BE1	45.7 	27.2 	24.2 	12.2 
A,CVA,LCA,BE10	45.7 	27.2 	24.2 	12.2 
A,CVA,LCA,BE2	6.7 	5.8 	5.3 	5.1 
A,CVA,LCA,BE21	13.5 	12.5 	11.8 	8.7 
A,CVA,LCA,BE22	20.2 	16.4 	14.4 	17 
A,CVA,LCA,BE23	12.6 	11.6 	10.6 	11.9 
A,CVA,LCA,BE24	15.8 	13 	12.5 	11.4 
A,CVA,LCA,BE25	14.5 	12.2 	11.3 	11 
A,CVA,LCA,BE3	8.6 	8.2 	7.3 	8.1 
A,CVA,LCA,BE31	24.1 	19.9 	18.7 	19.4 
A,CVA,LCA,BE32	15.1 	16.4 	13.5 	9.5 
A,CVA,LCA,BE33	13.2 	12 	11.1 	15.5 
A,CVA,LCA,BE34	25.1 	25.6 	26.4 	36.8 
A,CVA,LCA,BE35	32.8 	28.3 	24.6 	23.4 
A,CVA,LCA,BG	: 	7.7 	7.1 	8.4 
A,CVA,LCA,BG3	: 	9.9 	9.2 	10.8 
A,CVA,LCA,BG31	: 	19.5 	17.6 	15.7 
A,CVA,LCA,BG32	: 	21.6 	20.7 	25.1 
A,CVA,LCA,BG33	: 	19.3 	17.9 	18.4 
A,CVA,LCA,BG34	: 	20 	18.1 	27.1 
A,CVA,LCA,BG4	: 	12.2 	11.2 	13.2 
A,CVA,LCA,BG41	: 	16.6 	15.1 	14.1 
A,CVA,LCA,BG42	: 	18.3 	16.8 	23 
A,CVA,LCA,CY	: 	10.3 	9.2 	6.5 
A,CVA,LCA,CY0	: 	10.3 	9.2 	6.5 
A,CVA,LCA,CY00	: 	10.3 	9.2 	6.5 
A,CVA,LCA,CZ	4.9 	4.6 	4.5 	: 
A,CVA,LCA,CZ0	4.9 	4.6 	4.5 	: 
A,CVA,LCA,CZ01	20.5 	18.8 	15.7 	36.4 
A,CVA,LCA,CZ02	13.6 	13 	12.5 	26.8 
A,CVA,LCA,CZ03	13.3 	13.4 	13 	15.6 
A,CVA,LCA,CZ04	15.7 	14.3 	13.4 	20.8 
A,CVA,LCA,CZ05	11.6 	10.9 	11 	16.5 
A,CVA,LCA,CZ06	11.4 	10.2 	9.8 	17.9 
A,CVA,LCA,CZ07	13.2 	12.3 	13.3 	26.9 
A,CVA,LCA,CZ08	14.8 	15 	14.3 	27.7 
A,CVA,LCA,DE	2.2 	2 	1.9 	2.5 
A,CVA,LCA,DE1	6 	5.6 	5.2 	8.5 
A,CVA,LCA,DE11	10.5 	9.5 	8.7 	16.4 
A,CVA,LCA,DE12	11.8 	11.6 	10.7 	18.4 
A,CVA,LCA,DE13	12.9 	11.7 	10.8 	17.4 
A,CVA,LCA,DE14	12.7 	13 	12.4 	12.8 
A,CVA,LCA,DE2	5.1 	4.8 	4.6 	5.3 
A,CVA,LCA,DE21	8.9 	8.5 	8.3 	8.7 
A,CVA,LCA,DE22	15.4 	13.4 	12.2 	12.8 
A,CVA,LCA,DE23	19.1 	17.3 	16.9 	20.7 
A,CVA,LCA,DE24	17.3 	16.8 	15.2 	18.1 
A,CVA,LCA,DE25	14.2 	13.4 	12.3 	14.8 
A,CVA,LCA,DE26	13.9 	13.6 	12.4 	17.1 
A,CVA,LCA,DE27	13.1 	12.5 	12.1 	10.8 
A,CVA,LCA,DE3	18.5 	16.4 	13.4 	26.3 
A,CVA,LCA,DE30	18.5 	16.4 	13.4 	26.3 
A,CVA,LCA,DE4	10.7 	9.8 	9.4 	11.4 
A,CVA,LCA,DE40	10.7 	9.8 	9.4 	11.4 
A,CVA,LCA,DE5	26.1 	22.8 	19.9 	12.4 
A,CVA,LCA,DE50	26.1 	22.8 	19.9 	12.4 
