freq,unit,landuse,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LUA,AT	1.1 	1.2 	1.2 	1.5 
A,CVA,LUA,AT1	1.8 	1.7 	1.6 	1.5 
A,CVA,LUA,AT11	4.5 	4.3 	3.9 	2.8 
A,CVA,LUA,AT12	1.9 	1.8 	1.8 	1.8 
A,CVA,LUA,AT13	31.4 	26.3 	27.1 	15.2 
A,CVA,LUA,AT2	2.6 	2.8 	2.8 	4 
A,CVA,LUA,AT21	4.3 	4.8 	4.9 	6.5 
A,CVA,LUA,AT22	3.3 	3.4 	3.4 	5 
A,CVA,LUA,AT3	1.6 	2.2 	2.2 	2.9 
A,CVA,LUA,AT31	2.6 	2.6 	2.6 	2.9 
A,CVA,LUA,AT32	3.9 	5.2 	5.4 	7.7 
A,CVA,LUA,AT33	3 	5.6 	5.5 	8.6 
A,CVA,LUA,AT34	6 	8.9 	8.2 	12.9 
A,CVA,LUA,BE	1.5 	1.5 	1.5 	1.3 
A,CVA,LUA,BE1	: 	: 	0 	: 
A,CVA,LUA,BE10	: 	: 	0 	: 
A,CVA,LUA,BE2	2.2 	2.1 	2.1 	1.8 
A,CVA,LUA,BE21	5.7 	5.8 	5.7 	5.2 
A,CVA,LUA,BE22	6.8 	5.7 	5.7 	6.2 
A,CVA,LUA,BE23	4.1 	4.4 	4.3 	3.3 
A,CVA,LUA,BE24	6.1 	5.6 	5.7 	4.2 
A,CVA,LUA,BE25	3.4 	3.2 	3.3 	3.3 
A,CVA,LUA,BE3	2.1 	2 	2.1 	2 
A,CVA,LUA,BE31	7.2 	6.4 	7.3 	4.7 
A,CVA,LUA,BE32	3.6 	3.3 	3.4 	3.7 
A,CVA,LUA,BE33	4.7 	4.7 	4.8 	5 
A,CVA,LUA,BE34	4.9 	4.7 	5.1 	4.4 
A,CVA,LUA,BE35	4.1 	4.1 	4.5 	4.4 
A,CVA,LUA,BG	: 	0.9 	0.9 	1.1 
A,CVA,LUA,BG3	: 	0.9 	1 	1.1 
A,CVA,LUA,BG31	: 	1.7 	1.9 	2.2 
A,CVA,LUA,BG32	: 	1.8 	1.9 	2 
A,CVA,LUA,BG33	: 	1.8 	1.8 	2.9 
A,CVA,LUA,BG34	: 	2 	2.1 	2.3 
A,CVA,LUA,BG4	: 	2 	2.1 	3 
A,CVA,LUA,BG41	: 	3.4 	3.7 	5.2 
A,CVA,LUA,BG42	: 	2.3 	2.5 	3.6 
A,CVA,LUA,CY	: 	2.5 	2.9 	2 
A,CVA,LUA,CY0	: 	2.5 	2.9 	2 
A,CVA,LUA,CY00	: 	2.5 	2.9 	2 
A,CVA,LUA,CZ	0.9 	0.9 	0.9 	1.6 
A,CVA,LUA,CZ0	0.9 	0.9 	0.9 	1.6 
A,CVA,LUA,CZ01	19.7 	20.2 	21.1 	27.6 
A,CVA,LUA,CZ02	2 	2.1 	2.1 	3.9 
A,CVA,LUA,CZ03	1.8 	1.9 	2 	5 
A,CVA,LUA,CZ04	3.3 	3.5 	3.5 	7.6 
A,CVA,LUA,CZ05	2 	2.2 	2.3 	4.7 
A,CVA,LUA,CZ06	1.9 	1.9 	1.9 	3.1 
A,CVA,LUA,CZ07	2.8 	2.8 	2.8 	6.1 
A,CVA,LUA,CZ08	3.8 	3.8 	3.8 	9.3 
A,CVA,LUA,DE	0.4 	0.4 	0.4 	0.6 
A,CVA,LUA,DE1	1.6 	1.6 	1.6 	2.8 
A,CVA,LUA,DE11	2.6 	2.7 	2.6 	5.9 
A,CVA,LUA,DE12	4.7 	4.7 	4.9 	9.6 
A,CVA,LUA,DE13	3.6 	3.4 	3.4 	5.5 
A,CVA,LUA,DE14	2.9 	2.8 	2.9 	3.1 
A,CVA,LUA,DE2	1.1 	1.1 	1.1 	1.3 
A,CVA,LUA,DE21	2.1 	2.3 	2.2 	2.3 
A,CVA,LUA,DE22	2.6 	2.6 	2.6 	2.4 
A,CVA,LUA,DE23	3.1 	3 	3.3 	3.9 
A,CVA,LUA,DE24	3.7 	3.8 	3.9 	5.5 
A,CVA,LUA,DE25	3.4 	3.5 	3.6 	5.6 
A,CVA,LUA,DE26	3.4 	3.4 	3.3 	3.9 
A,CVA,LUA,DE27	2.2 	2.4 	2.4 	2.5 
A,CVA,LUA,DE3	53 	40.1 	59.2 	51 
A,CVA,LUA,DE30	53 	40.1 	59.2 	51 
A,CVA,LUA,DE4	1.6 	1.6 	1.6 	1.9 
A,CVA,LUA,DE40	1.6 	1.6 	1.6 	1.9 
A,CVA,LUA,DE5	19.9 	23.1 	32.4 	21.2 
A,CVA,LUA,DE50	19.9 	23.1 	32.4 	21.2 
A,CVA,LUA,DE6	16.7 	17.8 	19.6 	11.1 
A,CVA,LUA,DE60	16.7 	17.8 	19.6 	11.1 
A,CVA,LUA,DE7	2.2 	2.2 	2.2 	3 
A,CVA,LUA,DE71	3.7 	3.9 	3.9 	3.5 
A,CVA,LUA,DE72	4.4 	4.2 	4.2 	3.2 
A,CVA,LUA,DE73	3.4 	3.5 	3.4 	6.5 
A,CVA,LUA,DE8	1.4 	1.5 	1.5 	3.4 
A,CVA,LUA,DE80	1.4 	1.5 	1.5 	3.4 
A,CVA,LUA,DE9	1.1 	1.1 	1.1 	1.7 
A,CVA,LUA,DE91	3.1 	3 	3 	5.7 
A,CVA,LUA,DE92	2.5 	2.5 	2.4 	3.3 
A,CVA,LUA,DE93	2 	2 	2 	3.4 
A,CVA,LUA,DE94	1.7 	1.6 	1.6 	2.7 
A,CVA,LUA,DEA	1.6 	1.5 	1.6 	1.9 
A,CVA,LUA,DEA1	4.3 	4.2 	4.3 	7.4 
A,CVA,LUA,DEA2	3.6 	3.6 	3.7 	2.9 
A,CVA,LUA,DEA3	2.8 	2.6 	2.7 	3.8 
A,CVA,LUA,DEA4	3.1 	2.7 	2.8 	2.2 
A,CVA,LUA,DEA5	4.3 	4.4 	4.6 	6.5 
A,CVA,LUA,DEB	2.3 	2.3 	2.3 	3.1 
A,CVA,LUA,DEB1	3.9 	4 	3.9 	3.6 
A,CVA,LUA,DEB2	4.6 	4.6 	4.7 	7.4 
A,CVA,LUA,DEB3	3.5 	3.4 	3.6 	5.5 
A,CVA,LUA,DEC	7.4 	6.9 	7.1 	7.3 
A,CVA,LUA,DEC0	7.4 	6.9 	7.1 	7.3 
A,CVA,LUA,DED	1.9 	1.9 	1.9 	1.7 
A,CVA,LUA,DED2	2.9 	3 	3 	3.1 
A,CVA,LUA,DED4	3.4 	3.2 	3.2 	3 
A,CVA,LUA,DED5	3.7 	3.8 	3.9 	2.7 
A,CVA,LUA,DEE	1.5 	1.5 	1.5 	1.5 
A,CVA,LUA,DEE0	1.5 	1.5 	1.5 	1.5 
