freq,farmtype,indic_ef,geo\TIME_PERIOD	2005 	2007 	2010 	2013 
A,FT15_SO,C_1_HEADS,AT	410 	540 	550 	1310 
A,FT15_SO,C_1_HEADS,BE	100 	100 	700 	860 
A,FT15_SO,C_1_HEADS,BG	750 	580 	1280 	1180 
A,FT15_SO,C_1_HEADS,CH	: 	: 	670 	: 
A,FT15_SO,C_1_HEADS,CY	0 	0 	0 	0 
A,FT15_SO,C_1_HEADS,CZ	580 	500 	1100 	1960 
A,FT15_SO,C_1_HEADS,DE	20590 	18850 	16100 	19860 
A,FT15_SO,C_1_HEADS,DK	3750 	3600 	3940 	3490 
A,FT15_SO,C_1_HEADS,EE	110 	30 	40 	150 
A,FT15_SO,C_1_HEADS,EL	240 	110 	170 	330 
A,FT15_SO,C_1_HEADS,ES	3870 	5690 	7600 	5720 
A,FT15_SO,C_1_HEADS,FI	370 	390 	500 	670 
A,FT15_SO,C_1_HEADS,FR	18210 	16410 	13240 	16390 
A,FT15_SO,C_1_HEADS,HR	: 	50 	250 	630 
A,FT15_SO,C_1_HEADS,HU	2290 	1730 	3420 	4280 
A,FT15_SO,C_1_HEADS,IE	1410 	1480 	1620 	2340 
A,FT15_SO,C_1_HEADS,IS	: 	: 	0 	: 
A,FT15_SO,C_1_HEADS,IT	1240 	1720 	2780 	1570 
A,FT15_SO,C_1_HEADS,LT	420 	600 	920 	950 
A,FT15_SO,C_1_HEADS,LU	20 	30 	10 	20 
A,FT15_SO,C_1_HEADS,LV	190 	440 	380 	480 
A,FT15_SO,C_1_HEADS,ME	: 	: 	0 	: 
A,FT15_SO,C_1_HEADS,NL	310 	280 	290 	290 
A,FT15_SO,C_1_HEADS,NO	: 	2230 	1890 	2740 
A,FT15_SO,C_1_HEADS,PL	1760 	2090 	5770 	6220 
A,FT15_SO,C_1_HEADS,PT	460 	520 	590 	710 
A,FT15_SO,C_1_HEADS,RO	2800 	2950 	880 	630 
A,FT15_SO,C_1_HEADS,SE	2360 	2050 	2700 	3150 
A,FT15_SO,C_1_HEADS,SI	30 	30 	60 	120 
A,FT15_SO,C_1_HEADS,SK	410 	500 	400 	430 
A,FT15_SO,C_1_HEADS,UK	11820 	12670 	22690 	21890 
A,FT15_SO,C_1_HOLD,AT	200 	200 	220 	450 
A,FT15_SO,C_1_HOLD,BE	40 	40 	160 	160 
A,FT15_SO,C_1_HOLD,BG	490 	410 	920 	850 
A,FT15_SO,C_1_HOLD,CH	: 	: 	140 	: 
A,FT15_SO,C_1_HOLD,CY	0 	0 	0 	0 
A,FT15_SO,C_1_HOLD,CZ	160 	150 	260 	420 
A,FT15_SO,C_1_HOLD,DE	3840 	3520 	2910 	3620 
A,FT15_SO,C_1_HOLD,DK	1380 	1270 	1190 	1130 
A,FT15_SO,C_1_HOLD,EE	20 	20 	10 	20 
A,FT15_SO,C_1_HOLD,EL	170 	70 	100 	180 
A,FT15_SO,C_1_HOLD,ES	1440 	1600 	1310 	1070 
A,FT15_SO,C_1_HOLD,FI	180 	200 	220 	260 
A,FT15_SO,C_1_HOLD,FR	4130 	3120 	3130 	3020 
A,FT15_SO,C_1_HOLD,HR	: 	20 	70 	220 
A,FT15_SO,C_1_HOLD,HU	950 	650 	1090 	1540 
A,FT15_SO,C_1_HOLD,IE	280 	300 	320 	410 
A,FT15_SO,C_1_HOLD,IS	: 	: 	0 	: 
A,FT15_SO,C_1_HOLD,IT	700 	840 	960 	500 
A,FT15_SO,C_1_HOLD,LT	140 	300 	220 	400 
A,FT15_SO,C_1_HOLD,LU	10 	10 	10 	10 
A,FT15_SO,C_1_HOLD,LV	50 	50 	90 	120 
A,FT15_SO,C_1_HOLD,ME	: 	: 	0 	: 
A,FT15_SO,C_1_HOLD,NL	120 	120 	110 	100 
A,FT15_SO,C_1_HOLD,NO	: 	520 	470 	610 
A,FT15_SO,C_1_HOLD,PL	550 	510 	1740 	1920 
A,FT15_SO,C_1_HOLD,PT	100 	130 	180 	150 
A,FT15_SO,C_1_HOLD,RO	2070 	2320 	560 	400 
A,FT15_SO,C_1_HOLD,SE	620 	490 	580 	660 
A,FT15_SO,C_1_HOLD,SI	10 	20 	30 	50 
A,FT15_SO,C_1_HOLD,SK	80 	110 	90 	110 
A,FT15_SO,C_1_HOLD,UK	2200 	2340 	3250 	3110 
A,FT15_SO,C_2_1_HEADS,AT	400 	340 	600 	1550 
A,FT15_SO,C_2_1_HEADS,BE	70 	70 	180 	190 
A,FT15_SO,C_2_1_HEADS,BG	2540 	2150 	4710 	8470 
A,FT15_SO,C_2_1_HEADS,CH	: 	: 	220 	: 
A,FT15_SO,C_2_1_HEADS,CY	0 	0 	0 	0 
A,FT15_SO,C_2_1_HEADS,CZ	4600 	5960 	9150 	10770 
A,FT15_SO,C_2_1_HEADS,DE	30840 	28290 	27330 	41050 
A,FT15_SO,C_2_1_HEADS,DK	7840 	6550 	9630 	6620 
A,FT15_SO,C_2_1_HEADS,EE	190 	300 	560 	810 
A,FT15_SO,C_2_1_HEADS,EL	430 	640 	280 	390 
A,FT15_SO,C_2_1_HEADS,ES	4700 	2750 	3030 	4990 
A,FT15_SO,C_2_1_HEADS,FI	90 	80 	140 	230 
A,FT15_SO,C_2_1_HEADS,FR	56700 	55460 	117600 	165220 
A,FT15_SO,C_2_1_HEADS,HR	: 	450 	560 	930 
A,FT15_SO,C_2_1_HEADS,HU	7690 	7050 	10060 	16120 
A,FT15_SO,C_2_1_HEADS,IE	1770 	2220 	4690 	6470 
A,FT15_SO,C_2_1_HEADS,IS	: 	: 	0 	: 
A,FT15_SO,C_2_1_HEADS,IT	4320 	5690 	4290 	6350 
A,FT15_SO,C_2_1_HEADS,LT	2840 	3040 	4890 	7830 
A,FT15_SO,C_2_1_HEADS,LU	0 	0 	0 	0 
A,FT15_SO,C_2_1_HEADS,LV	1250 	2020 	2990 	2880 
A,FT15_SO,C_2_1_HEADS,ME	: 	: 	0 	: 
A,FT15_SO,C_2_1_HEADS,NL	50 	30 	50 	40 
A,FT15_SO,C_2_1_HEADS,NO	: 	150 	150 	180 
A,FT15_SO,C_2_1_HEADS,PL	3840 	4230 	13260 	23750 
A,FT15_SO,C_2_1_HEADS,PT	680 	1180 	1010 	1260 
A,FT15_SO,C_2_1_HEADS,RO	7050 	6570 	8050 	6760 
A,FT15_SO,C_2_1_HEADS,SE	1580 	1720 	3280 	2140 
A,FT15_SO,C_2_1_HEADS,SI	0 	310 	120 	280 
A,FT15_SO,C_2_1_HEADS,SK	2650 	4710 	6080 	7760 
A,FT15_SO,C_2_1_HEADS,UK	49160 	42430 	54420 	54630 
A,FT15_SO,C_2_1_HOLD,AT	180 	160 	140 	260 
A,FT15_SO,C_2_1_HOLD,BE	20 	20 	60 	50 
A,FT15_SO,C_2_1_HOLD,BG	350 	300 	600 	770 
A,FT15_SO,C_2_1_HOLD,CH	: 	: 	50 	: 
A,FT15_SO,C_2_1_HOLD,CY	0 	0 	0 	0 
A,FT15_SO,C_2_1_HOLD,CZ	440 	450 	520 	620 
A,FT15_SO,C_2_1_HOLD,DE	2710 	2270 	2280 	3060 
A,FT15_SO,C_2_1_HOLD,DK	1020 	950 	1120 	940 
A,FT15_SO,C_2_1_HOLD,EE	50 	60 	50 	60 
A,FT15_SO,C_2_1_HOLD,EL	140 	180 	70 	70 
A,FT15_SO,C_2_1_HOLD,ES	380 	240 	300 	240 
A,FT15_SO,C_2_1_HOLD,FI	30 	30 	30 	40 
A,FT15_SO,C_2_1_HOLD,FR	4610 	4390 	7210 	9000 
A,FT15_SO,C_2_1_HOLD,HR	: 	100 	130 	190 
A,FT15_SO,C_2_1_HOLD,HU	740 	610 	940 	1380 
A,FT15_SO,C_2_1_HOLD,IE	130 	150 	380 	510 
A,FT15_SO,C_2_1_HOLD,IS	: 	: 	0 	: 
A,FT15_SO,C_2_1_HOLD,IT	880 	1000 	1180 	1130 
A,FT15_SO,C_2_1_HOLD,LT	970 	930 	960 	1670 
A,FT15_SO,C_2_1_HOLD,LU	0 	0 	0 	0 
A,FT15_SO,C_2_1_HOLD,LV	320 	380 	510 	440 
A,FT15_SO,C_2_1_HOLD,ME	: 	: 	0 	: 
A,FT15_SO,C_2_1_HOLD,NL	10 	10 	10 	20 
A,FT15_SO,C_2_1_HOLD,NO	: 	30 	20 	20 
A,FT15_SO,C_2_1_HOLD,PL	930 	1070 	3070 	4730 
A,FT15_SO,C_2_1_HOLD,PT	120 	140 	120 	120 
A,FT15_SO,C_2_1_HOLD,RO	1670 	990 	760 	1180 
A,FT15_SO,C_2_1_HOLD,SE	170 	160 	220 	200 
A,FT15_SO,C_2_1_HOLD,SI	0 	10 	30 	40 
A,FT15_SO,C_2_1_HOLD,SK	150 	200 	210 	290 
