country,2006,2009,2012,2015,2018
AT,100,101.4,103,103.3,106.7
BE,100,100.9,102.2,102.7,106.5
BG,100,100.9,103,104.5,106.9
CH,100,101,103.5,104,105.9
CY,100,103.7,107.7,113.7,122.9
CZ,100,101.6,103,103.4,106.5
DE,100,101.2,102.5,103.2,106
DK,100,101.2,102.9,103.3,107.7
EE,100,102.3,103.8,105.3,109.6
EL,100,101.3,102.6,103.7,109.5
ES,100,103.9,106.2,107.2,110.7
EU27,100,101.8,103.5,104.5,108.3
FI,100,100.9,102.8,103.7,107.7
FR,100,102.5,104.1,105,109.2
HR,100,101.7,102.9,103.7,107.3
HU,100,101.4,103.4,105.2,108.3
IE,100,101.7,103.1,103.4,107.9
IS,100,112.4,115.5,118.6,123.3
IT,100,101.4,102.7,103.1,106.4
LI,100,100.1,101.6,101.7,102.7
LT,100,100.9,101.6,102.9,107.8
LU,100,103.1,105,105.6,111.3
LV,100,101.3,101.8,103.3,109.5
MT,100,100.1,100.7,100.8,106.1
NL,100,101.4,103.4,103.7,107.8
NO,100,101.8,103.8,105.2,118.7
PL,100,101.8,105.5,108.7,114.2
PT,100,101.8,103.1,104.3,108.4
RO,100,101.5,103.9,106,109.3
SE,100,101.2,102.6,103.4,112.3
SI,100,102.2,103.6,103.8,105.9
SK,100,101.9,104.7,106.3,109.8
