country,2006,2009,2012,2015,2018
AT,1427,1448,1470,1475,1523
BE,1799,1816,1838,1848,1917
BG,947,956,975,989,1012
CH,1072,1082,1109,1115,1135
CY,167,173,180,190,205
CZ,1823,1851,1877,1885,1941
DE,14943,15123,15323,15417,15847
DK,1193,1207,1227,1232,1285
EE,185,190,192,195,203
EL,1221,1237,1253,1266,1337
ES,5786,6014,6143,6202,6402
EU27,66855,68043,69201,69838,72393
FI,1333,1345,1370,1382,1436
FR,11426,11707,11894,11999,12474
HR,670,682,690,695,719
HU,1330,1348,1375,1399,1440
IE,647,658,667,669,698
IS,53,60,62,63,66
IT,7817,7923,8029,8059,8315
LI,7,7,7,7,7
LT,471,475,478,484,507
LU,104,107,109,110,116
LV,239,242,243,246,261
MT,50,50,51,51,53
NL,2652,2690,2742,2751,2859
NO,709,722,736,746,842
PL,4138,4212,4366,4496,4725
PT,1852,1886,1909,1932,2008
RO,1949,1978,2024,2065,2131
SE,1660,1680,1703,1716,1864
SI,328,335,340,341,348
SK,698,712,732,743,767
