country,2006,2009,2012,2015,2018
AT,1.73,1.75,1.78,1.79,1.85
BE,5.91,5.96,6.04,6.07,6.3
BG,0.86,0.87,0.89,0.9,0.92
CH,2.69,2.72,2.78,2.8,2.85
CY,1.81,1.88,1.95,2.06,2.23
CZ,2.36,2.4,2.43,2.44,2.51
DE,4.23,4.28,4.34,4.36,4.49
DK,2.84,2.87,2.92,2.93,3.06
EE,0.43,0.44,0.44,0.45,0.47
EL,0.94,0.95,0.96,0.97,1.03
ES,1.15,1.2,1.22,1.23,1.27
EU27,1.63,1.66,1.69,1.7,1.76
FI,0.44,0.44,0.45,0.45,0.47
FR,1.8,1.85,1.88,1.89,1.97
HR,1.2,1.22,1.23,1.24,1.29
HU,1.46,1.48,1.51,1.53,1.58
IE,0.94,0.96,0.97,0.97,1.02
IS,0.05,0.06,0.06,0.06,0.07
IT,2.63,2.66,2.7,2.71,2.79
LI,4.49,4.49,4.56,4.56,4.6
LT,0.75,0.76,0.76,0.77,0.81
LU,4.03,4.16,4.23,4.25,4.49
LV,0.38,0.38,0.38,0.39,0.41
MT,16.1,16.12,16.21,16.23,17.08
NL,7.76,7.87,8.02,8.05,8.36
NO,0.23,0.23,0.24,0.24,0.27
PL,1.35,1.37,1.42,1.46,1.54
PT,2.04,2.07,2.1,2.12,2.21
RO,0.83,0.84,0.86,0.88,0.91
SE,0.41,0.41,0.42,0.42,0.46
SI,1.63,1.67,1.69,1.69,1.73
SK,1.43,1.46,1.5,1.52,1.57
