freq,airpol,nace_r2,unit,geo\TIME_PERIOD	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 
Q,GHG,A,PCH_SM,EU27_2020	: 	: 	: 	: 	-0.516 s	-0.386 s	0.065 s	0.162 s	-0.388 s	-0.744 s	-0.661 s	-0.991 s	0.256 s	0.599 s	0.464 s	0.501 s	0.741 s	0.686 s	1.329 s	1.145 s	0.619 s	0.358 s	0.366 s	0.122 s	0.137 s	-0.097 s	-0.102 s	-0.566 s	0.177 s	0.5 s	0.632 s	1.007 s	0.094 s	0.037 s	-0.175 s	-0.961 s	-0.476 s	-1.852 s	-0.854 s	-1.036 s	-0.193 s	1.157 s	0.355 s	1.515 s	0.462 s	-0.296 s	0.064 s	-1.734 s	-1.499 s	-1.866 s	-1.977 s	-1.852 s	-1.065 s	0.266 s	1.491 s
Q,GHG,A,THS_T,EU27_2020	115864.5 s	118674.462 s	119834.514 s	119674.488 s	115267.178 s	118216.261 s	119912.169 s	119868.537 s	114820.206 s	117337.166 s	119119.015 s	118680.892 s	115114.021 s	118039.519 s	119671.505 s	119275.159 s	115966.651 s	118849.65 s	121262.176 s	120641.145 s	116684.686 s	119275.133 s	121705.924 s	120787.957 s	116844.848 s	119159.322 s	121582.304 s	120104.431 s	117051.976 s	119755.293 s	122351.062 s	121313.854 s	117162.307 s	119799.77 s	122137.522 s	120148.336 s	116604.146 s	117581.122 s	121094.019 s	118904.172 s	116379.631 s	118942.092 s	121524.457 s	120705.625 s	116917.013 s	118590.078 s	121601.84 s	118612.245 s	115164.122 s	116376.978 s	119197.847 s	116416.033 s	113937.829 s	116687.042 s	120975.662 s
Q,GHG,A,T_HAB,EU27_2020	0.263 s	0.269 s	0.272 s	0.271 s	0.261 s	0.268 s	0.271 s	0.271 s	0.26 s	0.265 s	0.269 s	0.268 s	0.26 s	0.267 s	0.27 s	0.269 s	0.262 s	0.268 s	0.274 s	0.272 s	0.263 s	0.269 s	0.274 s	0.272 s	0.263 s	0.268 s	0.273 s	0.27 s	0.263 s	0.269 s	0.274 s	0.272 s	0.262 s	0.268 s	0.273 s	0.269 s	0.261 s	0.263 s	0.27 s	0.265 s	0.26 s	0.265 s	0.271 s	0.269 s	0.261 s	0.265 s	0.272 s	0.265 s	0.257 s	0.259 s	0.265 s	0.259 s	0.253 s	0.259 s	0.268 s
Q,GHG,B,PCH_SM,EU27_2020	: 	: 	: 	: 	2.117 s	0.308 s	-1.22 s	-5.318 s	-7.773 s	-10.057 s	-10.07 s	-8.139 s	-6.799 s	-3.047 s	-1.908 s	-2.669 s	-3.684 s	-6.496 s	-6.572 s	-4.892 s	-2.497 s	0.111 s	1.108 s	1.083 s	-2.747 s	-3.586 s	-5.755 s	-4.821 s	-1.746 s	-2.189 s	-0.133 s	0.555 s	2.492 s	2.832 s	0.525 s	-2.21 s	-6.238 s	-9.444 s	-9.222 s	-8.437 s	-7.694 s	-16.35 s	-7.638 s	-5.439 s	-6.072 s	5.46 s	-3.153 s	-1.075 s	2.498 s	3.483 s	5.282 s	3.317 s	1.596 s	0.148 s	0.394 s
Q,GHG,B,THS_T,EU27_2020	19195.454 s	20454.354 s	20511.496 s	22435.324 s	19601.753 s	20517.447 s	20261.204 s	21242.165 s	18078.181 s	18454.057 s	18220.824 s	19513.19 s	16849.092 s	17891.768 s	17873.082 s	18992.459 s	16228.415 s	16729.466 s	16698.458 s	18063.387 s	15823.145 s	16747.975 s	16883.511 s	18258.931 s	15388.436 s	16147.38 s	15911.896 s	17378.673 s	15119.686 s	15793.977 s	15890.793 s	17475.136 s	15496.405 s	16241.338 s	15974.156 s	17088.889 s	14529.677 s	14707.522 s	14500.966 s	15647.089 s	13411.813 s	12302.85 s	13393.361 s	14796.091 s	12597.511 s	12974.634 s	12971.008 s	14637.094 s	12912.203 s	13426.495 s	13656.155 s	15122.546 s	13118.294 s	13446.331 s	13710.027 s
Q,GHG,B,T_HAB,EU27_2020	0.044 s	0.046 s	0.047 s	0.051 s	0.044 s	0.046 s	0.046 s	0.048 s	0.041 s	0.042 s	0.041 s	0.044 s	0.038 s	0.04 s	0.04 s	0.043 s	0.037 s	0.038 s	0.038 s	0.041 s	0.036 s	0.038 s	0.038 s	0.041 s	0.035 s	0.036 s	0.036 s	0.039 s	0.034 s	0.035 s	0.036 s	0.039 s	0.035 s	0.036 s	0.036 s	0.038 s	0.032 s	0.033 s	0.032 s	0.035 s	0.03 s	0.027 s	0.03 s	0.033 s	0.028 s	0.029 s	0.029 s	0.033 s	0.029 s	0.03 s	0.03 s	0.034 s	0.029 s	0.03 s	0.03 s
Q,GHG,C,PCH_SM,EU27_2020	: 	: 	: 	: 	1.995 s	-3.178 s	-3.609 s	-4.813 s	-4.623 s	-4.297 s	-3.188 s	-3.437 s	-5.386 s	-2.431 s	-1.457 s	-0.803 s	1.5 s	-1.928 s	-2.446 s	-1.689 s	-0.903 s	1.096 s	1.188 s	1.375 s	0.592 s	1.286 s	-0.566 s	-0.155 s	2.421 s	-0.052 s	1.614 s	1.917 s	-0.239 s	0.584 s	-1.376 s	-1.826 s	-1.193 s	-4.142 s	-2.301 s	-3.008 s	-4.043 s	-17.829 s	-3.813 s	1.288 s	1.865 s	21.607 s	1.375 s	-2.571 s	-3.564 s	-6.793 s	-7.971 s	-8.957 s	-6.261 s	-6.649 s	-4.882 s
Q,GHG,C,THS_T,EU27_2020	213432.427 s	236248.72 s	225588.133 s	232751.931 s	217690.549 s	228739.795 s	217446.459 s	221550.068 s	207626.968 s	218909.977 s	210513.616 s	213936.163 s	196444.462 s	213589.234 s	207447.028 s	212218.402 s	199391.403 s	209470.608 s	202372.917 s	208634.743 s	197589.967 s	211766.336 s	204777.234 s	211502.93 s	198759.227 s	214489.235 s	203617.45 s	211175.944 s	203572.029 s	214377.639 s	206903.479 s	215225.06 s	203085.582 s	215629.737 s	204055.581 s	211294.473 s	200663.058 s	206698.2 s	199359.465 s	204937.98 s	192550.35 s	169846.408 s	191758.807 s	207578.011 s	196141.233 s	206544.756 s	194395.835 s	202241.566 s	189150.706 s	192514.122 s	178901.486 s	184127.492 s	177307.917 s	179714.489 s	170167.165 s
Q,GHG,C,T_HAB,EU27_2020	0.484 s	0.536 s	0.512 s	0.527 s	0.493 s	0.518 s	0.492 s	0.501 s	0.47 s	0.495 s	0.476 s	0.483 s	0.444 s	0.483 s	0.469 s	0.479 s	0.45 s	0.473 s	0.456 s	0.47 s	0.445 s	0.477 s	0.461 s	0.476 s	0.447 s	0.482 s	0.457 s	0.474 s	0.457 s	0.481 s	0.464 s	0.482 s	0.455 s	0.483 s	0.457 s	0.472 s	0.448 s	0.462 s	0.445 s	0.457 s	0.429 s	0.379 s	0.428 s	0.463 s	0.438 s	0.461 s	0.434 s	0.451 s	0.422 s	0.429 s	0.398 s	0.409 s	0.394 s	0.399 s	0.377 s
Q,GHG,D,PCH_SM,EU27_2020	: 	: 	: 	: 	-1.69 s	2.983 s	0.654 s	-2.794 s	3.337 s	-2.972 s	-0.166 s	-3.63 s	-6.112 s	-8.467 s	-3.881 s	-2.913 s	-12.315 s	-1.222 s	-4.181 s	-3.633 s	3.667 s	-4.445 s	3.012 s	-1.192 s	-4.807 s	-1.757 s	-6.071 s	3.839 s	8.123 s	3.909 s	-2.914 s	-9.583 s	-10.629 s	-11.123 s	0.593 s	-3.491 s	-9.15 s	-9.18 s	-17.165 s	-17.56 s	-20.676 s	-23.761 s	-9.649 s	-5.068 s	7.826 s	17.861 s	2.817 s	12.181 s	6.502 s	7.47 s	6.088 s	-9.229 s	-12.117 s	-21.56 s	-23.652 s
Q,GHG,D,THS_T,EU27_2020	310439.434 s	243561.683 s	254024.819 s	306700.999 s	305194.232 s	250827.75 s	255686.548 s	298132.297 s	315379.157 s	243372.844 s	255260.975 s	287310.714 s	296104.192 s	222766.934 s	245355.008 s	278939.996 s	259638.826 s	220045.629 s	235097.442 s	268806.394 s	269159.158 s	210264.638 s	242177.555 s	265601.265 s	256221.239 s	206571.212 s	227474.218 s	275798.683 s	277033.893 s	214646.621 s	220846.423 s	249368.012 s	247589.204 s	190771.237 s	222155.355 s	240663.538 s	224934.043 s	173259.022 s	184022.298 s	198403.188 s	178425.599 s	132091.274 s	166265.601 s	188347.653 s	192389.169 s	155683.729 s	170949.427 s	211291.015 s	204898.203 s	167312.622 s	181356.884 s	191791.291 s	180069.727 s	131240.665 s	138462.386 s
Q,GHG,D,T_HAB,EU27_2020	0.704 s	0.553 s	0.576 s	0.695 s	0.692 s	0.568 s	0.579 s	0.675 s	0.714 s	0.551 s	0.577 s	0.649 s	0.669 s	0.503 s	0.554 s	0.63 s	0.586 s	0.497 s	0.53 s	0.606 s	0.606 s	0.474 s	0.545 s	0.597 s	0.576 s	0.464 s	0.511 s	0.619 s	0.622 s	0.482 s	0.495 s	0.559 s	0.555 s	0.427 s	0.497 s	0.538 s	0.503 s	0.387 s	0.411 s	0.443 s	0.398 s	0.295 s	0.371 s	0.42 s	0.429 s	0.348 s	0.382 s	0.472 s	0.457 s	0.373 s	0.404 s	0.426 s	0.4 s	0.291 s	0.307 s
Q,GHG,E,PCH_SM,EU27_2020	: 	: 	: 	: 	-2.398 s	-3.458 s	-3.53 s	-3.353 s	-1.885 s	-1.409 s	-1.061 s	-1.342 s	-2.782 s	-2.836 s	-3.251 s	-3.593 s	-3.573 s	-3.965 s	-3.714 s	-3.099 s	-1.995 s	-1.149 s	-0.703 s	-0.284 s	-0.555 s	-0.181 s	-0.548 s	-0.167 s	0.36 s	-0.091 s	0.293 s	0.293 s	-0.263 s	-0.234 s	-0.631 s	-0.698 s	-0.349 s	-0.842 s	0.391 s	0.716 s	0.132 s	-4.479 s	-1.249 s	-1.65 s	-3.407 s	0.503 s	-3.995 s	-3.106 s	0.298 s	2.085 s	2.888 s	2.432 s	2.466 s	1.915 s	2.223 s
