freq,airpol,nace_r2,na_item,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,GHG,TOTAL,B1G,G_EUR_CP,AT	202.38 	188.65 	186.15 	177.06 	180.09 	164.68 	168.47 	156.97 	158.66 	136.78 s
A,GHG,TOTAL,B1G,G_EUR_CP,BE	251.7 	238.93 	237.87 	230.12 	222.81 	219.51 	210.78 	200.52 	182.59 	160.38 s
A,GHG,TOTAL,B1G,G_EUR_CP,BG	1431.53 	1483.22 	1472.03 	1328.42 	1281.31 	1096.6 	978.77 	853.41 	830.99 	717.66 s
A,GHG,TOTAL,B1G,G_EUR_CP,CH	74.64 	69.44 	60.24 	60.56 	60.59 	59.86 	56.98 	47.87 	46.98 	: 
A,GHG,TOTAL,B1G,G_EUR_CP,CY	393.56 	434.57 	412.47 	412.46 	402.43 	381.3 	345.79 	348.39 	312.02 	285.36 s
A,GHG,TOTAL,B1G,G_EUR_CP,CZ	740.64 	737.97 	686.37 	669.39 	601.58 	557.06 	492.95 	458.94 	440.71 	379.16 s
A,GHG,TOTAL,B1G,G_EUR_CP,DE	315.52 	286.89 	280.83 	268.77 	253.81 	238.62 	210.5 	189.68 	191.16 	176.49 s
A,GHG,TOTAL,B1G,G_EUR_CP,DK	377.03 	340.95 	331.75 	332.43 	319.35 	321.37 	300.93 	264.62 	256.72 	217.82 s
A,GHG,TOTAL,B1G,G_EUR_CP,EE	1395.67 	1268.15 	1047.53 	1058.4 	1028.08 	887.1 	578.89 	439.68 	435.09 	433.81 s
A,GHG,TOTAL,B1G,G_EUR_CP,EL	611.5 	603.38 	581.36 	582.14 	611.11 	603.35 	552.68 	529.27 	494.82 	429.62 s
A,GHG,TOTAL,B1G,G_EUR_CP,ES	279.03 	278.99 	278.26 	257.31 	259.89 	244.36 	220.57 	211.53 	205.69 	192 e
A,GHG,TOTAL,B1G,G_EUR_CP,EU27_2020	320.96 s	303.84 s	296.41 s	288.26 s	280.87 s	266.8 s	245.31 s	228.85 s	223.24 s	202.57 s
A,GHG,TOTAL,B1G,G_EUR_CP,FI	338.98 	310.06 	285.42 	294.39 	266.98 	265.61 	245.04 	212.06 	201.78 	184.02 s
A,GHG,TOTAL,B1G,G_EUR_CP,FR	199.84 	185.69 	181.75 	178.42 	179 	169.48 	160.53 	151.9 	148.51 	139.92 s
A,GHG,TOTAL,B1G,G_EUR_CP,HR	523.92 	513.2 	503.04 	479.71 	475.31 	428.17 	411.02 	430.04 	378.12 	311.52 s
A,GHG,TOTAL,B1G,G_EUR_CP,HU	571.26 	558.15 	549.97 	526.44 	500.62 	473.44 	427.99 	430.91 	389.17 	342.63 s
A,GHG,TOTAL,B1G,G_EUR_CP,IE	335.5 	310.76 	237.35 	250.01 	236.97 	216.88 	193.57 	146.57 	134.76 	128.08 e
A,GHG,TOTAL,B1G,G_EUR_CP,IS	496.06 	445.92 	419.55 	378.66 	349.87 	423.64 	351.28 	299.26 	262.64 	249.35 
A,GHG,TOTAL,B1G,G_EUR_CP,IT	243.17 	229.57 	228.33 	221.73 	217.18 	209.58 	201.72 	196.04 	194.28 	182.88 e
A,GHG,TOTAL,B1G,G_EUR_CP,LT	564.22 s	564.68 s	576.27 s	543.9 s	519.06 s	498.19 s	471.89 s	503.79 s	410.17 s	321.76 s
A,GHG,TOTAL,B1G,G_EUR_CP,LU	168.82 	165.79 	172.14 	163.21 	157.94 	155.77 	160.79 	139.82 	124.15 	111.9 s
A,GHG,TOTAL,B1G,G_EUR_CP,LV	505.95 	484.87 	479.67 	462.44 	440.64 	429.23 	408.59 	357.3 	331.77 	270.81 s
A,GHG,TOTAL,B1G,G_EUR_CP,MT	391.25 	359 	232.02 	188.55 	181.9 	170.68 	163.91 	155.76 	134.14 	122.08 s
A,GHG,TOTAL,B1G,G_EUR_CP,NL	298.82 s	293.39 s	295.37 s	287.34 s	271.68 s	252.12 s	236.94 s	215.47 s	198.17 s	169.39 s
A,GHG,TOTAL,B1G,G_EUR_CP,NO	176.78 	183.5 	221.94 	203.4 	198.54 	198.16 	203.22 	210.92 	160.27 	118.28 s
A,GHG,TOTAL,B1G,G_EUR_CP,PL	1005.89 	940.87 	894.27 	939.69 	901.53 	840.26 	749.31 	722.41 	730.55 	605.33 s
A,GHG,TOTAL,B1G,G_EUR_CP,PT	382.08 	378.05 	391.17 	364.31 	378.25 	342.39 	307.46 	283.41 	260.1 	242.26 s
A,GHG,TOTAL,B1G,G_EUR_CP,RO	825.77 	777.12 	726.33 	667.64 	606.31 	549.26 	486.9 	470.72 	438.69 	349.79 s
A,GHG,TOTAL,B1G,G_EUR_CP,SE	123.61 	120.72 	117.16 	117.51 	110.93 	112.05 	107.75 	95.09 	88.72 	83.23 
A,GHG,TOTAL,B1G,G_EUR_CP,SI	444.43 	387.44 	382.79 	382.28 	362.04 	343.98 	321.01 	314.69 	281.11 	246.47 s
A,GHG,TOTAL,B1G,G_EUR_CP,SK	536.24 	503.46 	486.55 	483.18 	475.97 	448.76 	397.05 	367.19 	379.49 	314.39 s
