freq,airpol,unit,src_crf,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CH4,PC,CRF3,AT	64.7 	65.4 	66.8 	68.7 	69.8 	70.9 	71.5 	72.9 	73.3 	74.0 	74.0 	75.6 
A,CH4,PC,CRF3,BE	66.2 	67.0 	67.8 	69.4 	70.2 	70.9 	71.0 	71.9 	72.3 	73.4 	73.5 	74.5 
A,CH4,PC,CRF3,BG	28.4 	28.7 	29.6 	30.5 	29.9 	30.4 	30.7 	31.5 	32.1 	33.7 	33.8 	33.1 
A,CH4,PC,CRF3,CH	82.9 	83.4 	83.5 	84.3 	84.5 	84.6 	84.7 	85.2 	85.3 	85.6 	85.8 	86.2 
A,CH4,PC,CRF3,CY	39.4 	37.8 	36.0 	35.0 	34.8 	36.1 	36.3 	36.4 	36.7 	38.6 	39.1 	38.2 
A,CH4,PC,CRF3,CZ	23.8 	23.8 	24.6 	24.9 	25.7 	26.7 	27.3 	28.3 	29.0 	30.7 	30.4 	31.1 
A,CH4,PC,CRF3,DE	60.8 	60.8 	62.9 	65.3 	66.0 	67.5 	68.2 	70.2 	73.5 	74.5 	74.5 	74.9 
A,CH4,PC,CRF3,DK	81.7 	83.0 	83.6 	84.3 	84.4 	84.2 	84.0 	84.2 	84.0 	84.5 	83.8 	83.5 
A,CH4,PC,CRF3,EE	59.3 	60.6 	64.2 	66.5 	66.4 	67.1 	68.4 	68.5 	69.4 	70.9 	70.2 	70.7 
A,CH4,PC,CRF3,EL	45.1 	45.1 	45.3 	44.6 	44.4 	45.1 	43.5 	43.2 	43.6 	45.4 	43.5 	42.4 
A,CH4,PC,CRF3,ES	56.5 	55.9 	56.1 	58.8 	58.4 	59.7 	60.4 	60.3 	61.7 	62.9 	62.1 	63.0 
A,CH4,PC,CRF3,EU27_2020	51.9 	52.1 	53.1 	54.4 	54.8 	55.6 	55.9 	56.3 	57.2 	57.9 	57.9 	58.4 
A,CH4,PC,CRF3,FI	47.5 	47.8 	49.5 	51.4 	52.7 	53.9 	54.9 	55.2 	55.2 	56.5 	56.9 	57.7 
A,CH4,PC,CRF3,FR	67.4 	67.3 	69.0 	71.1 	72.0 	71.6 	71.5 	71.7 	70.9 	71.3 	71.4 	70.9 
A,CH4,PC,CRF3,HR	31.4 	31.0 	29.9 	29.6 	28.6 	28.3 	28.0 	27.0 	27.9 	28.3 	29.3 	28.6 
A,CH4,PC,CRF3,HU	26.6 	27.2 	28.0 	29.5 	30.3 	31.3 	31.1 	31.9 	32.3 	33.2 	34.1 	34.5 
A,CH4,PC,CRF3,IE	94.0 	95.0 	93.9 	92.8 	92.6 	92.7 	93.3 	93.6 	93.8 	94.0 	94.5 	94.4 
A,CH4,PC,CRF3,IS	59.6 	60.7 	60.0 	61.6 	61.9 	62.5 	62.3 	61.9 	64.6 	61.7 	61.9 	62.2 
A,CH4,PC,CRF3,IT	42.1 	41.3 	42.7 	42.9 	43.0 	44.0 	44.1 	44.4 	45.4 	45.1 	44.9 	45.5 
A,CH4,PC,CRF3,LT	56.1 	55.4 	55.5 	56.4 	57.3 	56.9 	56.4 	58.5 	58.4 	59.2 	60.1 	63.2 
A,CH4,PC,CRF3,LU	74.3 	73.8 	75.1 	75.6 	76.8 	77.7 	77.8 	78.2 	78.3 	79.5 	79.1 	80.2 
A,CH4,PC,CRF3,LV	50.0 	49.8 	51.2 	51.7 	54.6 	54.1 	53.8 	54.7 	55.1 	55.7 	56.1 	55.8 
A,CH4,PC,CRF3,MT	28.5 	28.2 	28.2 	25.8 	23.7 	22.4 	22.3 	21.6 	20.4 	20.9 	20.6 	20.1 
A,CH4,PC,CRF3,NL	61.7 	62.8 	64.4 	66.5 	68.1 	69.7 	70.3 	70.1 	69.9 	70.6 	70.5 	73.3 
A,CH4,PC,CRF3,NO	49.7 	50.3 	51.4 	52.5 	53.3 	54.5 	55.4 	56.4 	56.7 	56.6 	57.6 	57.2 
A,CH4,PC,CRF3,PL	32.5 	32.6 	32.9 	33.6 	33.4 	33.3 	34.2 	34.2 	36.8 	37.8 	38.4 	39.4 
