country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT,100,95.3,100,89.5,100.8,90.9,97.1,90.9,95,90.9,100.5,83.8,110.2,114.9,104.5,112.4,122.8,123.9,113.1,109.3,98.9,102.4,112.4,112.2,104.9,110,111,119.8,127.5,125.6,103,100.9
BE,100,101.8,101.6,100.7,104,105.6,108.3,103,106.5,102.9,104,102.8,101.9,102.4,103.1,100.8,99.1,97,97.3,88.5,94.1,87.2,85.1,84.6,80.8,83.9,82.9,82.9,83.6,83,75.7,78.9
BG,100,78.1,72.3,71.5,66.2,67.9,68.8,64.4,59.8,51.3,48.7,55.5,52.1,58.6,56.6,55.8,60.7,64.2,64.7,53.7,57.7,68.1,62.6,57.7,59.9,64,58.8,61.3,55.9,54.4,46.8,54.4
CH,100,97.7,99.1,94.2,94.8,95.3,93.8,94.9,99.5,100.4,113,104.4,98,99.1,99.6,100.4,101.8,100.7,101.6,96.7,100.5,96.9,96.8,99.7,95.6,91.8,92.7,91.8,90.8,89.2,78.6,80.7
CY,100,110.1,116.8,119.4,123.6,123.8,128.9,130.1,135.9,140.5,146,147.1,149.8,156.9,158.8,159.6,163.8,169.5,172.4,167.3,162.6,157.5,148.6,136.1,142.1,142.6,153.5,156.5,154.9,155.9,138.4,145.7
CZ,100,89.8,86.7,82.8,78.9,78.2,80,78.1,75,69.7,74.5,74.3,72.5,74.5,75.1,74.1,75.4,76.5,73.2,68.2,70,69,66.8,64.2,63.2,63.9,65.2,66.5,68.5,69.1,65,66.3
DE,100,91.7,87.4,86.7,85.7,85.6,87.5,84.9,83,80.2,81.6,81.9,82.7,82.1,80.2,78.2,78.3,76.5,76.1,70.3,73.4,71,70.9,72.6,70,70.1,70.2,69.3,66.9,62.9,57.6,60.2
DK,100,112.3,106.2,107.3,111.8,108.4,124,112.6,107.7,104.8,99.2,100.6,100.9,106.9,99.5,94.2,104.1,98.7,92.4,87.7,86.8,79.7,73.5,75.2,71.1,66.3,70.4,67.6,69.9,64.2,58.5,59.3
EE,100,92.5,67.3,49.3,52.2,45.7,47.3,46.2,40.1,38.2,35,35.5,34.8,41,40.1,45,39,50,40.9,32.2,42.9,43.7,45.2,52.6,57,47.3,53.4,58.2,61.3,43.3,38.1,42.6
EL,100,99.6,100.7,99.9,103.1,104.8,108.2,113,118.3,118.2,121.5,122.3,122,126.6,127.3,130.3,127.1,131,126.8,119.5,113.6,110.7,107.3,99.5,97.9,90.8,87.6,91.6,88.1,81.3,68.5,71.5
ES,100,103.1,106.9,102.5,109.4,115,111.6,117.2,120.9,129.9,135.2,134,141.5,144.6,150.8,157,153.7,159.2,146.2,131.6,125,125.7,123.7,113.6,113.7,117.5,113.4,118.7,116.5,109.7,90.7,97.7
EU27,100,95.6,93,91.1,90.8,91.5,93.1,91.8,90.7,89,89.8,89.8,90.1,92.1,91.5,91.2,91,91.4,88.5,81.6,83.4,81.2,79.7,77.9,75.2,76.4,76.6,78.7,76.9,73.8,66.2,70.3
FI,100,68.7,78.4,81.6,108.3,103.2,102.5,109.6,106,104.2,100.9,110.8,113.5,128.8,117.8,91.8,108.3,125.9,103.1,68.4,110.3,95.9,80,95.7,85.6,86.8,100,99.4,121.8,104.7,85.2,105.8
FR,100,104.8,103.7,99,97.9,98.4,100.6,98.9,101.2,99.7,101.7,100.2,97.2,97.1,96.8,97.1,95.2,93.9,93,90.6,90.8,85.9,85.4,85.5,80.3,82,83.5,85.9,82.7,81.4,71.4,76.5
HR,100,68,60.2,59.9,55.6,56.3,59.5,67.2,68.5,70.4,74.7,74.5,77.5,86.4,85.3,86.5,88.8,98.9,94.6,85.4,84.2,88,82.9,74.5,72.2,75.2,76.1,82.9,76.7,76.7,71.8,73.9
HU,100,94,82.7,80.9,79.2,78,84.4,82.2,80.5,83.5,81.4,81.5,80.4,80.9,80.8,77.9,78.6,76.5,72.5,67.3,67.8,66.7,62.2,59.8,59.1,61.9,63.7,65.6,66.3,65.4,61,62.3
IE,100,101.1,100.5,102.4,104.5,108.3,111.1,112.9,116.8,119.3,125.7,131.4,128.5,130,126.2,130.3,130,126.7,124.8,113.7,115.4,107,107.1,108.4,107.3,112.4,114.2,117.8,116.9,113.4,107.3,112.8
IS,100,98.6,97.9,98.4,98,99,99.7,101,102.4,104.2,104.9,103.7,104.3,104.2,105.3,104.5,109.7,111.3,113.8,110.9,110.1,108.7,108.8,109.1,109.5,110.7,111.9,113.9,115.3,111.7,105.1,107.1
IT,100,97.4,97.7,98.9,95.3,99.1,97.9,101,103.9,103.3,104.6,103,103.1,108.6,108.5,108.6,106.6,110.1,104.1,92.8,93.9,93,91.1,81.2,77.1,78.8,78.5,81.4,76.7,75.2,68.2,75.7
LT,100,104,59.8,43.2,41.2,41.7,56.8,52.9,37.4,32.4,23.4,30.3,33.3,35.5,38.6,42.7,44.5,45,41.3,29.4,24.4,24.9,25.7,24.6,26.2,28.9,31,32.7,34.4,34.2,31.8,33.3
LU,100,104.4,99.4,99.7,95.3,77.1,77.7,73.1,68.2,72.1,76.1,80.7,87.3,91.3,102.2,104.6,103.3,100.2,99.3,94.7,101,98.7,95.7,90.6,88.3,86.3,84.9,88.5,92.7,92.8,77.9,81.2
LV,100,83.9,45.2,21.2,-13.7,-15.4,-16.1,-7.4,-4.3,16.6,-11.4,-10.8,1.4,6,32.5,37.8,35.7,42.3,36.6,52.6,73.4,64.8,53.8,62.6,89.8,81,68.2,58.4,80.2,67.2,82.6,96.2
MT,100,94.4,97.8,119.4,113.6,107.2,110.3,112,110.6,112.9,109.1,117.2,118,125.9,122.1,115.9,117.6,121.3,117.8,112.4,116,115.9,121.6,110.9,111.7,88.3,79.5,87.3,89.2,94.7,82.2,84.6
NL,100,103.5,104,104.4,104.8,105.2,109.8,106.5,106.8,101.6,100.9,101.3,100.4,100.8,101.7,99.3,97.1,96.4,96.4,93.6,98.5,92.8,90.9,90.7,87.3,90.5,90.8,89.3,87.2,84.6,75.2,76.8
NO,100,90,87.9,88.9,98.4,89.2,98.1,100.8,95.1,93.9,88.5,86.7,81,78.8,80.6,84.5,80.2,84,77.3,63.4,77.6,72.4,80.2,79.7,89.6,102,99.8,100.2,98.5,89.5,73.3,81.1
PL,100,99.1,101.1,99.4,98.1,96.2,95.4,93.1,85,83,80.7,82.1,77.9,80.4,79.1,79.2,83.9,85.3,84,79.9,84.2,82.6,80.8,79.4,78.3,79.8,80.7,83.8,84.1,83.2,79.3,85.5
PT,100,89.1,85.2,81.6,84.3,89.3,87.6,90.8,98.6,110.1,121,111,118,129.7,121,135.5,120.7,115.2,103,96.8,96.4,99.5,99.4,98.4,91,99.2,104,142,100.5,94,80.6,77
RO,100,79.3,72,66.9,65.8,69,70.5,67.4,59,51.4,47.9,49.1,50.8,53.1,52.5,51.6,52.2,53.4,51.8,43.7,39.2,41.8,39.8,34.6,29.5,29.4,27.7,30,31.2,29.7,26.9,29
SE,100,100.5,102.2,119.4,123.5,121.3,126.5,105.4,105,92.6,83.4,82.8,87.9,99.5,106.9,94.8,67.2,71.5,64.4,47.5,61.2,42.1,30.4,31.3,30.6,35.3,40.8,62.5,72.3,56.7,22.1,26.8
SI,100,88,87.2,88.9,90.6,95.4,95.5,97.8,94,89.6,87.5,96,90.2,90,91.7,93.3,94.5,93.8,100.6,85.8,87.9,88,84,91,121.1,123.1,130.1,130.7,130.3,96.4,89,90.1
SK,100,84.2,74.3,69.4,66.3,67.9,67.7,67.8,65,64.4,61.5,66.1,63.2,64.3,65.4,71.4,66.3,64.3,66.9,60.5,63.1,61.1,55.7,54,54.3,54.7,55.3,57.2,58.5,53.7,45.8,52.2
