country	2005	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
AL	201	NA 	NA 	175	NA 	NA 	NA 	NA 	128	162	171	183	169	139	NA 
AT	87	65	71	70	81	80	64	69	50	57	46	48	57	42	36
BA	189	NA 	NA 	179	NA 	NA 	NA 	NA 	119	150	214	178	203	168	NA 
BE	89	68	81	88	91	82	73	78	56	55	51	50	52	40	34
BG	251	228	253	216	214	271	219	187	196	204	186	185	171	142	153
CH	73	NA 	NA 	63	NA 	NA 	NA 	NA 	49	53	43	43	42	38	NA 
CY	112	84	90	68	70	80	90	49	52	61	46	52	44	48	46
CZ	129	84	88	98	113	107	97	104	94	88	82	88	97	65	65
DE	81	59	67	77	84	80	64	73	64	61	54	55	60	41	35
DK	55	50	44	42	47	61	34	31	43	33	29	24	38	30	18
EE	57	47	34	21	33	26	24	23	30	16	10	5	18	6	4
EL	140	114	119	121	108	117	111	104	88	115	113	192	104	88	83
ES	82	74	56	55	43	47	46	35	35	50	40	45	34	33	38
EU27	100	81	82	83	84	90	79	75	66	73	64	69	66	52	54
FI	24	24	16	12	19	18	14	7	16	4	4	2	8	3	1
FR	64	53	56	64	65	64	58	56	35	44	38	36	35	29	25
HR	152	122	114	125	126	138	99	96	89	110	122	112	114	85	102
HU	178	130	129	135	137	164	126	117	109	132	115	129	124	89	97
IE	16	7	19	16	22	17	14	19	18	8	10	6	13	12	10
IS	27	NA 	NA 	21	NA 	NA 	NA 	NA 	23	20	18	19	16	14	NA 
IT	124	104	100	99	88	112	102	92	75	100	82	90	78	71	88
LI	46	NA 	NA 	37	NA 	NA 	NA 	NA 	24	32	32	26	26	23	NA 
LT	96	81	94	68	101	84	75	83	96	72	71	52	75	67	52
LU	56	43	49	57	55	46	40	45	33	36	30	25	25	15	12
LV	117	73	109	78	96	69	75	77	89	63	63	46	74	52	44
ME	164	NA 	NA 	159	NA 	NA 	NA 	NA 	122	147	157	150	161	146	NA 
MK	274	NA 	NA 	240	NA 	NA 	NA 	NA 	206	221	254	274	232	162	NA 
MT	87	67	56	63	45	59	44	41	38	45	34	38	41	38	30
NL	73	62	69	68	72	70	52	55	51	45	39	39	44	35	29
NO	46	NA 	NA 	35	NA 	NA 	NA 	NA 	31	25	25	22	27	23	NA 
PL	46	95	106	111	138	132	125	121	119	117	109	118	123	94	96
PT	92	63	43	52	40	48	37	37	26	40	30	31	27	26	27
RO	198	157	147	129	108	145	141	115	110	121	109	119	119	95	112
RS	224	NA 	NA 	197	NA 	NA 	NA 	NA 	164	183	187	219	203	163	NA 
SE	38	34	28	18	22	28	17	8	17	8	7	4	9	5	4
SI	102	77	78	84	84	95	79	78	63	80	71	75	73	55	59
SK	125	99	103	99	109	126	103	98	90	95	82	93	89	64	72
TR	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA 	43	NA 	55	51	NA 
XK	222	NA 	NA 	204	NA 	NA 	NA 	NA 	199	205	205	223	217	159	NA 
