Name,year,month,HNsum,HSmean,HSmax,SCD1,SCD1gt,SCD10,SCD20,SCD30,SCD50,SCD100,HSmean_gapfill,frac_gapfilled,HSmax_gapfill,SCD1_gapfill,SCD1gt_gapfill,SCD10_gapfill,SCD20_gapfill,SCD30_gapfill,SCD50_gapfill,SCD100_gapfill
Aupa,1983,1,,,,,,,,,,,,,,,,,,,,
Aupa,1983,2,,,,,,,,,,,,,,,,,,,,
Aupa,1983,3,,,,,,,,,,,,,,,,,,,,
Aupa,1983,4,,,,,,,,,,,,,,,,,,,,
Aupa,1983,5,,,,,,,,,,,,,,,,,,,,
Aupa,1983,6,,,,,,,,,,,,,,,,,,,,
Aupa,1983,7,,,,,,,,,,,,,,,,,,,,
Aupa,1983,8,,,,,,,,,,,,,,,,,,,,
Aupa,1983,9,,,,,,,,,,,,,,,,,,,,
Aupa,1983,10,,,,,,,,,,,,,,,,,,,,
Aupa,1983,11,,,,,,,,,,,,,,,,,,,,
Aupa,1983,12,53,16.4516129032258,48,15,15,15,15,15,0,0,,,,,,,,,,
Aupa,1984,1,75,47.8064516129032,82,31,31,31,31,31,10,0,,,,,,,,,,
Aupa,1984,2,56,74.8965517241379,102,29,29,29,29,29,29,3,,,,,,,,,,
Aupa,1984,3,9,121.548387096774,160,31,31,31,31,31,31,27,,,,,,,,,,
Aupa,1984,4,58,77.0333333333333,123,30,30,30,29,26,23,9,,,,,,,,,,
Aupa,1984,5,,,,,,,,,,,,,,,,,,,,
Aupa,1984,6,,,,,,,,,,,,,,,,,,,,
Aupa,1984,7,,,,,,,,,,,,,,,,,,,,
Aupa,1984,8,,,,,,,,,,,,,,,,,,,,
Aupa,1984,9,,,,,,,,,,,,,,,,,,,,
Aupa,1984,10,,,,,,,,,,,,,,,,,,,,
Aupa,1984,11,,,,,,,,,,,,,,,,,,,,
Aupa,1984,12,30,10.0967741935484,29,12,12,12,12,0,0,0,,,,,,,,,,
Aupa,1985,1,73,43.9354838709677,71,31,31,31,31,18,13,0,,,,,,,,,,
Aupa,1985,2,3,45.25,50,28,28,28,28,28,2,0,,,,,,,,,,
Aupa,1985,3,142,56.6774193548387,122,31,31,31,31,26,15,3,,,,,,,,,,
Aupa,1985,4,15,25.5,70,20,20,19,17,10,5,0,,,,,,,,,,
Aupa,1985,5,,,,,,,,,,,,,,,,,,,,
Aupa,1985,6,,,,,,,,,,,,,,,,,,,,
Aupa,1985,7,,,,,,,,,,,,,,,,,,,,
Aupa,1985,8,,,,,,,,,,,,,,,,,,,,
Aupa,1985,9,,,,,,,,,,,,,,,,,,,,
Aupa,1985,10,,,,,,,,,,,,,,,,,,,,
Aupa,1985,11,,,,,,,,,,,,,,,,,,,,
Aupa,1985,12,27,26.741935483871,48,31,31,31,29,7,0,0,,,,,,,,,,
Aupa,1986,1,48,24.7741935483871,53,31,31,31,29,1,1,0,,,,,,,,,,
Aupa,1986,2,84,88.25,102,28,28,28,28,28,28,1,,,,,,,,,,
