Name,year,month,HNsum,HSmean,HSmax,SCD1,SCD1gt,SCD10,SCD20,SCD30,SCD50,SCD100,HSmean_gapfill,frac_gapfilled,HSmax_gapfill,SCD1_gapfill,SCD1gt_gapfill,SCD10_gapfill,SCD20_gapfill,SCD30_gapfill,SCD50_gapfill,SCD100_gapfill
Aprica_Magnolta,1981,1,,,,,,,,,,,53.4193548387097,1,64,31,31,31,31,31,26,0
Aprica_Magnolta,1981,2,,,,,,,,,,,44.4285714285714,1,53,28,28,28,27,25,15,0
Aprica_Magnolta,1981,3,,,,,,,,,,,47.2258064516129,1,118,31,31,31,28,19,11,3
Aprica_Magnolta,1981,4,,,,,,,,,,,20.3333333333333,1,55,30,30,19,14,8,2,0
Aprica_Magnolta,1981,5,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1981,6,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1981,7,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1981,8,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1981,9,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1981,10,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1981,11,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1981,12,,,,,,,,,,,67.0322580645161,1,148,31,31,31,31,31,18,4
Aprica_Magnolta,1982,1,,,,,,,,,,,128.096774193548,1,168,31,31,31,31,31,31,31
Aprica_Magnolta,1982,2,,,,,,,,,,,109,1,143,28,28,28,28,28,28,22
Aprica_Magnolta,1982,3,,,,,,,,,,,155.161290322581,1,193,31,31,31,31,31,31,31
Aprica_Magnolta,1982,4,,,,,,,,,,,101.266666666667,1,177,30,30,30,30,30,29,16
Aprica_Magnolta,1982,5,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1982,6,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1982,7,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1982,8,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1982,9,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1982,10,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1982,11,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1982,12,,,,,,,,,,,61.8064516129032,1,108,31,31,26,24,23,21,4
Aprica_Magnolta,1983,1,,,,,,,,,,,76.7741935483871,1,93,31,31,31,31,31,31,0
Aprica_Magnolta,1983,2,,,,,,,,,,,79.5,1,113,28,28,28,28,28,28,2
Aprica_Magnolta,1983,3,,,,,,,,,,,94.5161290322581,1,135,31,31,31,31,31,31,14
Aprica_Magnolta,1983,4,,,,,,,,,,,125.2,1,176,30,30,30,30,30,30,30
Aprica_Magnolta,1983,5,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1983,6,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1983,7,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1983,8,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1983,9,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1983,10,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1983,11,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1983,12,,,,,,,,,,,55.0967741935484,1,130,31,31,31,28,15,14,5
Aprica_Magnolta,1984,1,,,,,,,,,,,90.8709677419355,1,123,31,31,31,31,31,31,5
Aprica_Magnolta,1984,2,,,,,,,,,,,136.689655172414,1,261,29,29,29,29,29,29,29
Aprica_Magnolta,1984,3,,,,,,,,,,,206.548387096774,1,316,31,31,31,31,31,31,31
Aprica_Magnolta,1984,4,,,,,,,,,,,219.8,1,353,30,30,30,30,30,30,30
Aprica_Magnolta,1984,5,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1984,6,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1984,7,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1984,8,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1984,9,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1984,10,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1984,11,,,,,,,,,,,,,,,,,,,,
Aprica_Magnolta,1984,12,,,,,,,,,,,39.7741935483871,1,85,31,31,31,22,17,10,0
Aprica_Magnolta,1985,1,,,,,,,,,,,156.967741935484,1,252,31,31,31,31,31,31,17
Aprica_Magnolta,1985,2,,,,,,,,,,,181.964285714286,1,225,28,28,28,28,28,28,28
