Name,year,month,HNsum,HSmean,HSmax,SCD1,SCD1gt,SCD10,SCD20,SCD30,SCD50,SCD100,HSmean_gapfill,frac_gapfilled,HSmax_gapfill,SCD1_gapfill,SCD1gt_gapfill,SCD10_gapfill,SCD20_gapfill,SCD30_gapfill,SCD50_gapfill,SCD100_gapfill
Andalo,1975,1,,,,,,,,,,,2.70967741935484,1,17,14,13,4,0,0,0,0
Andalo,1975,2,,,,,,,,,,,8.85714285714286,1,15,28,28,13,0,0,0,0
Andalo,1975,3,,,,,,,,,,,23.7741935483871,1,78,31,31,14,13,13,5,0
Andalo,1975,4,,,,,,,,,,,21.7333333333333,1,53,30,28,19,15,12,1,0
Andalo,1975,5,,,,,,,,,,,,,,,,,,,,
Andalo,1975,6,,,,,,,,,,,,,,,,,,,,
Andalo,1975,7,,,,,,,,,,,,,,,,,,,,
Andalo,1975,8,,,,,,,,,,,,,,,,,,,,
Andalo,1975,9,,,,,,,,,,,,,,,,,,,,
Andalo,1975,10,,,,,,,,,,,,,,,,,,,,
Andalo,1975,11,,,,,,,,,,,,,,,,,,,,
Andalo,1975,12,,,,,,,,,,,24.0967741935484,1,34,31,31,31,31,3,0,0
Andalo,1976,1,,,,,,,,,,,10.9032258064516,1,21,31,31,19,4,0,0,0
Andalo,1976,2,,,,,,,,,,,23.6551724137931,1,44,29,29,29,21,6,0,0
Andalo,1976,3,,,,,,,,,,,9.35483870967742,1,17,31,29,14,0,0,0,0
Andalo,1976,4,,,,,,,,,,,0.966666666666667,1,18,7,3,1,0,0,0,0
Andalo,1976,5,,,,,,,,,,,,,,,,,,,,
Andalo,1976,6,,,,,,,,,,,,,,,,,,,,
Andalo,1976,7,,,,,,,,,,,,,,,,,,,,
Andalo,1976,8,,,,,,,,,,,,,,,,,,,,
Andalo,1976,9,,,,,,,,,,,,,,,,,,,,
Andalo,1976,10,,,,,,,,,,,,,,,,,,,,
Andalo,1976,11,,,,,,,,,,,,,,,,,,,,
Andalo,1976,12,,,,,,,,,,,8.54838709677419,1,20,27,26,12,1,0,0,0
Andalo,1977,1,,,,,,,,,,,76.6129032258065,1,116,31,31,31,30,28,22,9
Andalo,1977,2,,,,,,,,,,,99.5714285714286,1,114,28,28,28,28,28,28,15
Andalo,1977,3,,,,,,,,,,,67.1612903225806,1,94,31,31,31,31,30,26,0
Andalo,1977,4,,,,,,,,,,,12.9,1,46,25,24,16,5,4,0,0
Andalo,1977,5,,,,,,,,,,,,,,,,,,,,
Andalo,1977,6,,,,,,,,,,,,,,,,,,,,
Andalo,1977,7,,,,,,,,,,,,,,,,,,,,
Andalo,1977,8,,,,,,,,,,,,,,,,,,,,
Andalo,1977,9,,,,,,,,,,,,,,,,,,,,
Andalo,1977,10,,,,,,,,,,,,,,,,,,,,
Andalo,1977,11,,,,,,,,,,,,,,,,,,,,
