Name,year,month,HNsum,HSmean,HSmax,SCD1,SCD1gt,SCD10,SCD20,SCD30,SCD50,SCD100,HSmean_gapfill,frac_gapfilled,HSmax_gapfill,SCD1_gapfill,SCD1gt_gapfill,SCD10_gapfill,SCD20_gapfill,SCD30_gapfill,SCD50_gapfill,SCD100_gapfill
Andraz_Livinallongo,1922,1,,,,,,,,,,,,,,,,,,,,
Andraz_Livinallongo,1922,2,,8.57142857142857,20,26,26,14,1,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1922,3,,8.96774193548387,30,18,18,13,8,1,0,0,,,,,,,,,,
Andraz_Livinallongo,1922,4,,3.56666666666667,18,14,12,5,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1922,5,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1922,6,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1922,7,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1922,8,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1922,9,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1922,10,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1922,11,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1922,12,,17.1935483870968,70,13,12,12,9,8,8,0,,,,,,,,,,
Andraz_Livinallongo,1923,1,,73.9354838709678,80,31,31,31,31,31,31,0,,,,,,,,,,
Andraz_Livinallongo,1923,2,,23.9285714285714,45,28,28,28,19,8,0,0,,,,,,,,,,
Andraz_Livinallongo,1923,3,,11.9677419354839,30,25,25,22,4,2,0,0,,,,,,,,,,
Andraz_Livinallongo,1923,4,,1.4,16,5,4,2,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1923,5,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1923,6,,1,30,1,1,1,1,1,0,0,,,,,,,,,,
Andraz_Livinallongo,1923,7,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1923,8,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1923,9,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1923,10,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1923,11,,0.4,4,6,4,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1923,12,,2.64516129032258,30,4,4,3,3,1,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,1,,40.9677419354839,85,23,23,23,23,22,16,0,,,,,,,,,,
Andraz_Livinallongo,1924,2,,18.75,40,15,15,15,15,15,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,3,,9.35483870967742,33,16,15,14,7,4,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,4,,0.5,15,1,1,1,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,5,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,6,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,7,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,8,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,9,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,10,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,11,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1924,12,,0.548387096774194,10,3,3,1,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1925,1,,0.32258064516129,10,1,1,1,0,0,0,0,,,,,,,,,,
Andraz_Livinallongo,1925,2,,20.4642857142857,50,17,17,16,16,14,1,0,,,,,,,,,,
Andraz_Livinallongo,1925,3,,48.3870967741936,80,31,31,31,31,31,19,0,,,,,,,,,,
Andraz_Livinallongo,1925,4,,6.23333333333333,35,8,8,7,6,3,0,0,,,,,,,,,,
Andraz_Livinallongo,1925,5,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
