freq,indic_sb,nace_r2,ceparema,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
A,V21110,B,CEPA1,AT	0.2 	0.1 	0.2 	0.1 	0.2 	0.1 	0.2 	0.4 	0.3 	0.3 	0.1 b
A,V21110,B,CEPA1,BE	: c	0.0 	0.0 	1.4 	0.8 	2.4 	0.3 	0.8 	0.1 	0.4 	1.1 b
A,V21110,B,CEPA1,BG	: c	0.3 	: c	0.3 	0.0 	0.0 	0.0 	0.0 	: c	: c	: bc
A,V21110,B,CEPA1,CH	: 	: u	: 	: 	: 	0.4 d	: 	: 	0.4 d	: 	0.0 d
A,V21110,B,CEPA1,CY	0.1 	0.6 	0.2 	: c	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B,CEPA1,CZ	: c	: c	2.4 	: c	1.9 	: c	9.6 	5.6 	2.1 	3.4 	0.6 
A,V21110,B,CEPA1,DE	6.2 d	7.9 	4.8 	4.4 	3.5 	3.2 	5.9 	12.5 	6.1 	4.4 	5.3 b
A,V21110,B,CEPA1,DK	: 	: u	: u	: u	: u	: u	: u	0.0 	: u	: u	: bu
A,V21110,B,CEPA1,EE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: bc
A,V21110,B,CEPA1,EL	0.0 	0.3 	0.1 	: 	0.0 	0.0 	0.0 	0.0 b	0.0 	0.0 	0.0 b
A,V21110,B,CEPA1,ES	3.3 d	0.5 	1.4 	0.3 	0.1 	0.2 	0.0 	0.2 	0.0 	0.8 	0.1 b
A,V21110,B,CEPA1,FI	4.2 	0.7 	0.8 	4.6 	0.1 	1.3 b	10.1 	6.7 u	: c	1.0 b	: c
A,V21110,B,CEPA1,FR	: c	: c	2.3 	5.5 	: c	8.3 	22.7 	4.8 	3.7 	2.1 b	4.3 
A,V21110,B,CEPA1,HR	: c	: c	: c	1.0 	: c	: c	: c	: c	0.0 	0.0 	0.0 
A,V21110,B,CEPA1,HU	0.0 	0.1 	0.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B,CEPA1,IT	74.2 	258.9 	198.0 	35.4 	41.2 	36.0 	10.5 	34.9 	28.6 	2.7 b	2.4 
A,V21110,B,CEPA1,LT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 b
A,V21110,B,CEPA1,MK	: 	: 	: 	: 	: 	: 	: 	0.0 p	: 	: 	0.0 p
A,V21110,B,CEPA1,MT	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,V21110,B,CEPA1,NL	: c	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,V21110,B,CEPA1,NO	: c	37.6 	10.3 	17.9 	15.0 	5.1 	32.2 	5.8 	1.1 	1.3 	0.0 b
A,V21110,B,CEPA1,PL	5.2 	2.4 	: c	: c	9.2 d	: cd	: cd	5.1 d	: cd	: cd	: bcd
A,V21110,B,CEPA1,PT	0.1 	0.2 	0.3 	0.1 	0.4 	1.4 b	1.0 	0.3 	0.0 	0.0 	0.1 
A,V21110,B,CEPA1,RO	7.6 	4.8 p	3.8 	44.3 	2.9 	26.3 	6.4 	8.6 	2.8 	: c	131.3 b
A,V21110,B,CEPA1,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.6 p	1.1 
A,V21110,B,CEPA1,SE	0.4 	0.8 	1.8 	8.6 	: c	: c	47.1 	1.9 	: c	: c	4.9 b
A,V21110,B,CEPA1,SI	0.0 	0.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.0 
A,V21110,B,CEPA1,SK	0.0 	: c	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.0 	0.1 
A,V21110,B,CEPA1,UK	: c	: c	: c	: c	: c	: c	: c	54.3 	9.8 	27.1 	: c
A,V21110,B,CEPA2,AT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 	0.1 	0.0 	0.8 	0.2 b
A,V21110,B,CEPA2,BE	: c	0.0 	0.1 	0.0 	0.2 	0.0 	0.1 	0.0 	0.3 	0.0 	0.0 b
A,V21110,B,CEPA2,BG	: c	: c	2.7 	: c	: c	: c	: c	: c	1.5 	: c	1.4 b
A,V21110,B,CEPA2,CH	: 	0.1 	: 	: 	: 	1.0 	: 	: 	0.0 	: 	0.0 
A,V21110,B,CEPA2,CY	0.1 	0.1 	0.1 	: c	: c	: c	0.0 	0.0 	0.0 	0.0 	0.0 
A,V21110,B,CEPA2,CZ	: c	: c	: c	: c	: c	: c	: c	0.3 	: c	: c	: c
A,V21110,B,CEPA2,DE	5.0 d	21.6 	42.7 	25.6 	40.2 	36.1 	46.8 	53.0 	37.2 	18.6 	11.7 b
A,V21110,B,CEPA2,DK	: 	: u	: u	: u	: u	: u	: u	0.0 	: u	: u	: bu
