freq,stk_flow,indic_fo,unit,geo\TIME_PERIOD	1990 	2000 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,BAL,FAWS,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	15.34 	-26.08 	0 	: 
A,BAL,FAWS,MIO_EUR,FR	: 	: 	: 	: 	: 	: 	: 	: 	89.12 	144.96 	-30.98 	-103.38 	27.61 	83.03 	133.48 	319.66 e	387.54 	104.91 e	: 
A,BAL,FAWS,MIO_EUR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.01 e	: 	: 
A,BAL,FAWS,MIO_EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.33 	27.94 	21.22 	23.82 	20.72 	-21.48 	9.16 	4.8 	: 
A,BAL,FAWS,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.22 	: 
A,BAL,FAWS,MIO_EUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.21 	4.63 	0.04 	-0.5 	: 
A,BAL,FAWS,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	30 	-51 	0 	: 
A,BAL,FAWS,MIO_NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	89.12 	144.96 	-30.98 	-103.38 	27.61 	83.03 	133.48 	319.66 e	387.54 	104.91 e	: 
A,BAL,FAWS,MIO_NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.01 e	: 	: 
A,BAL,FAWS,MIO_NAC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.6 	116.9 	92.6 	101.4 	88.3 	-92.3 	40.7 	21.9 	: 
A,BAL,FAWS,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1.1 	: 
A,BAL,FAWS,MIO_NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.21 	4.63 	0.04 	-0.5 	: 
A,BAL,FAWS,THS_HA,AT	: 	: 	-0.57 	-0.57 	-0.57 	-2.78 	-2.78 	-2.78 	-2.78 	-2.78 	-2.78 	-2.78 	-2.78 	-2.78 	-2.78 	-2.78 	-2.78 	-2.78 	-2.78 
A,BAL,FAWS,THS_HA,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	3 	5 	0 	: 
A,BAL,FAWS,THS_HA,FR	: 	: 	: 	: 	: 	: 	: 	: 	67.88 	109.01 	-23.37 	-76 	20 	60 	93.27 	226.04 e	268.27 	70.48 	: 
A,BAL,FAWS,THS_HA,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.98 	: 	: 
A,BAL,FAWS,THS_HA,LU	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,BAL,FAWS,THS_HA,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,BAL,FAWS,THS_HA,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1 	-1 	: 	: 
A,BAL,FAWS,THS_HA,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.9 	15.2 	12.9 	11.5 	11.6 	2.7 	0.7 	3 	: 
A,BAL,FAWS,THS_HA,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 
