freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCC1,AT	1.2 	1.1 	1 	3.0 
A,CVA,LCC1,AT1	2.5 	2.2 	2.1 	2.1 
A,CVA,LCC1,AT11	6.7 	5.3 	5.6 	4.0 
A,CVA,LCC1,AT12	2.7 	2.3 	2.3 	2.3 
A,CVA,LCC1,AT13	37.9 	34.5 	32.7 	9.8 
A,CVA,LCC1,AT2	1.7 	1.6 	1.5 	2.4 
A,CVA,LCC1,AT21	2.6 	2.4 	2.3 	3.6 
A,CVA,LCC1,AT22	2.3 	2.2 	1.9 	3.2 
A,CVA,LCC1,AT3	2.1 	2 	1.9 	7.8 
A,CVA,LCC1,AT31	3.5 	3.1 	3 	3.2 
A,CVA,LCC1,AT32	4 	3.7 	3.6 	6.4 
A,CVA,LCC1,AT33	3.7 	3.7 	3.4 	24.2 
A,CVA,LCC1,AT34	8.3 	8.4 	8 	11.1 
A,CVA,LCC1,BE	3.5 	2.8 	2.9 	2.4 
A,CVA,LCC1,BE1	73.3 	77.5 	58.2 	18.6 
A,CVA,LCC1,BE10	73.3 	77.5 	58.2 	18.6 
A,CVA,LCC1,BE2	9.9 	6.7 	6.7 	6.1 
A,CVA,LCC1,BE21	15.9 	11 	12.8 	11.3 
A,CVA,LCC1,BE22	19.9 	13.4 	10.7 	11.6 
A,CVA,LCC1,BE23	47 	19.6 	19.7 	17.5 
A,CVA,LCC1,BE24	16.9 	12.9 	14.6 	11.9 
A,CVA,LCC1,BE25	53.2 	30.2 	35.8 	28.6 
A,CVA,LCC1,BE3	3.3 	3 	3.1 	2.7 
A,CVA,LCC1,BE31	43.7 	32.4 	24.5 	32.0 
A,CVA,LCC1,BE32	12.8 	11.8 	11.9 	12.3 
A,CVA,LCC1,BE33	7.8 	6.7 	6.4 	7.0 
A,CVA,LCC1,BE34	4.3 	3.9 	3.9 	2.7 
A,CVA,LCC1,BE35	5.8 	5.6 	6.9 	4.9 
A,CVA,LCC1,BG	: 	1.1 	1 	1.1 
A,CVA,LCC1,BG3	: 	1.6 	1.5 	1.6 
A,CVA,LCC1,BG31	: 	3.1 	2.9 	2.9 
A,CVA,LCC1,BG32	: 	3.6 	3.4 	3.8 
A,CVA,LCC1,BG33	: 	3.8 	3.5 	5.3 
A,CVA,LCC1,BG34	: 	2.5 	2.5 	2.0 
A,CVA,LCC1,BG4	: 	1.4 	1.3 	1.7 
A,CVA,LCC1,BG41	: 	1.9 	1.8 	2.7 
A,CVA,LCC1,BG42	: 	1.9 	1.8 	2.1 
A,CVA,LCC1,CY	: 	4.5 	4 	3.1 
A,CVA,LCC1,CY0	: 	4.5 	4 	3.1 
A,CVA,LCC1,CY00	: 	4.5 	4 	3.1 
A,CVA,LCC1,CZ	1.3 	1.2 	1.2 	1.9 
A,CVA,LCC1,CZ0	1.3 	1.2 	1.2 	1.9 
A,CVA,LCC1,CZ01	35 	32.2 	25.2 	35.7 
A,CVA,LCC1,CZ02	4 	3.5 	3.6 	6.4 
A,CVA,LCC1,CZ03	2.5 	2.3 	2.3 	4.9 
A,CVA,LCC1,CZ04	3.7 	3.3 	3.4 	7.0 
A,CVA,LCC1,CZ05	3.5 	3.1 	3 	6.1 
A,CVA,LCC1,CZ06	3.5 	3.2 	3.2 	5.3 
A,CVA,LCC1,CZ07	3.3 	3.1 	3.2 	6.1 
A,CVA,LCC1,CZ08	4.2 	4 	4.3 	9.4 
A,CVA,LCC1,DE	0.7 	0.7 	0.6 	0.9 
A,CVA,LCC1,DE1	1.9 	1.7 	1.7 	2.3 
A,CVA,LCC1,DE11	3.8 	3.4 	3.4 	5.7 
A,CVA,LCC1,DE12	3.9 	3.5 	3.6 	2.1 
A,CVA,LCC1,DE13	3.3 	2.9 	2.9 	5.0 
A,CVA,LCC1,DE14	4.4 	4 	3.9 	3.1 
A,CVA,LCC1,DE2	1.4 	1.3 	1.3 	1.5 
A,CVA,LCC1,DE21	2.7 	2.6 	2.6 	3.1 
A,CVA,LCC1,DE22	4 	3.8 	4.1 	3.0 
A,CVA,LCC1,DE23	3.5 	3.2 	3.2 	3.0 
A,CVA,LCC1,DE24	4.2 	3.9 	3.7 	5.1 
A,CVA,LCC1,DE25	5 	4.4 	4.3 	6.9 
A,CVA,LCC1,DE26	3.4 	3.3 	3.2 	3.0 
A,CVA,LCC1,DE27	4.3 	4 	4.5 	6.6 
A,CVA,LCC1,DE3	22.2 	18.9 	20 	9.6 
A,CVA,LCC1,DE30	22.2 	18.9 	20 	9.6 
A,CVA,LCC1,DE4	2.2 	1.9 	1.9 	2.7 
A,CVA,LCC1,DE40	2.2 	1.9 	1.9 	2.7 
A,CVA,LCC1,DE5	89.8 	75.3 	78.7 	96.5 
A,CVA,LCC1,DE50	89.8 	75.3 	78.7 	96.5 
A,CVA,LCC1,DE6	37.5 	40.6 	34.1 	36.1 
A,CVA,LCC1,DE60	37.5 	40.6 	34.1 	36.1 
A,CVA,LCC1,DE7	2.2 	2.1 	2.1 	2.0 
A,CVA,LCC1,DE71	3.6 	3.6 	3.2 	3.2 
A,CVA,LCC1,DE72	4.6 	4.2 	4.1 	3.8 
A,CVA,LCC1,DE73	3.4 	3.4 	3.5 	3.5 
A,CVA,LCC1,DE8	3.5 	3 	2.9 	8.6 
A,CVA,LCC1,DE80	3.5 	3 	2.9 	8.6 
A,CVA,LCC1,DE9	2.3 	2.3 	2.1 	3.1 
A,CVA,LCC1,DE91	3.8 	4.2 	3.7 	7.0 
A,CVA,LCC1,DE92	5.1 	5.1 	4.5 	5.0 
A,CVA,LCC1,DE93	3.8 	3.5 	3.4 	5.1 
A,CVA,LCC1,DE94	6.6 	6.3 	5.8 	6.9 
A,CVA,LCC1,DEA	3 	2.8 	2.8 	2.7 
A,CVA,LCC1,DEA1	8.8 	9.1 	9.4 	6.8 
A,CVA,LCC1,DEA2	5.7 	5.4 	5.4 	4.7 
A,CVA,LCC1,DEA3	9.2 	8.5 	8.3 	9.0 
A,CVA,LCC1,DEA4	7.7 	6.9 	6.7 	5.0 
A,CVA,LCC1,DEA5	4.7 	4.5 	4.4 	5.2 
A,CVA,LCC1,DEB	2.5 	2.3 	2.4 	2.9 
A,CVA,LCC1,DEB1	3.9 	3.6 	3.8 	4.3 
A,CVA,LCC1,DEB2	4.8 	4.7 	4.8 	7.5 
A,CVA,LCC1,DEB3	4.1 	3.9 	4.1 	3.4 
A,CVA,LCC1,DEC	7.2 	7.1 	7.3 	7.6 
A,CVA,LCC1,DEC0	7.2 	7.1 	7.3 	7.6 
A,CVA,LCC1,DED	3.4 	3.1 	3.1 	3.1 
A,CVA,LCC1,DED2	4.7 	4.1 	4.1 	3.7 
A,CVA,LCC1,DED4	5.4 	5.1 	4.8 	5.7 
A,CVA,LCC1,DED5	11.3 	10 	9.9 	10.2 
A,CVA,LCC1,DEE	3.7 	3.1 	3.1 	3.8 
A,CVA,LCC1,DEE0	3.7 	3.1 	3.1 	3.8 
A,CVA,LCC1,DEF	6.8 	6.2 	5.9 	8.1 
A,CVA,LCC1,DEF0	6.8 	6.2 	5.9 	8.1 
A,CVA,LCC1,DEG	3.1 	2.9 	2.7 	4.7 
A,CVA,LCC1,DEG0	3.1 	2.9 	2.7 	4.7 
A,CVA,LCC1,DK	4.3 	3.7 	3.5 	3.9 
A,CVA,LCC1,DK0	4.3 	3.7 	3.5 	3.9 
A,CVA,LCC1,DK01	21 	14.9 	13.3 	15.1 
A,CVA,LCC1,DK02	9.9 	9.8 	9.2 	7.0 
A,CVA,LCC1,DK03	8.3 	8.7 	7.1 	7.3 
A,CVA,LCC1,DK04	7 	5.5 	5.7 	7.3 
A,CVA,LCC1,DK05	11.3 	9.1 	9.8 	9.8 
A,CVA,LCC1,EE	1.5 	1.3 	1.2 	1.5 
A,CVA,LCC1,EE0	1.5 	1.3 	1.2 	1.5 
A,CVA,LCC1,EE00	1.5 	1.3 	1.2 	1.5 
A,CVA,LCC1,EL	1.4 	1.2 	1.1 	1.3 
A,CVA,LCC1,EL3	10.1 	11.3 	9.9 	8.0 
A,CVA,LCC1,EL30	10.1 	11.3 	9.9 	8.0 
