freq,vinevar,age,unit,geo\TIME_PERIOD	2015 	2020 
A,VIM_TOT,TOTAL,HA,AT	41129 	41291 
A,VIM_TOT,TOTAL,HA,AT11	10987 	10549 
A,VIM_TOT,TOTAL,HA,AT12	26281 	26393 
A,VIM_TOT,TOTAL,HA,AT13	519 	585 
A,VIM_TOT,TOTAL,HA,AT21	60 	97 
A,VIM_TOT,TOTAL,HA,AT22	3231 	3588 
A,VIM_TOT,TOTAL,HA,AT31	32 	56 
A,VIM_TOT,TOTAL,HA,AT32	6 	6 
A,VIM_TOT,TOTAL,HA,AT33	4 	5 
A,VIM_TOT,TOTAL,HA,AT34	8 	11 
A,VIM_TOT,TOTAL,HA,BG	54322 	53698 
A,VIM_TOT,TOTAL,HA,BG31	4364 	4064 
A,VIM_TOT,TOTAL,HA,BG32	4443 	4382 
A,VIM_TOT,TOTAL,HA,BG33	7076 	6232 
A,VIM_TOT,TOTAL,HA,BG34	18992 	19660 
A,VIM_TOT,TOTAL,HA,BG41	2650 	2666 
A,VIM_TOT,TOTAL,HA,BG42	16798 	16694 
A,VIM_TOT,TOTAL,HA,CY	5313 	5135 
A,VIM_TOT,TOTAL,HA,CZ	14273 	14740 
A,VIM_TOT,TOTAL,HA,CZ01	10 	13 
A,VIM_TOT,TOTAL,HA,CZ02	254 	254 
A,VIM_TOT,TOTAL,HA,CZ03	1 	: c
A,VIM_TOT,TOTAL,HA,CZ04	275 	272 
A,VIM_TOT,TOTAL,HA,CZ05	0 	0 
A,VIM_TOT,TOTAL,HA,CZ06	13451 	13839 
A,VIM_TOT,TOTAL,HA,CZ07	282 	362 
A,VIM_TOT,TOTAL,HA,CZ08	: c	: c
A,VIM_TOT,TOTAL,HA,DE	96652 	95482 
A,VIM_TOT,TOTAL,HA,DE11	10859 	10639 
A,VIM_TOT,TOTAL,HA,DE12	2530 	2489 
A,VIM_TOT,TOTAL,HA,DE13	11837 	11772 
A,VIM_TOT,TOTAL,HA,DE14	536 	599 
A,VIM_TOT,TOTAL,HA,DE21	: 	0 
A,VIM_TOT,TOTAL,HA,DE23	3 	4 
A,VIM_TOT,TOTAL,HA,DE24	5 	6 
A,VIM_TOT,TOTAL,HA,DE25	261 	275 
A,VIM_TOT,TOTAL,HA,DE26	5240 	5280 
A,VIM_TOT,TOTAL,HA,DE27	41 	53 
A,VIM_TOT,TOTAL,HA,DE40	14 	16 
A,VIM_TOT,TOTAL,HA,DE71	3509 	3520 
A,VIM_TOT,TOTAL,HA,DE73	0 	0 
A,VIM_TOT,TOTAL,HA,DE80	2 	2 
A,VIM_TOT,TOTAL,HA,DE91	: 	1 
A,VIM_TOT,TOTAL,HA,DE92	: 	: c
A,VIM_TOT,TOTAL,HA,DE93	: 	1 
A,VIM_TOT,TOTAL,HA,DE94	: 	: c
A,VIM_TOT,TOTAL,HA,DEA2	18 	18 
A,VIM_TOT,TOTAL,HA,DEB1	6746 	6631 
A,VIM_TOT,TOTAL,HA,DEB2	7111 	6628 
A,VIM_TOT,TOTAL,HA,DEB3	46723 	46340 
A,VIM_TOT,TOTAL,HA,DEC0	98 	87 
A,VIM_TOT,TOTAL,HA,DED2	408 	258 
A,VIM_TOT,TOTAL,HA,DED4	: c	0 
A,VIM_TOT,TOTAL,HA,DED5	: c	128 
A,VIM_TOT,TOTAL,HA,DEE0	621 	644 
A,VIM_TOT,TOTAL,HA,DEF0	1 	2 
A,VIM_TOT,TOTAL,HA,DEG0	88 	87 
A,VIM_TOT,TOTAL,HA,EL	52451 	52155 
A,VIM_TOT,TOTAL,HA,EL30	6018 	6151 
A,VIM_TOT,TOTAL,HA,EL41	2623 	2513 
A,VIM_TOT,TOTAL,HA,EL42	2677 	2635 
A,VIM_TOT,TOTAL,HA,EL43	6822 	6713 
A,VIM_TOT,TOTAL,HA,EL51	1786 	1867 
A,VIM_TOT,TOTAL,HA,EL52	3294 	3438 
A,VIM_TOT,TOTAL,HA,EL53	1980 	2158 
A,VIM_TOT,TOTAL,HA,EL54	161 	194 
A,VIM_TOT,TOTAL,HA,EL61	3523 	3709 
A,VIM_TOT,TOTAL,HA,EL62	677 	181 
A,VIM_TOT,TOTAL,HA,EL63	7550 	7526 
A,VIM_TOT,TOTAL,HA,EL64	6402 	6558 
A,VIM_TOT,TOTAL,HA,EL65	8939 	8514 
A,VIM_TOT,TOTAL,HA,ES	916101 	885230 
A,VIM_TOT,TOTAL,HA,ES11	23709 	18566 
A,VIM_TOT,TOTAL,HA,ES12	: 	61 
A,VIM_TOT,TOTAL,HA,ES13	98 	74 
A,VIM_TOT,TOTAL,HA,ES21	13892 	14650 
A,VIM_TOT,TOTAL,HA,ES22	18001 	17851 
A,VIM_TOT,TOTAL,HA,ES23	45039 	47451 
A,VIM_TOT,TOTAL,HA,ES24	34909 	34363 
A,VIM_TOT,TOTAL,HA,ES30	11159 	8526 
A,VIM_TOT,TOTAL,HA,ES41	73631 	78519 
A,VIM_TOT,TOTAL,HA,ES42	427886 	420650 
A,VIM_TOT,TOTAL,HA,ES43	86674 	76254 
A,VIM_TOT,TOTAL,HA,ES51	54580 	57044 
A,VIM_TOT,TOTAL,HA,ES52	59615 	57562 
A,VIM_TOT,TOTAL,HA,ES53	1877 	: 
A,VIM_TOT,TOTAL,HA,ES61	29910 	26504 
A,VIM_TOT,TOTAL,HA,ES62	24410 	23054 
A,VIM_TOT,TOTAL,HA,ES70	10712 	4099 
A,VIM_TOT,TOTAL,HA,EU	3049304 d	2907787 
A,VIM_TOT,TOTAL,HA,EU27_2020	3049304 d	2907787 
A,VIM_TOT,TOTAL,HA,EU28	3049304 d	: 
A,VIM_TOT,TOTAL,HA,FR	776658 	: 
A,VIM_TOT,TOTAL,HA,FR10	13 	: 
A,VIM_TOT,TOTAL,HA,FR21	25230 e	: 
A,VIM_TOT,TOTAL,HA,FR22	2242 	: 
A,VIM_TOT,TOTAL,HA,FR24	21547 	: 
A,VIM_TOT,TOTAL,HA,FR25	: c	: 
A,VIM_TOT,TOTAL,HA,FR26	32732 	: 
