tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,data-processing-software,deployment-end-type,deployment-id,duty-cycle,manipulation-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
SnowyTag,Snowy,Felis catus,2015-03-03 06:42:09.000,2015-03-10 16:06:57.000,Hunt: 0; prey_p_month: 0,0 years,, ,collar,@Trip PC,removal,Snowy,3-min fixes,hrs_indoors: 0; n_cats: 2,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Gomez,Gomez,Felis catus,2015-03-06 15:56:26.000,2015-03-11 14:25:34.000,Hunt: 0; prey_p_month: 0,0 years,, ,collar,@Trip PC,removal,Gomez,3-min fixes,hrs_indoors: 0; n_cats: 3,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
Frizzle,Frizzle,Felis catus,2015-03-31 01:32:04.000,2015-04-07 15:57:04.000,Hunt: Yes; prey_p_month: 0,3 years,Neutered,m,collar,@Trip PC,removal,Frizzle,3-min fixes,hrs_indoors: 20; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
MonMonTag,MonMon,Felis catus,2015-03-31 01:32:22.000,2015-04-07 15:59:55.000,Hunt: Yes; prey_p_month: 3,4 years,Spayed,f,collar,@Trip PC,removal,MonMon,3-min fixes,hrs_indoors: 0; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BuddyTag,Buddy,Felis catus,2015-03-31 07:59:33.000,2015-04-08 02:01:21.000,Hunt: Yes; prey_p_month: 1,2 years,Neutered,m,collar,@Trip PC,removal,Buddy,3-min fixes,hrs_indoors: 21; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
TigerTag,Tiger,Felis catus,2015-04-01 01:32:24.000,2015-04-07 03:54:13.000,Hunt: Yes; prey_p_month: 1,5 years,Neutered,m,collar,@Trip PC,removal,Tiger,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
JamieTag,Jamie,Felis catus,2015-04-01 01:32:31.000,2015-04-09 15:57:56.000,Hunt: Yes; prey_p_month: 3,9 years,Neutered,m,collar,@Trip PC,removal,Jamie,3-min fixes,hrs_indoors: 10; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
BruceWillisPussingtonTag,BruceWillisPussington,Felis catus,2015-04-02 01:31:46.000,2015-04-09 20:06:25.000,Hunt: Yes; prey_p_month: 1,7 years,Neutered,m,collar,@Trip PC,removal,BruceWillisPussington,3-min fixes,hrs_indoors: 14; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
SkittlesTag,Skittles,Felis catus,2015-04-18 16:02:05.000,2015-04-27 13:16:01.000,Hunt: Yes; prey_p_month: 11,2 years,Neutered,m,collar,@Trip PC,removal,Skittles,3-min fixes,hrs_indoors: 18; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
PrincessTag,Princess,Felis catus,2015-04-18 16:02:59.000,2015-04-23 19:05:03.000,Hunt: Yes; prey_p_month: 6,0 years,Spayed,f,collar,@Trip PC,removal,Princess,3-min fixes,hrs_indoors: 8; n_cats: 1,manipulated other,Australia,"Mobile Action Technology, Inc.",119.0,i-GotU,tag retreival
