freq,unit,indic_fo,areaprot,geo\TIME_PERIOD	1990 	2000 	2005 	2010 	2015 
A,THS_HA,FOR,PRO,AT	: 	0 	0 	0 	0 
A,THS_HA,FOR,PRO,BE	: 	35.5 	39.6 	42.35 	47.92 
A,THS_HA,FOR,PRO,BG	131 	239 	280 	580 	578 e
A,THS_HA,FOR,PRO,CY	3.06 	13.97 	16.84 	16.84 	16.84 
A,THS_HA,FOR,PRO,CZ	: 	715.66 	752.1 	750.9 	751.6 
A,THS_HA,FOR,PRO,DE	: 	6825 	8080 	9264 	9264 e
A,THS_HA,FOR,PRO,DK	0.57 	13.95 	110.18 	110.37 	115.22 
A,THS_HA,FOR,PRO,EE	0 	309.35 	430.48 	462.26 	464.6 
A,THS_HA,FOR,PRO,EL	139 	152 	159 	164 	164 
A,THS_HA,FOR,PRO,ES	1341.76 	: 	3200.3 	3494.53 	3527.22 
A,THS_HA,FOR,PRO,EU27_2020	3025.37 	21309.66 	28697.20 	36491.56 	37751.45 
A,THS_HA,FOR,PRO,EU28	3025.37 	21309.66 	28697.2 	36869.06 	28853.56 
A,THS_HA,FOR,PRO,FI	: 	2590 	3237 	3812 	3812 
A,THS_HA,FOR,PRO,FR	: 	: 	: 	6179.99 	6179.99 e
A,THS_HA,FOR,PRO,HR	164 	199 	214 	231 	272 
A,THS_HA,FOR,PRO,HU	316.21 	322.62 	424.41 	872.03 	874.37 
A,THS_HA,FOR,PRO,IE	4.25 	6.47 	6.47 	6.47 	6.47 
A,THS_HA,FOR,PRO,IT	: 	2874 	3959.86 	4162.86 	4162.86 
A,THS_HA,FOR,PRO,LT	: 	322 	370 	375 	377 
A,THS_HA,FOR,PRO,LU	0 	0 	0 	: 	: 
A,THS_HA,FOR,PRO,LV	: 	561.06 	511.63 	530.79 	549.4 
A,THS_HA,FOR,PRO,NL	: 	83 	87 	90 	92 
A,THS_HA,FOR,PRO,PL	30 	1623 	1698 	1607.4 	1607.5 
A,THS_HA,FOR,PRO,PT	: 	1554.2 	1554.2 	: 	1070.11 
A,THS_HA,FOR,PRO,RO	: 	: 	538.9 	538.9 e	538.9 e
