freq,unit,indic_fo,areaprot,geo\TIME_PERIOD	1990 	2000 	2005 	2010 	2015 
A,THS_HA,FOR,PRT,AT	654 e	679 e	697 e	713 e	713 e
A,THS_HA,FOR,PRT,BE	: 	179.1 	175 	170.9 	167.6 
A,THS_HA,FOR,PRT,BG	630 	665 	597 	583 	569 
A,THS_HA,FOR,PRT,CY	0 	0 	0 	0 	0 
A,THS_HA,FOR,PRT,CZ	: 	179.97 	251.56 	281.25 	312.27 
A,THS_HA,FOR,PRT,DE	: 	2981 	3737 	4616 	4616 e
A,THS_HA,FOR,PRT,DK	0 	0 	0 	0 	0 
A,THS_HA,FOR,PRT,EE	153.29 e	256.04 	207.61 	138.93 	137.95 
A,THS_HA,FOR,PRT,ES	3260.19 	4328.99 	4406.81 	4608.7 	4651.81 
A,THS_HA,FOR,PRT,EU27_2020	15382.4 	24151.5 	29173.8 	31654.1 	32542.4 
A,THS_HA,FOR,PRT,EU28	15382.4 e	24151.5 e	29173.8 e	31654.1 e	32542.4 e
A,THS_HA,FOR,PRT,FI	: 	654 	497 	307 	307 
A,THS_HA,FOR,PRT,FR	: 	: 	: 	906.39 	906.39 e
A,THS_HA,FOR,PRT,HR	53 	68 	75 	82 	73 
A,THS_HA,FOR,PRT,HU	202.7 	218.24 	181.46 	197.82 	200.65 
A,THS_HA,FOR,PRT,IT	7034.17 	7488.14 	7715.12 	7950.13 	8185.14 
A,THS_HA,FOR,PRT,LT	: 	230 	258 	246 	251 
A,THS_HA,FOR,PRT,LV	51 	71 	122 	131 	141 
A,THS_HA,FOR,PRT,NL	: 	: 	: 	4.5 	4.5 
A,THS_HA,FOR,PRT,PL	1356 e	2753 	2907 	2991.29 	3152.4 
A,THS_HA,FOR,PRT,PT	: 	: 	: 	: 	380.09 
A,THS_HA,FOR,PRT,RO	1988 	3009 	3013 	3087 	3087 e
A,THS_HA,FOR,PRT,SE	: 	: 	3894 	4032 	4032 
A,THS_HA,FOR,PRT,SI	: 	74.14 	94.84 	249.4 	299.9 
A,THS_HA,FOR,PRT,SK	: 	316.9 	344.4 	357.8 	354.7 
A,THS_HA,FOR,PRT,UK	0 	0 	0 	0 	0 
A,THS_HA,FOR,PRT_ECO,AT	654 	679 	697 	713 	713 
A,THS_HA,FOR,PRT_ECO,BE	: 	179.1 	175 	170.9 	167.6 
A,THS_HA,FOR,PRT_ECO,BG	430 	433 	451 	439 	427 
A,THS_HA,FOR,PRT_ECO,CY	0 	0 	0 	0 	0 
A,THS_HA,FOR,PRT_ECO,CZ	: 	170.35 	228.59 	251.33 	278.22 
A,THS_HA,FOR,PRT_ECO,DE	: 	2981 	3737 	4616 	4616 e
A,THS_HA,FOR,PRT_ECO,DK	0 	0 	0 	0 	0 
A,THS_HA,FOR,PRT_ECO,EE	153.29 	256.04 	207.61 	138.93 	137.95 
A,THS_HA,FOR,PRT_ECO,ES	3260.19 	4328.99 	4406.81 	4608.7 	4651.81 
A,THS_HA,FOR,PRT_ECO,EU27_2020	15003.1 	22049.5 	23436.2 	25108.9 	25562.3 
A,THS_HA,FOR,PRT_ECO,EU28	15003.05 	22049.46 e	23436.23 e	25108.86 e	25562.3 e
A,THS_HA,FOR,PRT_ECO,HR	51 	66 	73 	80 	71 
A,THS_HA,FOR,PRT_ECO,HU	195.4 	181.84 	149.9 	169.03 	172.33 
A,THS_HA,FOR,PRT_ECO,IT	6973.17 	7427.14 	7654.12 	7889.13 	8124.14 
A,THS_HA,FOR,PRT_ECO,LT	: 	217 	236 	222 	227 
A,THS_HA,FOR,PRT_ECO,LU	: 	1.2 	1.2 	1.2 	1.2 
