freq,treespec,prod_wd,stk_flow,unit,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CONIF,PN_PY,EXP,THS_EUR,AT	: 	: 	: 	: 	70921.59 e	79454.23 e	81632.73 	82574.72 	99981 	113342 	107273 	107787 	115525 	118211 	128721 	77989 	61520 	54966 	137348 	163538 	160699 	167215 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,BE	: 	: 	: 	: 	: 	: 	: 	: 	30083 	26194.85 	26656.7 	32394.52 	44016.96 	52642 	52416 e	35200 	45300 	34951.16 	72398.23 	66223.71 	71426.62 	73005.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,BG	: 	: 	: 	: 	2685.84 e	2949.55 e	2967.45 e	: 	12809.91 	: 	: 	7979.84 e	7237.38 e	7233.65 e	7453.73 	1185.36 	1529.79 	5585.76 	1488.83 	2403.4 	1880.28 	2628.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,CH	: 	: 	: 	: 	4419.33 e	4484.58 e	4540.71 e	0 	807.98 	722.01 	760 	599.92 	1000 	775.2 	1526.04 	1948.01 	3338.79 	66.23 	72.45 	81.13 	82.97 	81.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,CY	: 	: 	: 	: 	3.18 e	3.5 e	3.59 e	3.73 e	0.12 	0 	2.42 	18.83 	58.23 	30.84 	55.23 	13.58 	26.93 	30.47 	0 	0 	0 	5.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,CZ	: 	: 	: 	: 	26755.63 e	17645.42 e	16766.37 	14396.92 	17220.48 	20080.14 	19738.3 	20756.14 	24050.67 	25283.73 	31654.54 	32787.76 	13649.48 	20214.22 	7270.45 	38954.41 	33189.67 	41961.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,DE	: 	: 	: 	: 	78500.11 e	75740.25 e	101597.57 e	102818.75 e	52870.04 e	55950.4 e	52811 e	59986.72 e	78644.55 e	80968.87 e	95052 	71707.07 	60452.82 	44242 	76572 	73891 	54881 	54301 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,DK	: 	: 	: 	: 	10486.66 e	13502.62 e	8933.94 	9818.64 	13281.82 	15163.51 	16050.3 	17768.16 	23847.18 	17007.7 	12973.91 	9024 	11508.51 	12729.54 e	7757.33 e	7686.39 	8711.19 	3238.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,EE	: 	: 	: 	: 	5828.73 e	6295.6 e	6384.14 	6073.87 	6114.85 	5924.08 	5012.21 	5357.58 	3286.34 	3973.58 	3082.2 	4212.5 	2115.74 	1155.25 	8236 	3485.97 	2905.4 	3947.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CONIF,PN_PY,EXP,THS_EUR,EL	: 	: 	: 	: 	8193.22 e	9179.76 e	21.38 	23.46 	210.87 	327.75 	78.38 	378.05 	779.6 	854.39 	899.92 	1434.4 	206.12 	198.19 	353.62 	523.11 	393.34 	544.93 	578.36 	718.48 	718.48 p	718.48 p	: 	231.97 	204.08 	: 	: 
