Type,GEO (Labels),GEO (Codes),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"AGG
",European Union - 27 countries (from 2020),EU27_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552008,NA,611550
MS,Belgium,BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1274,NA,1320
MS,Bulgaria,BG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273,NA,NA,NA,1274,NA,NA,2834,NA,2834
MS,Czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,Denmark,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25641,NA,NA,NA,25684,NA,NA,19675,NA,19612
MS,Germany,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,131,NA,NA,25688,NA,25685
MS,Estonia,EE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19087,NA,NA,NA,19122,NA,NA,6813,NA,6813
MS,Ireland,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,5025,NA,NA,10257,NA,10258
MS,Greece,EL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6759,NA,NA,NA,6757,NA,NA,22550,NA,22746
MS,Spain,ES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7414,NA,NA,NA,7430,NA,NA,128476,NA,128670
MS,France,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8153,NA,NA,NA,8240,NA,NA,139724,NA,140053
MS,Croatia,HR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47110,NA,NA,NA,55621,NA,NA,5279,NA,5277
MS,Italy,IT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6816,NA,NA,NA,10264,NA,NA,31987,NA,40384
MS,Cyprus,CY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,995,NA,NA,NA,2834,NA,NA,8463,NA,8463
MS,Latvia,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674,NA,NA,NA,1555,NA,NA,4469,NA,4470
MS,Lithuania,LT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30367,NA,NA,NA,30487,NA,NA,1554,NA,1555
MS,Luxembourg,LU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,Hungary,HU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,Malta,MT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4383,NA,NA,NA,4470,NA,NA,4142,NA,4142
MS,Netherlands,NL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,NA,NA,NA,3489,NA,NA,15082,NA,16319
MS,Austria,AT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,Poland,PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11829,NA,NA,NA,15085,NA,NA,7238,NA,7247
MS,Portugal,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7235,NA,NA,NA,7238,NA,NA,77006,NA,76975
MS,Romania,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14196,NA,NA,NA,66445,NA,NA,6358,NA,6358
MS,Slovenia,SI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10442,NA,NA,NA,23802,NA,NA,11,NA,11
MS,Slovakia,SK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,Finland,FI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11489,NA,NA,NA,84387,NA,NA,9052,NA,8953
MS,Sweden,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1888,NA,NA,NA,6322,NA,NA,24076,NA,23222
EFTA,Iceland,IS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFTA,Liechtenstein,LI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFTA,Norway,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFTA,Switzerland,CH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Bosnia and Herzegovina,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Montenegro,ME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,North Macedonia,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Albania,AL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Serbia,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Türkiye,TR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC (potential),Kosovo (under United Nations Security Council Resolution 1244/99),XK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
