Type,GEO (Labels),GEO (Codes),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"AGG
",European Union - 27 countries (from 2020),EU27_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7%,NA,12.1%
MS,Belgium,BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8%,NA,NA,NA,36.8%,NA,NA,36.8%,NA,37.8%
MS,Bulgaria,BG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8%,NA,NA,NA,8.1%,NA,NA,8.1%,NA,8.0%
MS,Czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,Denmark,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1%,NA,NA,NA,18.2%,NA,NA,18.7%,NA,18.7%
MS,Germany,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8%,NA,NA,NA,45.9%,NA,NA,45.9%,NA,45.4%
MS,Estonia,EE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5%,NA,NA,NA,18.5%,NA,NA,18.6%,NA,18.7%
MS,Ireland,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5%,NA,NA,NA,2.3%,NA,NA,2.3%,NA,2.3%
MS,Greece,EL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5%,NA,NA,NA,6.5%,NA,NA,19.7%,NA,19.8%
MS,Spain,ES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1%,NA,NA,NA,7.9%,NA,NA,12.0%,NA,12.0%
MS,France,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7%,NA,NA,NA,15.0%,NA,NA,37.7%,NA,37.6%
MS,Croatia,HR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2%,NA,NA,NA,9.1%,NA,NA,9.5%,NA,9.5%
MS,Italy,IT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2%,NA,NA,NA,5.2%,NA,NA,5.4%,NA,6.9%
MS,Cyprus,CY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1%,NA,NA,NA,0.1%,NA,NA,8.6%,NA,8.6%
MS,Latvia,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5%,NA,NA,NA,15.8%,NA,NA,15.8%,NA,15.8%
MS,Lithuania,LT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5%,NA,NA,NA,24.1%,NA,NA,24.1%,NA,22.8%
MS,Luxembourg,LU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,Hungary,HU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,Malta,MT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3%,NA,NA,NA,4.6%,NA,NA,5.5%,NA,5.5%
MS,Netherlands,NL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1%,NA,NA,NA,25.6%,NA,NA,25.6%,NA,26.1%
MS,Austria,AT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,Poland,PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8%,NA,NA,NA,21.8%,NA,NA,21.8%,NA,21.9%
MS,Portugal,PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8%,NA,NA,NA,3.8%,NA,NA,4.5%,NA,4.5%
MS,Romania,RO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4%,NA,NA,NA,21.4%,NA,NA,21.5%,NA,21.4%
MS,Slovenia,SI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2%,NA,5.0%
MS,Slovakia,SK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS,Finland,FI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9%,NA,NA,NA,10.0%,NA,NA,11.0%,NA,11.0%
MS,Sweden,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7%,NA,NA,NA,15.3%,NA,NA,15.5%,NA,14.9%
EFTA,Iceland,IS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFTA,Liechtenstein,LI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFTA,Norway,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFTA,Switzerland,CH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Bosnia and Herzegovina,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Montenegro,ME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,North Macedonia,MK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Albania,AL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Serbia,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,Türkiye,TR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
