country,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,24510
BE,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,4505
BG,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,45460
CY,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,3491
CZ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,17259
DE,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,133708
DK,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,6435
EE,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,9481
EL,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,46062
ES,NA ,NA ,NA ,NA , ,NA ,NA ,NA ,141623
EU27,798550,807001,832351,997132,1026708,1094310,1106985,1115435,1074254
EU_V,798550,807001,832351,997132,1026708,1094310,1106985,1115435,1074254
FI,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,44777
FR,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,153906
HR,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,21523
HU,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,20688
IE,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,9711
IT,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,64429
LT,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,11130
LU,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,1448
LV,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,11725
MT,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,92
NL,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,9915
PL,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,123545
PT,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,20547
RO,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,55890
SE,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,67521
SI,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,8210
SK,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,18351
