country,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,29.2
BE,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,14.7
BG,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,41
CY,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,37.7
CZ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,21.9
DE,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,37.4
DK,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,14.9
EE,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,20.9
EL,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,34.9
ES,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,28
EU27,18.9,19.1,19.7,23.6,24.3,25.9,26.2,26.4,26
EU_V,18.9,19.1,19.7,23.6,24.3,25.9,26.2,26.4,26
FI,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,13.3
FR,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,28
HR,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,38.1
HU,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,22.2
IE,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,13.9
IT,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,21.4
LT,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,17.1
LU,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,55.8
LV,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,18.2
MT,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,29
NL,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,26.5
PL,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,39.6
PT,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,22.4
RO,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,23.4
SE,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,15
SI,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,40.5
SK,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,37.4
