freq,unit,wat_proc,wat_src,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_M3,ABST,FSW,AL	: 	: 	: 	: 	: 	: 	: 	984.24 e	858.68 	799.82 	704.20 	685.14 
A,MIO_M3,ABST,FSW,BE	5417.28 	4757.20 	4740.66 	4266.41 	4001.86 	3438.90 	4092.09 	3841.47 	3548.78 	3920.03 	: 	: 
A,MIO_M3,ABST,FSW,BG	5403.39 	5840.35 	5149.44 	4910.18 	4828.72 	5070.75 	5128.29 	5076.24 	4858.76 	4859.59 	4515.49 	: 
A,MIO_M3,ABST,FSW,CH	: 	: 	999.50 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABST,FSW,CY	60.90 	65.80 	100.30 	115.30 	81.80 	81.90 	62.80 	61.30 	51.60 	67.40 	96.40 	99.60 
A,MIO_M3,ABST,FSW,CZ	1573.40 	1508.40 	1461.40 	1279.10 	1288.70 	1236.70 	1272.80 	1261.00 	1220.70 	1147.00 	1011.00 	986.40 
A,MIO_M3,ABST,FSW,DE	27195.00 	24600.38 s	22005.76 s	19411.13 	19074.82 s	18738.50 s	18402.18 	17149.58 s	15896.98 s	14644.39 	: 	: 
A,MIO_M3,ABST,FSW,DK	258.65 b	248.00 	249.89 	258.47 	242.66 	236.99 	204.99 	222.11 	239.10 	223.04 	212.46 p	252.54 p
A,MIO_M3,ABST,FSW,EE	1546.00 	1574.70 	1357.20 	1535.00 	1525.00 e	1414.00 	1534.00 	1541.35 	1391.62 	775.29 	626.44 	760.51 
A,MIO_M3,ABST,FSW,EL	5015.00 s	4409.54 	4414.76 	4414.83 	4401.22 	4403.07 	3903.67 b	3900.63 	3897.59 	3886.87 	3898.70 	3863.60 
A,MIO_M3,ABST,FSW,ES	28709.00 	28926.00 	27812.97 	26236.75 	26612.71 	25322.00 	24906.00 	24082.60 	23688.60 	23524.60 	23618.60 	: 
A,MIO_M3,ABST,FSW,FR	22355.88 	22407.92 	24400.10 	22206.69 	21776.34 	22358.45 	20933.48 	21317.71 	21154.75 	20544.34 	19034.28 	: 
A,MIO_M3,ABST,FSW,HR	217.88 e	200.80 e	219.45 e	198.22 	179.54 	201.57 	202.75 	260.95 	257.24 	264.87 	254.24 	264.37 
A,MIO_M3,ABST,FSW,HU	4834.80 	4689.90 	4516.30 	4209.00 s	3447.00 	3665.00 	3790.00 	3916.00 	3718.00 s	3620.00 s	3521.00 s	3423.00 s
A,MIO_M3,ABST,FSW,LT	582.58 	456.80 	518.15 	284.66 	229.74 	253.56 	182.89 	135.56 	123.06 	119.37 	239.75 	188.71 
A,MIO_M3,ABST,FSW,LU	24.30 	23.90 	23.70 	18.02 	19.28 	19.51 	19.85 	22.77 	24.31 	26.30 	24.48 	23.72 
A,MIO_M3,ABST,FSW,LV	105.13 	87.33 	102.22 	92.41 	85.01 	96.22 	104.63 	97.63 	96.82 	93.66 	97.08 	98.76 
A,MIO_M3,ABST,FSW,MK	: 	: 	: 	: 	306.00 	2099.65 b	1022.23 	1982.94 	2214.48 	1590.05 	1430.41 	1559.76 
A,MIO_M3,ABST,FSW,MT	2.62 e	2.62 e	2.62 e	2.62 e	2.62 e	2.62 e	2.62 e	2.62 e	2.62 e	2.96 e	2.96 e	2.96 e
A,MIO_M3,ABST,FSW,NL	9934.03 	9198.95 	9798.28 	9671.30 	8474.50 	7451.60 	7037.90 	6900.10 	6902.40 	7259.70 	7135.00 	: 
A,MIO_M3,ABST,FSW,PL	8923.10 	9178.20 	8834.00 	8634.50 	8731.00 	8486.00 	8559.35 	8094.04 	7825.07 	7211.91 	6667.86 	7253.95 
A,MIO_M3,ABST,FSW,RO	5595.00 	5992.00 	5884.00 	5837.00 	5715.00 	5868.00 	5729.00 	6116.00 	5673.00 	6264.00 	6593.00 	7050.00 
A,MIO_M3,ABST,FSW,RS	3905.40 	4247.44 	3896.10 	4230.85 	3477.81 	4211.79 	4264.66 	4916.74 	5061.23 	5133.96 	4829.89 	4543.55 
