freq,siec,plant_tec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,R5100,CAP_NET_ELC,MW,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5100,CAP_NET_ELC,MW,AT	400.000 	400.000 	400.000 	412.000 	412.000 	544.000 	607.000 	609.000 	747.000 	787.000 	780.000 	766.000 	766.000 	766.000 	766.000 	1118.310 	1334.785 	1548.850 	1542.490 	1553.826 	1588.634 	1627.970 	1105.461 	1017.352 	958.884 	938.621 	916.695 	837.771 	824.253 	813.428 	816.199 	764.702 	784.199 
A,R5100,CAP_NET_ELC,MW,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.250 	1.220 	1.120 	9.220 	9.220 
A,R5100,CAP_NET_ELC,MW,BE	26.000 	26.000 	18.000 	11.000 	11.000 	23.000 	19.000 	11.000 	18.000 	38.000 	47.000 	62.000 	57.000 	121.000 	130.000 	294.000 	307.000 	329.000 	442.000 	554.000 	640.000 	701.000 	678.000 	640.000 	557.600 	591.300 	566.300 	559.200 	526.300 	539.200 	563.500 	448.000 	488.600 
A,R5100,CAP_NET_ELC,MW,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	52.000 	52.000 	52.000 	52.000 	52.000 	7.000 	7.000 	7.000 	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	14.000 	30.000 	30.000 	34.000 	19.000 	22.973 	33.019 	23.513 	15.064 	13.914 	15.100 
A,R5100,CAP_NET_ELC,MW,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5100,CAP_NET_ELC,MW,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	68.000 	103.000 	102.000 	133.000 	176.000 	213.000 	254.000 	271.000 	306.000 	330.000 	306.000 	355.000 	380.000 	376.000 	402.000 	385.000 	434.000 	452.000 	456.000 	455.000 
A,R5100,CAP_NET_ELC,MW,DE	22.000 	43.000 	77.000 	77.000 	79.000 	79.000 	79.000 	84.000 	103.000 	127.000 	129.000 	190.000 	285.000 	859.000 	1020.000 	1218.000 	1411.000 	1431.000 	1457.000 	1470.000 	1502.000 	1554.000 	1558.000 	1623.000 	1589.000 	1592.000 	1600.000 	1601.000 	1585.000 	1598.000 	1571.000 	1587.000 	1592.000 
A,R5100,CAP_NET_ELC,MW,DK	40.000 	40.000 	40.000 	40.000 	52.000 	110.000 	65.000 	71.000 	95.000 	110.000 	86.000 	133.000 	215.000 	311.000 	474.000 	584.000 	455.000 	333.000 	553.000 	705.000 	868.237 	920.648 	1155.550 	918.719 	989.359 	973.414 	1031.697 	1501.260 	1484.664 	1681.110 	1776.968 	1847.796 	1707.343 
A,R5100,CAP_NET_ELC,MW,EA20	1747.000 	1788.000 	1920.000 	1890.000 	2115.000 	2201.595 	2237.396 	2237.681 	2465.777 	2769.246 	3274.461 	3468.041 	3809.134 	4678.887 	4876.942 	5659.990 	6210.780 	6631.852 	6913.763 	7196.317 	7693.089 	7947.010 	7690.815 	7883.437 	7733.917 	7857.809 	7988.091 	8192.859 	8478.982 	8695.100 	9337.153 	9258.328 	9785.734 
A,R5100,CAP_NET_ELC,MW,EE	0.000 	0.000 	0.000 	0.000 	0.000 	5.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	5.000 	10.000 	10.000 	10.000 	10.000 	10.000 	10.000 	58.000 	138.000 	145.000 	163.000 	150.000 	165.000 	165.000 	165.000 	165.000 	165.000 	180.000 	200.000 	200.000 	200.000 
A,R5100,CAP_NET_ELC,MW,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2.000 	2.000 	2.560 	11.880 	13.113 	14.111 	16.109 	16.370 
A,R5100,CAP_NET_ELC,MW,ES	115.000 	115.000 	114.000 	115.000 	183.000 	126.000 	127.000 	127.000 	128.000 	138.000 	150.000 	167.000 	285.000 	329.000 	344.000 	354.000 	388.000 	396.000 	374.000 	502.000 	541.167 	558.167 	635.857 	652.941 	672.941 	672.441 	672.441 	672.441 	672.441 	718.441 	867.854 	867.182 	867.182 
A,R5100,CAP_NET_ELC,MW,EU27_2020	2987.000 	3028.000 	3356.000 	3459.000 	3672.000 	3820.595 	4053.396 	3947.681 	3948.777 	4426.246 	5158.461 	5587.041 	5790.134 	6798.887 	7343.942 	9240.990 	10359.780 	10070.852 	10857.763 	11809.317 	12557.326 	13213.658 	13457.365 	13122.156 	14012.276 	14208.223 	14339.788 	15038.744 	15568.102 	15920.274 	15790.218 	16018.994 	16716.818 
A,R5100,CAP_NET_ELC,MW,FI	983.000 	1003.000 	1085.000 	1054.000 	1146.000 	1146.000 	1100.000 	1100.000 	1100.000 	1200.000 	1500.000 	1600.000 	1600.000 	1700.000 	1700.000 	1720.000 	1730.000 	1757.000 	1755.000 	1653.000 	1653.000 	1759.000 	1727.000 	1751.000 	1751.000 	1751.000 	1747.000 	1966.000 	1966.000 	1963.000 	2442.000 	2398.000 	2835.000 
A,R5100,CAP_NET_ELC,MW,FR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	182.000 	189.000 	190.000 	190.000 	202.000 	211.000 	213.000 	245.000 	251.000 	248.000 	353.000 	331.845 	361.873 	450.278 	464.102 	527.857 	611.565 	624.152 	827.914 	874.686 	809.650 	898.840 	911.486 
