freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FEC2020-2030,I05,AL	101.33 	74.67 	53.77 	49.40 	49.35 	49.91 	53.95 	43.47 	48.48 	79.71 	80.57 	82.62 	94.61 	92.58 	103.77 	100.00 	91.09 	88.99 	92.95 	97.84 	100.74 	103.83 	95.26 	104.32 	108.71 	103.33 	100.23 	109.74 	112.61 	109.12 	97.67 	106.72 	: 
A,FEC2020-2030,I05,AT	69.43 	74.82 	72.75 	74.19 	73.01 	76.75 	82.68 	81.33 	83.61 	84.38 	85.22 	90.32 	91.08 	95.72 	97.12 	100.00 	100.08 	99.04 	99.61 	94.78 	100.59 	97.58 	97.72 	100.07 	96.17 	98.75 	100.79 	102.43 	100.00 	101.73 	93.85 	100.20 	94.51 
A,FEC2020-2030,I05,BE	86.10 	90.28 	90.17 	88.88 	91.55 	93.44 	99.47 	98.36 	100.91 	100.75 	102.38 	104.80 	98.78 	102.22 	101.60 	100.00 	99.03 	95.63 	100.24 	94.39 	103.55 	96.03 	96.39 	99.61 	93.31 	97.59 	98.89 	98.03 	98.78 	97.14 	90.09 	97.32 	90.71 
A,FEC2020-2030,I05,BG	159.73 	120.94 	107.79 	106.22 	106.93 	112.85 	114.25 	105.59 	101.74 	90.26 	89.46 	89.64 	89.47 	96.22 	95.16 	100.00 	103.70 	101.94 	98.39 	84.75 	87.09 	91.26 	90.94 	86.56 	88.64 	93.61 	95.18 	97.62 	97.87 	97.18 	93.96 	100.57 	97.84 
A,FEC2020-2030,I05,CY	60.07 	70.22 	71.94 	71.24 	73.78 	77.74 	80.59 	80.67 	84.49 	86.87 	89.95 	93.18 	93.92 	99.39 	100.03 	100.00 	101.70 	105.12 	107.70 	105.81 	105.20 	104.84 	96.48 	88.25 	88.28 	90.94 	96.30 	101.62 	101.32 	102.88 	85.76 	92.31 	99.43 
A,FEC2020-2030,I05,CZ	124.69 	111.61 	110.58 	107.56 	101.45 	100.29 	101.79 	100.83 	97.04 	92.63 	95.81 	97.51 	95.62 	100.27 	101.35 	100.00 	101.50 	99.74 	99.17 	95.39 	96.58 	93.53 	93.38 	92.61 	90.20 	92.55 	94.94 	97.53 	96.87 	96.64 	93.67 	99.84 	95.31 
A,FEC2020-2030,I05,DE	104.48 	103.68 	100.67 	101.19 	99.36 	100.87 	105.19 	103.37 	102.81 	100.99 	100.21 	101.87 	100.23 	102.17 	101.45 	100.00 	102.57 	96.93 	100.92 	94.79 	101.51 	96.37 	98.22 	100.60 	95.58 	96.84 	98.71 	99.51 	97.94 	97.73 	92.07 	94.72 	92.42 
A,FEC2020-2030,I05,DK	86.83 	91.72 	90.50 	93.52 	93.69 	95.63 	99.51 	97.29 	97.10 	96.84 	94.98 	97.59 	95.47 	97.62 	99.13 	100.00 	101.06 	101.42 	100.16 	95.45 	100.13 	95.48 	92.21 	91.12 	88.10 	91.29 	93.53 	94.03 	93.97 	92.31 	84.43 	89.52 	86.11 
A,FEC2020-2030,I05,EE	186.47 	183.18 	120.08 	102.63 	101.18 	92.12 	101.24 	99.96 	92.13 	85.14 	84.91 	93.14 	91.59 	95.52 	98.00 	100.00 	100.72 	107.75 	106.87 	96.52 	101.79 	98.82 	100.91 	100.95 	98.64 	97.88 	99.29 	100.22 	103.35 	101.18 	96.13 	99.05 	97.57 
A,FEC2020-2030,I05,EL	69.92 	71.41 	71.84 	72.04 	73.52 	75.31 	80.59 	83.00 	87.28 	86.99 	89.19 	92.07 	93.77 	98.73 	97.67 	100.00 	102.88 	105.12 	101.97 	97.92 	90.64 	90.02 	81.16 	72.98 	74.12 	78.80 	79.66 	78.04 	75.67 	76.94 	68.68 	72.16 	76.66 
A,FEC2020-2030,I05,ES	58.39 	60.92 	61.87 	61.19 	64.07 	65.41 	67.01 	69.98 	73.72 	76.39 	81.57 	85.66 	87.00 	92.48 	96.89 	100.00 	97.66 	100.36 	96.83 	89.83 	91.30 	88.73 	85.14 	82.63 	81.08 	82.03 	83.78 	86.38 	88.38 	88.14 	75.17 	81.87 	82.79 
A,FEC2020-2030,I05,EU27_2020	91.46 	91.49 	88.98 	89.09 	88.52 	90.31 	94.18 	93.34 	93.87 	93.63 	94.10 	96.31 	95.67 	98.55 	99.52 	100.00 	100.44 	98.78 	99.56 	94.20 	98.46 	94.62 	94.42 	94.22 	90.19 	92.06 	93.89 	95.05 	95.32 	94.74 	87.04 	92.91 	90.32 
A,FEC2020-2030,I05,FI	85.93 	84.04 	83.78 	84.03 	88.75 	87.20 	89.74 	92.57 	96.01 	96.58 	96.60 	98.59 	101.03 	102.60 	103.67 	100.00 	105.12 	105.26 	101.69 	94.48 	103.99 	99.14 	99.78 	97.87 	97.26 	96.01 	99.90 	100.40 	102.22 	100.99 	92.70 	98.84 	92.54 
A,FEC2020-2030,I05,FR	85.08 	90.48 	90.92 	90.02 	88.57 	89.69 	93.82 	92.42 	94.92 	95.66 	96.66 	99.83 	98.00 	99.22 	100.45 	100.00 	98.51 	96.06 	97.31 	93.38 	96.15 	92.92 	95.64 	97.38 	90.56 	92.53 	93.69 	93.12 	91.76 	90.91 	81.01 	89.44 	86.32 
A,FEC2020-2030,I05,HR	89.67 	77.96 	67.41 	69.66 	70.60 	72.95 	79.88 	81.77 	82.94 	85.26 	82.66 	86.98 	88.01 	94.12 	96.50 	100.00 	100.18 	100.57 	102.21 	99.07 	99.56 	96.13 	91.84 	90.73 	86.11 	90.91 	91.66 	95.58 	94.57 	95.40 	89.32 	96.20 	95.11 
A,FEC2020-2030,I05,HU	104.23 	98.59 	86.41 	86.27 	86.07 	86.13 	89.18 	85.43 	85.84 	87.25 	86.19 	90.37 	90.70 	94.45 	93.83 	100.00 	98.49 	93.08 	93.05 	91.07 	93.11 	93.34 	87.89 	88.49 	86.55 	92.84 	94.68 	98.70 	98.86 	99.26 	96.11 	101.89 	97.71 
A,FEC2020-2030,I05,IE	58.18 	59.07 	58.25 	60.24 	62.29 	63.24 	65.88 	68.42 	74.06 	78.78 	85.57 	89.20 	89.53 	92.15 	94.37 	100.00 	104.13 	104.65 	104.74 	93.45 	94.43 	87.51 	85.11 	86.16 	86.47 	89.77 	93.19 	93.93 	98.23 	98.11 	88.65 	90.55 	94.83 
