freq,tax,unit,nace_r2,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,ENV,MIO_EUR,A,AT	218.83 	199.1 	214.61 	207.72 	221.86 	218.58 	226.22 	237.53 	242.04 	253.1 	243.16 	240.38 	249.4 	261.18 	254.87 	114.33 b	130.61 	130.71 	129.09 	129.46 	129.28 	128.83 	131.16 	126.21 	127.65 	103.14 	134.28 
A,ENV,MIO_EUR,A,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41.88 	36.95 	34.06 	44.41 	47.13 	48.8 	85.65 	114.66 	171.16 	198.03 	205.76 	210.38 	183.51 	210.29 
A,ENV,MIO_EUR,A,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.51 	51.48 	55.84 	56.48 	58.7 	62.98 	60.75 	63.92 	59.3 	58.36 	60.7 	65.62 	59.56 	65.88 
A,ENV,MIO_EUR,A,CH	: 	: 	: 	: 	: 	123.65 	124.53 	120.38 	120.8 	124.04 	117.82 	117.94 	112.06 	117.64 	132.76 	142.54 	159.05 	162.72 	161.12 	177.14 	251.18 	262.15 	262.65 	250.89 	259.72 	247.3 	249.71 p
A,ENV,MIO_EUR,A,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.65 	2.4 	2.45 	2.55 	2.48 	2.31 	2.47 	2.99 	2.65 	4.43 	4.7 	4.85 	4.39 	4.23 
A,ENV,MIO_EUR,A,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	143.31 	132.65 	141.92 	159.51 	154.62 	151.44 	167.06 	169 	170.72 	169.49 	163.19 	169.55 	176.29 	177.73 
A,ENV,MIO_EUR,A,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1543.71 	1536.01 	1237.24 	1257.86 	1317.84 	1314.2 	1207.06 	1397.29 	1397.16 	1499.91 	1471.1 	1487.61 	1405.58 	1556.06 p
A,ENV,MIO_EUR,A,DK	72.19 	105.4 	117.36 	173.36 	201.15 	195.97 	190.04 	191.17 	182.08 	195.49 	183.65 	161.72 	196.96 	186.88 b	224.57 	219.15 	229.68 	244.7 	250.46 	239.37 	258.77 	250.82 	255.81 b	245.87 	250.77 	266.76 	286.76 
A,ENV,MIO_EUR,A,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.61 	13.36 	16.14 	18.23 	19.08 	17.86 	19.17 	47.65 	52.7 	43.18 	42.23 	60.73 	37.49 	46.17 
A,ENV,MIO_EUR,A,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	208.48 	203.34 	267.85 	268.67 	333.16 	347.81 	361.1 	374.48 	383.3 	393.31 	338.83 	360.61 	416.47 p	389.91 p
A,ENV,MIO_EUR,A,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	130.8 	125.9 	135.5 	142.7 	148.1 	215.1 	196.9 	224.4 	213.8 	224.2 	242.7 	218.8 	249.9 	266.6 
A,ENV,MIO_EUR,A,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6142.01 	5905.17 	5618.33 	6072.93 	6477.14 	6768.42 	6910.51 	7431.2 	7582.96 	8094.26 	7980.75 	: c	7643.65 	8332.84 
A,ENV,MIO_EUR,A,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	161.09 	93.02 	103.84 	110.53 	117.05 	134.45 	120.2 	169.7 b	192.11 b	191.57 	214.23 	191.62 	204.8 	207.43 
A,ENV,MIO_EUR,A,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	888.25 b	825.34 	885.74 	986.08 	1092.53 	1148.84 	1161 	1116.56 	1166.13 	1361.79 	1524.65 	1567.59 	1380.31 	1536.81 p
A,ENV,MIO_EUR,A,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.83 	57.18 	47.12 	40.61 	37.58 	41.42 	44 	77.61 	81.87 	89.64 	100.07 	103.61 	88.83 	96.46 
A,ENV,MIO_EUR,A,HU	: 	: 	: 	: 	: 	80.39 	80.1 	87.36 	84.33 	91.56 	97.69 	107.62 	116.12 	120.62 	105.32 	127.42 	126.18 	119.42 	136.41 	133.23 	144.62 	147.75 	272.6 	159.34 	155.5 	155.58 	146.87 
A,ENV,MIO_EUR,A,IE	7.58 	9.12 	11.78 	14.36 	18.2 	22.58 	21.41 	22.88 	23.99 	29.65 	33.43 	32.13 	26.48 	24.5 	28.59 	40.89 	59.46 	54.95 	57.41 	57.18 	80.74 	74.04 	77.39 	69.63 	59.23 	52.13 	67.29 
A,ENV,MIO_EUR,A,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.22 	3.25 	2.83 	7.32 	7.75 	10.32 	11.28 	12.14 	13.77 	15.78 	19.39 	22.29 	19.93 	: 	: 
A,ENV,MIO_EUR,A,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	750.05 	787.6 	794.76 	926.71 	1118.29 	1128.69 	1151.73 	1188.05 	1245.53 	1267.53 	1207.83 	1192.49 	1159.5 	1330.27 p
A,ENV,MIO_EUR,A,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34.71 	35.66 	34.23 	38.36 	41.72 	24.35 	38.85 	62.83 	63.74 	62.18 	67.72 	: c	63.46 	72.28 
A,ENV,MIO_EUR,A,LU	0.12 	0.06 	0.13 	0.17 	0.17 	0.16 	0.16 	0.18 	0.17 	0.24 	0.26 	0.24 	0.42 	0.34 	0.52 	0.55 	0.42 	0.4 	0.32 	0.31 	0.44 	0.46 	0.46 	0.54 	0.23 	0.59 	0.62 
A,ENV,MIO_EUR,A,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.59 	39.99 	25.21 	35.62 	39.84 	42.18 	36.7 	58.74 	69.96 	46.15 b	52.81 	46.38 	54.75 	38.23 
A,ENV,MIO_EUR,A,MT	1.34 	1.36 	1.89 	2.33 	2.54 	2.6 	2.73 	2.56 	2.53 	2.34 	2.5 	2.68 	3.59 	2.18 	2.07 	1.75 	1.35 	1.38 	1.89 	2.28 	4.29 	4.08 	3.6 	4.97 	4.94 	2.38 	2.18 
A,ENV,MIO_EUR,A,NL	183.38 	182.07 	181.96 	187.99 	195.83 	207.86 	233 	207 	218 	236 	337 	373 	317 	386 	398 	345 	337 	304 	436 	608 	597 	598 	633 	634 	651 	658 	672 p
A,ENV,MIO_EUR,A,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.99 	68.63 	84.7 	91.23 	89.5 	88.9 	109.88 	113.41 	122.17 	134.02 	141.08 	137.14 	156.77 	180.85 
A,ENV,MIO_EUR,A,PL	: 	: 	: 	: 	: 	: 	: 	: 	271.31 	304.1 	362.16 	395.75 	467.62 	537.66 	452.1 	438.63 	481.25 	478.39 	458.15 	505.71 	538.55 	492.46 	499.54 	444.08 	433.67 	346.3 	420.12 
A,ENV,MIO_EUR,A,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.7 	68.5 	70.49 	65.11 	69.86 	72.71 	72.77 	82.69 	77.52 	84.51 	118.68 	121.74 	120.47 	124.09 	126.93 	136.47 
