freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_E,C0000X0350-0370,KTOE,AL	138.974 	77.225 	67.005 	85.149 	94.089 	49.941 	123.149 	239.095 	123.502 	150.666 	227.071 	: 
A,FC_E,C0000X0350-0370,KTOE,AT	340.942 	344.577 	345.239 	340.804 	352.912 	360.998 	328.812 	310.633 	308.671 	343.807 	316.825 	271.214 
A,FC_E,C0000X0350-0370,KTOE,BA	: 	: 	: 	270.200 	281.006 	274.975 	264.879 	278.851 	204.969 	233.582 	286.227 	: 
A,FC_E,C0000X0350-0370,KTOE,BE	457.365 	451.367 	532.122 	492.039 	508.902 	489.838 	475.189 	487.681 	473.611 	385.938 	415.892 	339.860 
A,FC_E,C0000X0350-0370,KTOE,BG	444.529 	410.240 	364.272 	317.260 	331.146 	334.105 	371.605 	355.306 	312.492 	292.143 	399.586 	264.593 
A,FC_E,C0000X0350-0370,KTOE,CY	7.460 	0.124 	0.124 	2.218 	3.679 	0.000 	2.980 	13.614 	17.199 	14.004 	40.105 	30.593 
A,FC_E,C0000X0350-0370,KTOE,CZ	1836.710 	1899.920 	1857.198 	1599.674 	1574.414 	1562.511 	1754.833 	1655.274 	1437.206 	1413.144 	1431.891 	1395.753 
A,FC_E,C0000X0350-0370,KTOE,DE	4880.797 	4341.927 	4318.156 	4077.775 	4749.252 	4630.137 	4547.885 	3758.459 	3421.122 	3580.505 	3178.365 	3126.581 
A,FC_E,C0000X0350-0370,KTOE,DK	145.340 	115.252 	130.365 	126.347 	117.773 	121.882 	131.241 	133.570 	108.688 	119.305 	139.023 	106.548 
A,FC_E,C0000X0350-0370,KTOE,EE	44.904 	40.999 	39.716 	47.994 	16.860 	17.509 	21.066 	26.273 	29.990 	7.315 	2.085 	1.596 
A,FC_E,C0000X0350-0370,KTOE,EL	216.572 	227.248 	212.366 	232.365 	224.437 	198.611 	195.667 	281.631 	198.274 	167.422 	183.649 	71.098 
A,FC_E,C0000X0350-0370,KTOE,ES	813.110 	524.774 	456.502 	444.251 	432.830 	407.208 	484.444 	478.760 	373.251 	343.639 	345.854 	381.525 
A,FC_E,C0000X0350-0370,KTOE,EU27_2020	26913.814 	25964.721 	24807.942 	23239.168 	23502.592 	23743.683 	23920.310 	22631.891 	19811.526 	19141.382 	18842.853 	16294.287 
A,FC_E,C0000X0350-0370,KTOE,FI	211.878 	105.720 	106.947 	106.166 	111.024 	139.521 	136.352 	128.138 	121.362 	105.715 	117.721 	108.714 
A,FC_E,C0000X0350-0370,KTOE,FR	1220.083 	1331.617 	1145.033 	1051.480 	1111.499 	1077.938 	1124.436 	1159.470 	950.297 	837.606 	969.238 	696.773 
A,FC_E,C0000X0350-0370,KTOE,GE	: 	: 	314.392 	290.462 	271.769 	250.280 	276.057 	293.700 	241.024 	212.848 	224.128 	: 
A,FC_E,C0000X0350-0370,KTOE,HR	144.565 	129.953 	115.977 	102.456 	81.112 	67.068 	76.171 	68.846 	82.715 	104.972 	108.871 	80.597 
A,FC_E,C0000X0350-0370,KTOE,HU	261.659 	228.958 	184.615 	161.659 	175.751 	200.345 	289.962 	226.412 	184.799 	156.907 	122.482 	121.891 
A,FC_E,C0000X0350-0370,KTOE,IE	309.131 	322.364 	326.918 	324.821 	339.755 	349.216 	280.621 	297.726 	245.239 	249.555 	245.060 	170.667 
A,FC_E,C0000X0350-0370,KTOE,IS	90.730 	92.641 	97.595 	86.743 	93.004 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0000X0350-0370,KTOE,IT	990.027 	953.183 	704.387 	739.881 	539.450 	688.034 	489.273 	623.279 	595.062 	409.362 	302.273 	306.200 
A,FC_E,C0000X0350-0370,KTOE,LT	207.041 	197.283 	224.724 	194.134 	157.893 	157.535 	161.589 	171.232 	167.507 	133.271 	158.672 	156.034 
A,FC_E,C0000X0350-0370,KTOE,LU	59.128 	54.825 	52.562 	52.087 	49.215 	50.930 	47.116 	41.760 	45.758 	38.442 	39.427 	41.073 
A,FC_E,C0000X0350-0370,KTOE,LV	97.110 	77.198 	58.827 	53.093 	42.260 	35.214 	36.698 	41.554 	35.780 	21.583 	15.403 	10.502 
A,FC_E,C0000X0350-0370,KTOE,MD	117.187 	106.812 	138.273 	90.357 	95.301 	69.414 	99.082 	81.524 	101.553 	77.408 	91.228 	: 
A,FC_E,C0000X0350-0370,KTOE,ME	6.379 	8.139 	5.279 	7.259 	11.439 	12.459 	9.654 	6.572 	7.546 	6.392 	8.717 	: 
A,FC_E,C0000X0350-0370,KTOE,MK	154.623 	145.585 	123.712 	102.446 	101.101 	128.180 	97.979 	112.790 	127.395 	70.500 	93.515 	: 
A,FC_E,C0000X0350-0370,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0000X0350-0370,KTOE,NL	105.907 	109.883 	81.826 	81.712 	191.260 	237.450 	253.151 	235.154 	213.048 	171.457 	142.190 	119.443 
A,FC_E,C0000X0350-0370,KTOE,NO	444.454 	474.138 	470.495 	465.914 	464.954 	521.233 	498.799 	462.767 	490.793 	520.305 	555.063 	496.191 
A,FC_E,C0000X0350-0370,KTOE,PL	12117.433 	12367.319 	11914.244 	11146.265 	10730.714 	11095.594 	11253.919 	10672.907 	9002.654 	8955.367 	8686.003 	7265.676 
A,FC_E,C0000X0350-0370,KTOE,PT	20.226 	20.008 	18.469 	13.904 	12.968 	12.716 	11.000 	10.150 	10.798 	9.695 	9.980 	6.789 
A,FC_E,C0000X0350-0370,KTOE,RO	789.044 	766.150 	689.477 	668.366 	776.919 	729.221 	627.773 	617.168 	659.747 	602.766 	734.040 	554.256 
A,FC_E,C0000X0350-0370,KTOE,RS	976.689 	677.030 	505.111 	449.229 	500.344 	635.233 	534.002 	511.988 	422.455 	517.684 	306.426 	: 
A,FC_E,C0000X0350-0370,KTOE,SE	415.919 	402.126 	369.087 	368.737 	390.695 	372.265 	374.306 	370.807 	345.087 	292.539 	320.038 	333.480 
A,FC_E,C0000X0350-0370,KTOE,SI	53.849 	51.245 	47.923 	45.521 	39.300 	36.269 	38.568 	41.108 	39.966 	28.349 	21.088 	27.574 
A,FC_E,C0000X0350-0370,KTOE,SK	723.085 	490.461 	510.866 	448.159 	440.572 	371.568 	405.653 	424.979 	431.203 	356.574 	397.092 	305.257 
A,FC_E,C0000X0350-0370,KTOE,TR	13105.748 	13623.236 	10636.487 	10759.764 	11403.943 	11949.203 	11793.866 	9659.516 	10031.284 	11466.990 	12279.149 	: 
A,FC_E,C0000X0350-0370,KTOE,UA	4962.836 	5086.933 	5230.780 	6063.501 	3701.296 	3480.367 	2871.151 	3973.636 	3886.622 	3700.860 	: 	: 
A,FC_E,C0000X0350-0370,KTOE,UK	2168.238 	2210.076 	2687.953 	2629.935 	2296.883 	2042.868 	1871.281 	1704.194 	1565.081 	: 	: 	: 
A,FC_E,C0000X0350-0370,KTOE,XK	82.550 	69.688 	56.580 	61.014 	47.825 	99.654 	87.174 	18.092 	20.531 	27.462 	33.604 	: 
A,FC_E,C0350-0370,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,AT	96.831 	90.258 	95.452 	82.777 	80.561 	99.954 	104.806 	88.126 	95.870 	81.312 	111.897 	98.945 
A,FC_E,C0350-0370,KTOE,BA	: 	: 	: 	104.352 	105.379 	104.615 	100.244 	110.215 	121.393 	52.381 	42.665 	: 
A,FC_E,C0350-0370,KTOE,BE	232.731 	209.198 	207.366 	181.463 	162.296 	163.392 	171.581 	173.145 	153.077 	141.229 	180.261 	151.137 
A,FC_E,C0350-0370,KTOE,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,CZ	340.969 	330.768 	312.893 	323.565 	311.300 	303.920 	279.425 	321.646 	266.195 	265.890 	314.360 	268.324 
A,FC_E,C0350-0370,KTOE,DE	2565.234 	2526.020 	2347.516 	2333.453 	2462.038 	2234.898 	2194.760 	2494.077 	2316.624 	2141.267 	2124.961 	2132.207 
A,FC_E,C0350-0370,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,EE	0.000 	0.175 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,ES	155.276 	124.783 	118.425 	75.915 	79.904 	96.126 	94.492 	82.294 	72.953 	51.887 	90.152 	112.301 
A,FC_E,C0350-0370,KTOE,EU27_2020	5118.692 	5227.033 	4940.899 	5004.599 	4943.687 	4761.912 	4666.091 	4899.297 	4484.041 	4116.259 	4470.942 	4391.266 
A,FC_E,C0350-0370,KTOE,FI	134.293 	118.778 	117.068 	120.529 	134.991 	144.473 	122.148 	139.505 	137.315 	126.763 	143.625 	125.521 
A,FC_E,C0350-0370,KTOE,FR	0.000 	0.191 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,GE	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
