freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_E,TOTAL,KTOE,AL	1953.468 	1790.623 	1961.871 	2058.574 	1962.498 	1899.558 	2078.928 	2134.212 	2053.036 	1840.668 	2012.504 	: 
A,FC_E,TOTAL,KTOE,AT	25092.859 	25201.329 	25801.476 	24760.998 	25475.009 	26099.472 	26502.780 	26042.437 	26221.621 	24872.933 	26487.778 	24823.590 
A,FC_E,TOTAL,KTOE,BA	: 	: 	: 	3103.624 	3316.907 	3543.934 	3497.933 	4211.931 	4207.688 	4024.489 	4305.320 	: 
A,FC_E,TOTAL,KTOE,BE	32624.012 	33058.280 	34107.252 	31594.248 	33155.900 	33437.524 	32979.543 	33204.836 	32590.234 	30938.838 	33173.523 	30383.390 
A,FC_E,TOTAL,KTOE,BG	9125.105 	9103.369 	8680.757 	8881.501 	9388.553 	9517.949 	9745.903 	9757.670 	9719.600 	9499.659 	10164.447 	9854.067 
A,FC_E,TOTAL,KTOE,CY	1614.212 	1492.799 	1372.455 	1377.348 	1423.923 	1490.606 	1551.546 	1581.273 	1626.652 	1525.932 	1584.965 	1609.411 
A,FC_E,TOTAL,KTOE,CZ	23337.059 	23326.229 	23131.377 	22445.593 	23100.094 	23695.026 	24445.396 	24190.964 	24227.514 	23766.194 	25315.247 	24232.335 
A,FC_E,TOTAL,KTOE,DE	199292.537 	202662.536 	208057.421 	197229.019 	200031.296 	203666.981 	204512.293 	200684.593 	200804.342 	194248.055 	197569.316 	190442.433 
A,FC_E,TOTAL,KTOE,DK	14116.296 	13611.792 	13460.545 	12932.124 	13462.386 	13764.113 	13816.960 	13787.680 	13538.875 	13067.367 	13815.139 	13036.306 
A,FC_E,TOTAL,KTOE,EE	2781.689 	2827.225 	2840.316 	2774.349 	2750.345 	2794.835 	2807.413 	2888.098 	2826.061 	2725.496 	2789.658 	2720.738 
A,FC_E,TOTAL,KTOE,EL	18185.332 	16402.985 	14668.337 	14804.112 	15741.021 	15867.950 	15708.524 	15141.636 	15386.999 	14470.268 	14911.940 	15399.676 
A,FC_E,TOTAL,KTOE,ES	82390.875 	79000.274 	76056.192 	75144.184 	75945.839 	77631.876 	79697.362 	81695.165 	81511.227 	72322.647 	78607.539 	77873.473 
A,FC_E,TOTAL,KTOE,EU27_2020	934577.602 	933948.049 	932228.051 	890529.118 	909898.007 	928182.513 	941177.648 	942928.329 	937979.399 	885119.323 	938809.695 	902253.720 
A,FC_E,TOTAL,KTOE,FI	23726.736 	23952.270 	23561.862 	23416.963 	23049.777 	24030.895 	24677.948 	25023.502 	24828.679 	23246.067 	24805.313 	23172.696 
A,FC_E,TOTAL,KTOE,FR	140884.076 	145862.497 	148717.482 	137552.535 	140840.983 	143322.297 	142341.684 	140354.207 	139339.439 	127822.129 	138965.296 	132682.300 
A,FC_E,TOTAL,KTOE,GE	: 	: 	3505.236 	3796.823 	3919.153 	4165.671 	4212.400 	4155.102 	4266.538 	4188.821 	4643.943 	: 
A,FC_E,TOTAL,KTOE,HR	6875.498 	6558.631 	6467.843 	6130.555 	6484.974 	6533.115 	6793.042 	6682.876 	6726.814 	6432.449 	6887.646 	6719.174 
A,FC_E,TOTAL,KTOE,HU	16917.517 	16003.531 	16255.431 	15775.708 	16829.628 	17274.354 	17874.513 	17849.381 	17968.801 	17606.514 	18793.605 	17961.469 
A,FC_E,TOTAL,KTOE,IE	10363.608 	10175.368 	10248.421 	10189.452 	10512.780 	10921.747 	10871.860 	11337.053 	11319.107 	10854.506 	11061.600 	11058.173 
A,FC_E,TOTAL,KTOE,IS	2521.164 	2600.490 	2706.726 	2739.703 	2848.624 	2801.368 	2848.956 	3078.878 	2934.494 	2869.740 	2984.432 	: 
A,FC_E,TOTAL,KTOE,IT	117518.026 	116559.044 	114053.675 	108848.350 	112108.171 	111554.603 	113611.214 	114296.937 	113119.475 	103057.147 	114384.217 	110840.670 
A,FC_E,TOTAL,KTOE,LT	4728.244 	4838.968 	4712.305 	4800.537 	4779.510 	5003.215 	5239.082 	5466.581 	5460.021 	5284.212 	5662.351 	5376.688 
A,FC_E,TOTAL,KTOE,LU	3889.180 	3799.238 	3753.122 	3596.761 	3534.819 	3533.953 	3608.658 	3738.139 	3792.159 	3270.781 	3440.379 	3032.114 
A,FC_E,TOTAL,KTOE,LV	3751.161 	3908.282 	3732.245 	3776.066 	3680.167 	3697.443 	3875.195 	4024.765 	3924.687 	3798.185 	3980.292 	3821.053 
A,FC_E,TOTAL,KTOE,MD	2336.770 	2267.918 	2294.391 	2295.133 	2357.098 	2457.919 	2589.822 	2684.563 	2580.369 	2480.676 	2759.055 	: 
A,FC_E,TOTAL,KTOE,ME	719.280 	698.970 	640.991 	628.575 	662.644 	688.761 	728.889 	729.633 	760.625 	696.840 	796.294 	: 
A,FC_E,TOTAL,KTOE,MK	1903.210 	1845.693 	1814.802 	1797.481 	1837.589 	1847.733 	1858.961 	1832.761 	1937.818 	1813.724 	1964.748 	: 
A,FC_E,TOTAL,KTOE,MT	388.461 	407.257 	421.114 	435.716 	462.343 	458.759 	492.380 	514.389 	545.428 	500.753 	525.035 	591.370 
A,FC_E,TOTAL,KTOE,NL	46828.589 	47027.156 	46898.823 	42352.359 	43376.385 	44357.793 	44555.075 	44904.181 	44133.779 	41872.517 	43214.956 	39392.656 
A,FC_E,TOTAL,KTOE,NO	19098.411 	19324.254 	19306.574 	18872.169 	19168.292 	19534.437 	19702.222 	19840.264 	19736.207 	19440.387 	20410.146 	19808.230 
A,FC_E,TOTAL,KTOE,PL	63610.484 	63257.875 	62106.266 	60203.430 	60861.494 	65136.465 	69241.050 	73082.654 	71890.699 	70231.513 	74185.591 	71228.668 
A,FC_E,TOTAL,KTOE,PT	16441.254 	15111.588 	14908.318 	15386.388 	15550.875 	15640.739 	15900.697 	16152.622 	16354.725 	15156.570 	15772.048 	16170.756 
A,FC_E,TOTAL,KTOE,RO	22590.604 	22629.168 	21631.325 	21470.367 	21600.240 	21935.250 	22980.154 	23444.791 	23712.653 	23472.380 	25279.750 	23919.775 
A,FC_E,TOTAL,KTOE,RS	9082.112 	8412.293 	8201.681 	7681.742 	7885.890 	8206.334 	8363.238 	8435.035 	8387.520 	8715.951 	9262.286 	: 
A,FC_E,TOTAL,KTOE,SE	32064.667 	32311.573 	31671.579 	30928.825 	31510.948 	32037.681 	31849.848 	31729.198 	31304.164 	31019.209 	32156.109 	31241.336 
A,FC_E,TOTAL,KTOE,SI	5037.235 	4909.818 	4804.230 	4608.016 	4715.243 	4893.658 	4958.980 	4952.698 	4862.689 	4445.871 	4767.622 	4754.182 
A,FC_E,TOTAL,KTOE,SK	10402.286 	9948.967 	10107.882 	9113.614 	9525.304 	9884.214 	10538.548 	10400.003 	10242.955 	9611.131 	10508.333 	9915.221 
