freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_IND_E,C0000X0350-0370,KTOE,AL	137.799 	76.049 	63.050 	81.249 	91.133 	46.394 	119.884 	235.830 	119.296 	147.401 	223.807 	: 
A,FC_IND_E,C0000X0350-0370,KTOE,AT	296.637 	301.607 	312.563 	313.929 	331.023 	339.880 	305.567 	290.666 	288.412 	329.738 	305.068 	262.408 
A,FC_IND_E,C0000X0350-0370,KTOE,BA	: 	: 	: 	118.526 	114.341 	92.294 	115.113 	152.593 	105.621 	140.134 	188.394 	: 
A,FC_IND_E,C0000X0350-0370,KTOE,BE	351.202 	348.858 	406.803 	407.341 	419.542 	400.976 	389.055 	414.921 	419.463 	343.200 	364.221 	301.812 
A,FC_IND_E,C0000X0350-0370,KTOE,BG	196.538 	171.169 	163.841 	177.775 	185.369 	170.057 	199.527 	229.060 	196.352 	179.999 	249.177 	209.854 
A,FC_IND_E,C0000X0350-0370,KTOE,CY	7.336 	0.000 	0.000 	2.218 	3.679 	0.000 	2.980 	13.614 	17.199 	14.004 	40.105 	30.593 
A,FC_IND_E,C0000X0350-0370,KTOE,CZ	901.349 	918.076 	836.863 	730.372 	708.253 	700.318 	877.626 	839.511 	757.244 	752.804 	765.299 	694.524 
A,FC_IND_E,C0000X0350-0370,KTOE,DE	3918.376 	3496.013 	3580.847 	3451.660 	3964.513 	4083.146 	4029.231 	3245.072 	3073.895 	3263.542 	2829.456 	2842.820 
A,FC_IND_E,C0000X0350-0370,KTOE,DK	116.370 	87.037 	93.662 	101.569 	100.151 	107.053 	120.605 	124.950 	103.420 	116.093 	135.983 	103.397 
A,FC_IND_E,C0000X0350-0370,KTOE,EE	37.095 	33.841 	31.287 	42.157 	14.266 	12.969 	17.913 	23.646 	27.541 	5.182 	0.179 	1.596 
A,FC_IND_E,C0000X0350-0370,KTOE,EL	210.943 	226.865 	210.495 	226.715 	218.178 	193.742 	190.412 	277.440 	194.241 	162.928 	179.019 	65.208 
A,FC_IND_E,C0000X0350-0370,KTOE,ES	615.000 	341.754 	320.348 	317.127 	315.462 	296.198 	288.305 	264.118 	234.162 	213.201 	231.106 	270.743 
A,FC_IND_E,C0000X0350-0370,KTOE,EU27_2020	14710.642 	13681.546 	12935.440 	12603.220 	12961.596 	12988.977 	13191.945 	12580.558 	11666.676 	10904.059 	10876.208 	9774.586 
A,FC_IND_E,C0000X0350-0370,KTOE,FI	207.117 	101.596 	103.976 	103.205 	108.663 	137.139 	134.574 	125.780 	119.580 	103.944 	115.366 	106.933 
A,FC_IND_E,C0000X0350-0370,KTOE,FR	1131.179 	1232.700 	1039.903 	972.740 	1030.433 	994.043 	1045.566 	1095.287 	889.545 	784.890 	905.253 	635.648 
A,FC_IND_E,C0000X0350-0370,KTOE,GE	: 	: 	313.318 	289.398 	269.893 	248.404 	274.734 	293.144 	240.690 	212.711 	224.044 	: 
A,FC_IND_E,C0000X0350-0370,KTOE,HR	138.047 	124.190 	110.611 	98.821 	77.945 	64.084 	72.414 	66.232 	79.938 	102.579 	107.110 	79.070 
A,FC_IND_E,C0000X0350-0370,KTOE,HU	86.054 	75.580 	47.725 	56.940 	77.253 	76.027 	146.547 	128.833 	110.979 	97.297 	74.147 	72.357 
A,FC_IND_E,C0000X0350-0370,KTOE,IE	109.171 	97.012 	82.220 	106.992 	105.873 	106.481 	102.268 	105.425 	79.151 	76.093 	89.377 	70.828 
A,FC_IND_E,C0000X0350-0370,KTOE,IS	90.730 	92.641 	97.595 	86.743 	93.004 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_IND_E,C0000X0350-0370,KTOE,IT	986.407 	950.763 	704.387 	739.881 	539.450 	688.034 	489.273 	623.279 	595.062 	409.362 	302.273 	306.200 
A,FC_IND_E,C0000X0350-0370,KTOE,LT	104.994 	118.236 	135.693 	117.394 	95.495 	86.795 	84.640 	94.561 	105.535 	88.584 	104.314 	106.794 
