Country,household price $/kWh,business price $/kWh,average price $/kWh,Source (2022 data): 
Afghanistan,0.043,-,0.043,https://www.globalpetrolprices.com/electricity_prices/
Albania,0.115,0.128,0.1215,https://www.globalpetrolprices.com/electricity_prices/
Algeria,0.039,0.034,0.0365,https://www.globalpetrolprices.com/electricity_prices/
Angola,0.017,0.014,0.0155,https://www.globalpetrolprices.com/electricity_prices/
Argentina,0.032,0.028,0.03,https://www.globalpetrolprices.com/electricity_prices/
Armenia,0.104,0.085,0.0945,https://www.globalpetrolprices.com/electricity_prices/
Aruba,0.183,0.339,0.261,https://www.globalpetrolprices.com/electricity_prices/
Australia,0.237,0.332,0.2845,https://www.globalpetrolprices.com/electricity_prices/
Austria,0.496,0.507,0.5015,https://www.globalpetrolprices.com/electricity_prices/
Azerbaijan,0.047,0.065,0.056,https://www.globalpetrolprices.com/electricity_prices/
Bahamas,0.26,0.25,0.255,https://www.globalpetrolprices.com/electricity_prices/
Bahrain,0.048,0.077,0.0625,https://www.globalpetrolprices.com/electricity_prices/
Bangladesh,0.052,0.083,0.0675,https://www.globalpetrolprices.com/electricity_prices/
Barbados,0.272,0.376,0.324,https://www.globalpetrolprices.com/electricity_prices/
Belarus,0.091,0.119,0.105,https://www.globalpetrolprices.com/electricity_prices/
Belgium,0.518,0.248,0.383,https://www.globalpetrolprices.com/electricity_prices/
Belize,0.218,0.174,0.196,https://www.globalpetrolprices.com/electricity_prices/
Bermuda,0.46,0.289,0.3745,https://www.globalpetrolprices.com/electricity_prices/
Bhutan,0.016,0.033,0.0245,https://www.globalpetrolprices.com/electricity_prices/
Bosnia,0.099,0.11,0.1045,https://www.globalpetrolprices.com/electricity_prices/
Botswana,0.095,0.112,0.1035,https://www.globalpetrolprices.com/electricity_prices/
Brazil,0.173,0.15,0.1615,https://www.globalpetrolprices.com/electricity_prices/
Bulgaria,0.138,0.188,0.163,https://www.globalpetrolprices.com/electricity_prices/
Burkina Faso,0.203,0.449,0.326,https://www.globalpetrolprices.com/electricity_prices/
Burma,0.029,0.078,0.0535,https://www.globalpetrolprices.com/electricity_prices/
Cambodia,0.148,-,0.148,https://www.globalpetrolprices.com/electricity_prices/
Cameroon,0.082,0.151,0.1165,https://www.globalpetrolprices.com/electricity_prices/
