freq,plant_tec,hp_tech,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CAP_HEAT,ATH,MW,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_HEAT,ATH,MW,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	92.616 	111.690 	139.581 	195.959 	254.726 	330.776 	409.786 	496.665 	584.876 	691.327 	811.121 	947.392 	1094.911 	1251.103 	1437.730 	1644.718 	1911.806 	2362.675 
A,CAP_HEAT,ATH,MW,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CAP_HEAT,ATH,MW,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	3431.954 
A,CAP_HEAT,ATH,MW,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	4196.000 
A,CAP_HEAT,ATH,MW,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	7359.170 
A,CAP_HEAT,ATH,MW,CZ	0.000 	0.025 	0.066 	0.132 	0.239 	0.412 	0.692 	1.145 	1.878 	3.063 	6.349 	11.163 	18.651 	30.683 	45.614 	58.990 	82.058 	107.938 	138.912 	188.488 	251.535 	328.341 	417.049 	517.407 	621.198 	737.648 	901.837 	1106.489 	1358.394 	1662.477 	1979.457 	2355.791 	3092.869 
A,CAP_HEAT,ATH,MW,DE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	811.139 	807.352 	828.626 	994.566 	1202.543 	1515.807 	1790.771 	2121.179 	2507.414 	2963.898 	3404.587 	3832.256 	4284.896 	4775.732 	5345.795 	5973.131 	6650.004 	7627.961 	8480.378 	10426.967 
A,CAP_HEAT,ATH,MW,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	3826.203 
A,CAP_HEAT,ATH,MW,EA20	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.110 	0.164 	811.414 	2345.906 	4532.222 	7984.113 	12290.577 	17073.147 	21169.164 	24961.147 	27687.908 	31211.560 	34872.319 	61788.999 	69334.350 	77579.901 	219659.595 	227887.414 	237221.236 	249746.105 	314903.829 	353567.254 
