freq,nace_r2,indic_pefa,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,A,EPRD_DOM,TJ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6490 	: 	: 
A,A,EPRD_DOM,TJ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	145929.1 	130721.5 	135349.5 	135707.7 	140948.3 	128165 	130163.9 	134363.6 	152587.2 	: 
A,A,EPRD_DOM,TJ,BE	: 	: 	: 	: 	: 	: 	: 	: 	31462.1 	40410.6 	57559.6 	52823.8 	58248.8 	60335.1 	51586.1 	52835.8 	55987.5 	52738.9 	54974.3 	58615.2 	59939.3 	57812.3 	: 
A,A,EPRD_DOM,TJ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40781.6 	45997 	42380.8 	42070.9 	59518.4 	63535.6 	66591.6 	72991.6 	: 
A,A,EPRD_DOM,TJ,CH	: 	: 	: 	: 	: 	: 	: 	: 	37595.1 	39352.9 	42864.8 	37985.3 	43009.4 	46550.8 	40402.7 	41722.8 	45769.9 	46424 	44134.4 	46717.3 	46141.3 	53901 	: 
A,A,EPRD_DOM,TJ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	565.8 	823.5 	916.2 	1038.8 	1048.6 	1075 	1075.2 	1058.7 	: 
A,A,EPRD_DOM,TJ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	125663.4 	130592.9 	142775.1 	142663.1 	146487.9 	153851.9 	159976.7 	176638.2 	: 
A,A,EPRD_DOM,TJ,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	887005.5 	908335.9 	820692 	912128.7 	896775.6 	947475.4 	965592.3 	984624.3 	915383.6 	952910.9 	962143.9 	1000458.2 	: 
A,A,EPRD_DOM,TJ,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	58367.1 	51220.5 	50386.2 	51650.7 	46906.2 	56131.6 	60267.3 	62150.9 	62191.7 	53908.4 	54505.5 	55160.1 	: 
A,A,EPRD_DOM,TJ,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14212.2 	14439.2 	19067.6 	16276.3 	26526.8 	19355 	16609 	20368.5 	: 
A,A,EPRD_DOM,TJ,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36391 	39895.3 	33387 	33854 	32746.4 	32716.6 	31613.8 	33616 	: 
A,A,EPRD_DOM,TJ,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	195231 	195746 	175304 	180032 	177331 	177457 	185080 	189778.4 	: 
A,A,EPRD_DOM,TJ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3287735.4 s	3442701.4 s	3480192.7 	3522721.6 	3418358.9 	3595248.5 	3556994.5 	3820524.9 	: 
A,A,EPRD_DOM,TJ,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	183153 	195233 	197402 	197729 	188499 	202372 	203965 	195270 	191360 	173884 	212255 	: 
A,A,EPRD_DOM,TJ,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	346986.4 	376329.3 	410330.9 	396128.8 	397430.3 	396971.2 	373234.2 	416236.3 	: 
A,A,EPRD_DOM,TJ,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53383.7 	60037.8 	59801.6 	58419.6 	56453.8 	54282 	53925.2 	60335.1 	: 
A,A,EPRD_DOM,TJ,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98511 	104665 	99964 	96901 	87723 	83587 	82668 	88623 	: 
A,A,EPRD_DOM,TJ,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7628.7 	7516.6 	9041.6 	9705.9 	9660.7 	9232.5 	8544.6 	10080 	: 
A,A,EPRD_DOM,TJ,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	429.4 	454.8 	0 	0 	0 	0 	0 	0 	: 
A,A,EPRD_DOM,TJ,IT	: 	: 	: 	: 	: 	: 	: 	: 	357943.2 	343755.8 	311946.6 	231721.7 	333059.1 	364604.8 	328414.7 	361327.2 	357487.9 	385506.5 	351989 	359349.5 	351891.4 	368958.6 	: 
A,A,EPRD_DOM,TJ,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26708 	27096 	28496 	30972 	30226 	29502 	29993 	32908 	: 
A,A,EPRD_DOM,TJ,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2523 	2174.5 	2461.1 	2728.1 	3603.8 	4546.5 	6895.1 	7420.7 	: 
