freq,unit,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_TKM,AT	3200 	367 	287 	291 	260 	176 	201 	135 	135 	138 	182 	163 	163 	219 	361 	326 
A,MIO_TKM,BE	1536 	1486 	1226 	1436 	1267 	1338 	1429 	1227 	1569 	1216 	1360 	1268 	1195 	1420 	1972 	1383 
A,MIO_TKM,BG	: 	: 	: 	664 	: 	: 	: 	: 	1134 	: 	: 	: 	: 	1490 	884 	953 
A,MIO_TKM,CY	16 	10 	: 	: 	14 	14 	12 	10 	13 	16 	21 	22 	23 	35 	26 	22 
A,MIO_TKM,CZ	1856 	2423 	1400 	1939 	2410 	2034 	2285 	2041 	2081 	1299 	1316 	795 	1012 	1799 	1886 	1673 
A,MIO_TKM,DE	16320 	21280 	19011 	17314 	18141 	16910 	16225 	15406 	15597 	15616 	15989 	16564 	16090 	16527 	17670 	17835 
A,MIO_TKM,EE	316 	: 	: 	182 	: 	: 	: 	: 	214 	: 	: 	: 	360 	214 	: 	: 
A,MIO_TKM,EL	: 	: 	: 	: 	: 	388 	: 	: 	: 	: 	: 	: 	: 	473 	424 	: 
A,MIO_TKM,ES	5645 	4366 	3288 	4309 	2770 	2242 	3094 	3094 	3256 	4416 	4594 	3709 	3946 	3036 	3265 	4108 
A,MIO_TKM,EU27_2020	: 	59907 	42247 	42044 	43836 	41335 	40765 	40042 	39478 	40559 	42561 	40508 	40552 	39282 	44053 	43774 
A,MIO_TKM,EU28	: 	62401 	43867 	44196 	46520 	44090 	43028 	41795 	41620 	42157 	45002 	43454 	43269 	: 	: 	: 
A,MIO_TKM,FI	: 	: 	: 	: 	: 	603 	: 	577 	: 	879 	834 	809 	827 	: 	709 	796 
A,MIO_TKM,FR	3741 	3953 	2937 	3414 	3709 	2947 	3026 	2750 	2483 	2996 	3108 	3045 	3006 	2294 	2696 	2851 
A,MIO_TKM,HU	: 	: 	562 	533 	614 	609 	682 	713 	688 	474 	481 	376 	382 	292 	324 	344 
A,MIO_TKM,LT	305 	168 	134 	272 	295 	382 	508 	657 	360 	591 	1057 	1234 	1164 	905 	2265 	1970 
A,MIO_TKM,LU	: 	344 	479 	367 	338 	501 	421 	581 	335 	281 	245 	127 	164 	93 	103 	116 
A,MIO_TKM,LV	: 	95 	: 	: 	: 	197 	: 	: 	: 	: 	: 	: 	: 	: 	336 	: 
A,MIO_TKM,NL	2681 	2609 	2898 	2169 	2271 	2017 	1906 	2220 	1750 	1596 	1636 	1969 	1653 	1758 	1929 	1706 
A,MIO_TKM,NO	: 	: 	735 	725 	781 	1008 	757 	1054 	802 	817 	650 	795 	869 	686 	1054 	724 
A,MIO_TKM,PL	1588 	1764 	1852 	1759 	2699 	1242 	2127 	: 	: 	: 	2155 	: 	: 	2552 	: 	: 
A,MIO_TKM,PT	: 	390 	: 	: 	: 	1921 	2345 	2661 	2650 	2822 	3504 	2971 	2834 	2143 	2239 	2549 
A,MIO_TKM,RO	15022 	17310 	4454 	3408 	3301 	3874 	1983 	1551 	1424 	301 	268 	177 	224 	172 	562 	227 
A,MIO_TKM,SE	363 	717 	656 	1584 	2160 	: 	2206 	: 	: 	: 	: 	: 	: 	: 	: 	956 
A,MIO_TKM,SI	451 	478 	313 	384 	380 	342 	348 	414 	612 	685 	518 	590 	634 	494 	619 	689 
A,MIO_TKM,SK	244 	264 	473 	519 	609 	404 	360 	645 	659 	698 	848 	628 	651 	533 	231 	486 
A,MIO_TKM,UK	2475 	2495 	1621 	2152 	2684 	2755 	2263 	1754 	2141 	1597 	2443 	2944 	2714 	: 	: 	: 
A,PC_TOT,AT	36.5 	36.6 	29.5 	32.9 	31.3 	25.1 	26.3 	22.9 	20.5 	18.4 	22.2 	21.8 	20.1 	22.3 	28.4 	23.6 
