freq,plant_tec,unit,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,BAA_IRRADF,GWD_THM,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,BA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,BE	47.235 	47.184 	47.966 	47.422 	46.300 	47.528 	48.400 	48.889 	49.884 	46.226 	46.775 	48.794 	48.893 	47.410 
A,BAA_IRRADF,GWD_THM,BG	45.120 	48.090 	48.090 	48.650 	49.190 	49.700 	49.700 	50.080 	49.330 	49.720 	13.590 	51.290 	48.950 	50.170 
A,BAA_IRRADF,GWD_THM,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,CZ	48.300 	34.700 	28.400 	29.600 	32.800 	34.600 	34.400 	38.900 	46.900 	47.200 	48.800 	46.700 	46.600 	46.075 
A,BAA_IRRADF,GWD_THM,DE	50.000 	52.000 	52.000 	52.000 	52.000 	52.000 	52.000 	52.000 	52.000 	52.000 	52.000 	52.000 	52.000 	52.000 
A,BAA_IRRADF,GWD_THM,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,ES	45.700 	49.000 	48.600 	43.600 	49.500 	49.900 	49.000 	49.200 	49.100 	48.700 	48.300 	50.100 	48.800 	49.300 
A,BAA_IRRADF,GWD_THM,FI	42.000 	42.000 	42.000 	44.000 	43.400 	45.100 	45.500 	46.000 	47.200 	47.400 	47.900 	48.400 	48.500 	47.700 
A,BAA_IRRADF,GWD_THM,FR	43.500 	42.500 	42.800 	44.100 	44.000 	44.800 	44.800 	44.900 	44.900 	44.700 	44.300 	42.650 	45.280 	44.830 
A,BAA_IRRADF,GWD_THM,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,HU	38.180 	38.870 	39.680 	40.558 	41.690 	42.200 	43.320 	43.320 	45.380 	45.100 	46.470 	47.450 	47.893 	47.804 
A,BAA_IRRADF,GWD_THM,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 
A,BAA_IRRADF,GWD_THM,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
