freq,tra_type,tra_oper,unit,geo\TIME_PERIOD	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,EINTL,MIO_TKM,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,BG	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,CY	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,CZ	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,DE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,DK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,EE	: 	: 	: 	: 	: z	: z	: 	: u	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,EL	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,ES	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,EU15	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
A,HIRE,EINTL,MIO_TKM,EU25	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
A,HIRE,EINTL,MIO_TKM,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
A,HIRE,EINTL,MIO_TKM,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
A,HIRE,EINTL,MIO_TKM,FI	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,FR	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,HU	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,LI	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,EINTL,MIO_TKM,LT	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,LV	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: 
A,HIRE,EINTL,MIO_TKM,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: 
A,HIRE,EINTL,MIO_TKM,NL	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,NO	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,PL	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,PT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,SE	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,SI	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,SK	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,HIRE,EINTL,MIO_TKM,UK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
A,HIRE,EINTL,MIO_VKM,AT	203 	202 	220 	213 	223 	223 	211 	209 	207 	191 	169 	158 	133 	109 	98 	102 	99 	101 	109 	106 	102 	106 	108 	108 
