freq,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC,AL	76.59 	69.82 	56.08 	53.49 	54.88 	49.57 	45.49 	41.50 	45.36 	59.42 	59.93 	62.16 	64.46 	65.74 	66.70 	67.73 	65.55 	65.76 	64.61 	63.89 	63.72 	61.90 	58.34 	57.60 	62.06 	60.60 	58.89 	62.80 	60.76 	60.33 	58.08 	57.16 	: 
A,PC,AT	80.28 	80.29 	78.63 	78.20 	78.80 	79.20 	79.63 	79.77 	79.80 	77.89 	77.90 	78.33 	78.89 	80.08 	79.79 	78.49 	76.22 	74.15 	73.62 	71.76 	72.18 	71.14 	68.80 	68.18 	67.00 	67.65 	67.96 	68.55 	68.31 	69.24 	66.96 	66.43 	65.96 
A,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88.10 	86.13 	89.21 	90.62 	81.84 	79.61 	80.54 	80.00 	: 
A,PC,BE	78.84 	79.32 	78.94 	79.01 	80.38 	80.11 	80.40 	79.13 	80.30 	78.97 	79.26 	79.04 	78.65 	79.57 	79.28 	78.83 	78.40 	77.86 	78.54 	77.82 	78.20 	76.14 	76.36 	75.91 	77.19 	79.62 	75.52 	76.04 	79.64 	76.46 	76.49 	73.61 	73.89 
A,PC,BG	84.35 	82.90 	83.16 	82.67 	80.57 	79.46 	78.03 	77.30 	76.52 	74.96 	72.75 	73.52 	70.95 	74.64 	74.51 	73.68 	73.24 	78.26 	76.41 	74.00 	74.10 	75.83 	72.84 	70.49 	71.40 	72.71 	69.86 	71.23 	67.87 	66.24 	62.61 	66.31 	69.15 
A,PC,CY	99.63 	99.68 	99.71 	99.72 	99.38 	97.82 	97.98 	97.98 	98.05 	98.11 	98.25 	98.28 	98.17 	98.20 	97.94 	98.11 	98.10 	97.59 	96.89 	96.53 	96.28 	95.68 	95.04 	94.27 	94.49 	93.86 	94.10 	93.68 	91.79 	91.52 	89.13 	88.83 	89.29 
A,PC,CZ	91.34 	91.06 	89.65 	88.95 	88.14 	88.96 	88.98 	89.21 	88.63 	87.67 	89.69 	88.85 	86.47 	84.13 	83.61 	83.60 	82.93 	83.24 	81.36 	79.68 	80.09 	78.83 	76.97 	75.97 	75.00 	76.24 	77.25 	75.97 	75.15 	73.55 	70.81 	71.44 	71.28 
A,PC,DE	87.43 	87.72 	86.64 	86.77 	86.78 	86.62 	86.74 	85.54 	85.90 	84.85 	84.62 	84.73 	84.39 	83.84 	83.15 	82.69 	82.05 	82.10 	81.50 	81.13 	80.59 	81.48 	81.51 	82.01 	81.32 	81.46 	82.26 	82.22 	81.40 	80.02 	78.35 	78.77 	80.33 
A,PC,DK	91.05 	95.11 	92.10 	93.24 	95.92 	94.02 	99.50 	95.86 	94.35 	92.92 	90.69 	90.62 	90.33 	91.93 	88.13 	85.21 	89.26 	85.23 	83.73 	82.91 	81.42 	78.40 	74.60 	75.91 	72.79 	69.63 	69.53 	66.65 	66.71 	64.14 	59.02 	57.28 	58.79 
A,PC,EA20	81.36 	81.14 	80.36 	79.64 	79.80 	79.96 	79.73 	79.47 	79.85 	79.36 	78.94 	78.90 	78.78 	78.59 	78.44 	78.25 	77.83 	77.66 	76.80 	75.93 	75.29 	75.09 	74.24 	73.46 	72.35 	72.66 	73.16 	73.38 	72.45 	71.78 	70.04 	69.93 	71.33 
A,PC,EE	103.79 	102.19 	100.96 	98.77 	95.90 	92.52 	91.05 	91.01 	91.13 	90.74 	91.00 	90.40 	89.71 	91.86 	91.98 	91.98 	91.74 	94.04 	90.25 	84.39 	90.64 	91.10 	88.22 	91.38 	89.47 	83.37 	86.88 	86.52 	83.52 	73.24 	65.91 	68.51 	72.75 
A,PC,EL	95.29 	94.78 	95.25 	95.16 	95.37 	94.99 	94.54 	94.46 	94.99 	95.07 	95.37 	95.07 	94.73 	94.63 	94.44 	94.02 	93.55 	93.80 	93.51 	93.02 	91.37 	91.82 	90.99 	89.16 	87.38 	85.83 	86.36 	86.99 	85.86 	84.56 	81.37 	82.18 	83.37 
A,PC,ES	78.09 	78.69 	79.98 	78.45 	79.28 	80.92 	79.62 	81.82 	81.31 	82.58 	82.13 	81.43 	82.87 	82.27 	83.23 	84.83 	84.05 	84.73 	83.51 	81.54 	78.01 	78.76 	77.34 	75.06 	74.06 	75.54 	74.58 	76.29 	75.52 	74.50 	70.77 	72.36 	74.08 
A,PC,EU27_2020	82.37 	81.94 	81.30 	80.56 	80.49 	80.61 	80.46 	79.98 	80.07 	79.56 	79.24 	79.13 	79.00 	78.95 	78.58 	78.32 	78.13 	77.87 	76.95 	76.02 	75.43 	75.17 	74.05 	73.30 	72.20 	72.43 	72.91 	73.09 	72.17 	71.37 	69.75 	69.88 	70.86 
A,PC,FI	61.10 	62.87 	60.44 	60.92 	63.47 	60.03 	63.83 	61.28 	59.09 	57.71 	56.12 	58.13 	59.24 	62.46 	60.58 	55.64 	59.21 	58.03 	55.17 	55.94 	57.07 	55.04 	50.06 	49.46 	48.72 	46.49 	47.23 	44.84 	45.04 	42.79 	41.42 	38.26 	38.33 
