freq,nrg_bal,siec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,FC_E,C0000X0350-0370,PC,AL	29.84 	23.31 	8.98 	4.81 	4.21 	1.94 	2.59 	1.11 	1.25 	1.34 	0.74 	0.79 	0.43 	0.63 	0.78 	0.69 	0.75 	0.76 	0.95 	5.46 	5.84 	7.11 	4.31 	3.42 	4.14 	4.79 	2.63 	5.92 	11.20 	6.02 	8.19 	11.28 	: 
A,FC_E,C0000X0350-0370,PC,AT	6.00 	5.96 	5.17 	4.60 	4.23 	3.98 	3.60 	3.62 	3.20 	3.16 	3.00 	2.53 	2.40 	2.14 	2.06 	1.92 	2.06 	1.95 	1.84 	1.58 	1.40 	1.36 	1.37 	1.34 	1.38 	1.39 	1.38 	1.24 	1.19 	1.18 	1.38 	1.20 	1.09 
A,FC_E,C0000X0350-0370,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.71 	8.47 	7.76 	7.57 	6.62 	4.87 	5.80 	6.65 	: 
A,FC_E,C0000X0350-0370,PC,BE	7.14 	6.63 	5.26 	4.35 	4.11 	3.72 	3.20 	2.93 	2.40 	2.25 	2.70 	4.78 	2.55 	2.32 	1.95 	1.71 	1.41 	1.42 	1.55 	1.67 	1.39 	1.40 	1.37 	1.56 	1.56 	1.53 	1.46 	1.44 	1.47 	1.45 	1.25 	1.25 	1.12 
A,FC_E,C0000X0350-0370,PC,BG	8.52 	8.36 	10.22 	11.07 	9.58 	8.43 	9.26 	10.76 	10.12 	8.31 	6.94 	7.66 	8.81 	8.91 	8.58 	6.91 	6.48 	7.20 	5.52 	3.55 	4.71 	4.87 	4.51 	4.20 	3.57 	3.53 	3.51 	3.81 	3.64 	3.22 	3.08 	3.93 	2.69 
A,FC_E,C0000X0350-0370,PC,CY	7.51 	6.45 	1.66 	1.93 	1.62 	1.15 	0.98 	1.03 	1.34 	1.51 	2.37 	2.47 	2.38 	2.33 	2.57 	2.34 	2.51 	2.05 	1.68 	0.88 	1.02 	0.46 	0.01 	0.01 	0.16 	0.26 	0.00 	0.19 	0.86 	1.06 	0.92 	2.53 	1.90 
A,FC_E,C0000X0350-0370,PC,CZ	35.01 	33.20 	28.04 	25.87 	22.47 	20.07 	17.63 	16.56 	13.39 	13.20 	17.54 	13.91 	13.27 	13.77 	13.23 	11.53 	12.04 	9.91 	9.37 	10.54 	7.82 	7.87 	8.14 	8.03 	7.13 	6.82 	6.59 	7.18 	6.84 	5.93 	5.95 	5.66 	5.76 
A,FC_E,C0000X0350-0370,PC,DE	14.76 	9.74 	7.25 	5.83 	5.22 	4.59 	4.24 	4.03 	3.17 	2.90 	2.70 	2.47 	2.38 	2.74 	2.26 	1.95 	2.26 	2.30 	1.99 	1.89 	2.08 	2.45 	2.14 	2.08 	2.07 	2.37 	2.27 	2.22 	1.87 	1.70 	1.84 	1.61 	1.64 
A,FC_E,C0000X0350-0370,PC,DK	3.07 	3.29 	2.96 	3.00 	2.88 	2.66 	2.43 	2.50 	2.33 	2.12 	2.07 	1.81 	1.55 	1.60 	1.79 	1.72 	1.78 	1.75 	1.46 	0.88 	0.93 	1.03 	0.85 	0.97 	0.98 	0.87 	0.89 	0.95 	0.97 	0.80 	0.91 	1.01 	0.82 
A,FC_E,C0000X0350-0370,PC,EA20	7.86 	6.05 	4.88 	4.09 	3.69 	3.25 	3.01 	2.77 	2.32 	2.07 	2.02 	1.93 	1.70 	1.73 	1.55 	1.46 	1.50 	1.64 	1.52 	1.29 	1.33 	1.45 	1.30 	1.23 	1.23 	1.28 	1.25 	1.21 	1.15 	1.04 	1.05 	0.95 	0.88 
A,FC_E,C0000X0350-0370,PC,EE	2.68 	2.84 	1.63 	0.76 	0.24 	1.66 	1.81 	1.49 	1.32 	1.49 	2.09 	2.61 	1.37 	0.95 	1.26 	1.20 	1.51 	2.72 	2.76 	2.02 	1.31 	1.61 	1.45 	1.40 	1.73 	0.61 	0.63 	0.75 	0.91 	1.06 	0.27 	0.07 	0.06 
A,FC_E,C0000X0350-0370,PC,EL	7.82 	7.86 	7.19 	7.45 	7.17 	6.92 	6.27 	5.67 	5.41 	4.34 	4.90 	4.80 	3.68 	3.02 	2.84 	2.19 	1.94 	2.53 	1.94 	0.87 	1.64 	1.19 	1.39 	1.45 	1.57 	1.43 	1.25 	1.25 	1.86 	1.29 	1.16 	1.23 	0.46 
A,FC_E,C0000X0350-0370,PC,ES	4.06 	4.51 	4.13 	2.53 	2.64 	2.23 	1.93 	1.44 	1.10 	0.84 	1.06 	0.98 	0.96 	0.94 	0.80 	0.80 	0.82 	0.90 	0.86 	0.71 	0.62 	0.99 	0.66 	0.60 	0.59 	0.57 	0.52 	0.61 	0.59 	0.46 	0.48 	0.44 	0.49 
A,FC_E,C0000X0350-0370,PC,EU27_2020	9.59 	8.30 	7.18 	6.77 	6.04 	5.81 	5.59 	5.13 	4.17 	3.83 	3.61 	3.35 	3.19 	3.13 	3.00 	2.89 	3.01 	3.00 	2.91 	2.73 	2.79 	2.88 	2.78 	2.66 	2.61 	2.58 	2.56 	2.54 	2.40 	2.11 	2.16 	2.01 	1.81 
A,FC_E,C0000X0350-0370,PC,FI	4.23 	4.03 	3.60 	3.62 	3.37 	3.18 	1.61 	1.43 	1.61 	1.63 	1.49 	1.31 	1.23 	1.17 	1.22 	1.27 	0.99 	0.94 	0.99 	0.80 	0.88 	0.89 	0.44 	0.45 	0.45 	0.48 	0.58 	0.55 	0.51 	0.49 	0.45 	0.47 	0.47 
A,FC_E,C0000X0350-0370,PC,FR	3.94 	3.68 	3.41 	2.78 	2.49 	2.24 	2.35 	2.14 	1.88 	1.64 	1.59 	1.41 	1.15 	1.17 	1.18 	1.33 	1.30 	1.48 	1.39 	1.14 	1.20 	0.87 	0.91 	0.77 	0.76 	0.79 	0.75 	0.79 	0.83 	0.68 	0.66 	0.70 	0.53 
A,FC_E,C0000X0350-0370,PC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.97 	7.65 	6.93 	6.01 	6.55 	7.07 	5.65 	5.08 	4.83 	: 
A,FC_E,C0000X0350-0370,PC,HR	7.61 	5.25 	3.32 	2.88 	2.56 	2.16 	1.89 	1.65 	1.49 	1.24 	1.26 	1.37 	1.38 	1.74 	2.76 	2.05 	1.86 	2.11 	2.16 	1.83 	2.11 	2.10 	1.98 	1.79 	1.67 	1.25 	1.03 	1.12 	1.03 	1.23 	1.63 	1.58 	1.20 
A,FC_E,C0000X0350-0370,PC,HU	10.65 	11.53 	7.18 	6.46 	5.97 	4.71 	4.00 	3.48 	2.43 	2.90 	2.58 	2.58 	2.68 	2.67 	2.77 	2.57 	2.51 	2.12 	2.23 	1.40 	1.41 	1.55 	1.43 	1.14 	1.02 	1.04 	1.16 	1.62 	1.27 	1.03 	0.89 	0.65 	0.68 
A,FC_E,C0000X0350-0370,PC,IE	13.60 	13.15 	8.71 	8.73 	5.25 	4.21 	5.84 	4.24 	4.24 	3.28 	3.60 	3.48 	3.31 	3.90 	3.91 	4.00 	3.37 	3.35 	3.31 	3.18 	3.16 	2.98 	3.17 	3.19 	3.19 	3.23 	3.20 	2.58 	2.63 	2.17 	2.30 	2.22 	1.54 
A,FC_E,C0000X0350-0370,PC,IS	4.80 	4.94 	3.41 	3.25 	4.71 	3.87 	4.28 	3.73 	4.22 	3.49 	5.62 	5.26 	5.26 	4.97 	5.48 	5.31 	4.44 	4.85 	3.68 	3.33 	3.58 	3.60 	3.56 	3.61 	3.17 	3.26 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
A,FC_E,C0000X0350-0370,PC,IT	2.56 	2.29 	2.41 	2.01 	1.99 	1.77 	1.64 	1.64 	1.50 	1.47 	1.29 	1.16 	1.03 	1.04 	0.86 	1.01 	0.82 	1.16 	1.07 	0.47 	0.51 	0.84 	0.82 	0.62 	0.68 	0.48 	0.62 	0.43 	0.55 	0.53 	0.40 	0.26 	0.28 
A,FC_E,C0000X0350-0370,PC,LT	7.74 	8.40 	5.74 	6.63 	5.77 	4.64 	4.42 	3.46 	2.98 	2.63 	1.95 	1.62 	2.84 	3.61 	3.35 	3.50 	4.64 	4.21 	3.66 	3.08 	3.74 	4.38 	4.08 	4.77 	4.04 	3.30 	3.15 	3.08 	3.13 	3.07 	2.52 	2.80 	2.90 
A,FC_E,C0000X0350-0370,PC,LU	11.75 	9.80 	8.78 	9.58 	8.73 	5.73 	5.97 	4.63 	3.32 	3.22 	3.45 	3.55 	2.21 	1.59 	2.01 	1.92 	2.31 	2.01 	1.90 	1.83 	1.68 	1.52 	1.44 	1.40 	1.45 	1.39 	1.44 	1.31 	1.12 	1.21 	1.18 	1.15 	1.35 
A,FC_E,C0000X0350-0370,PC,LV	4.48 	4.56 	3.15 	4.23 	5.91 	3.14 	3.08 	3.08 	2.56 	2.39 	1.88 	2.28 	1.86 	1.59 	1.51 	1.85 	1.94 	2.18 	2.26 	1.80 	2.33 	2.59 	1.98 	1.58 	1.41 	1.15 	0.95 	0.95 	1.03 	0.91 	0.57 	0.39 	0.27 
A,FC_E,C0000X0350-0370,PC,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.95 	5.01 	4.71 	6.03 	3.94 	4.04 	2.82 	3.83 	3.04 	3.94 	3.12 	3.31 	: 
A,FC_E,C0000X0350-0370,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.85 	2.82 	1.69 	1.70 	1.80 	1.54 	0.89 	1.16 	0.82 	1.15 	1.73 	1.81 	1.32 	0.90 	0.99 	0.92 	1.09 	: 
A,FC_E,C0000X0350-0370,PC,MK	7.98 	6.84 	5.39 	7.81 	8.25 	8.50 	5.27 	5.70 	11.43 	8.32 	6.48 	6.56 	4.60 	9.25 	6.75 	7.59 	8.06 	9.75 	8.34 	4.21 	6.28 	8.12 	7.89 	6.82 	5.70 	5.50 	6.94 	5.27 	6.15 	6.57 	3.89 	4.76 	: 
