freq,plant_tec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,SOL_COL_SURF,THS_M2,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	13.000 	16.000 	25.000 	33.000 	35.000 	38.000 	46.000 	50.000 	70.000 	91.000 	112.000 	132.000 	156.000 	176.000 	196.000 	201.000 	221.502 	232.030 	233.886 	236.145 	247.952 
A,SOL_COL_SURF,THS_M2,AT	461.000 	584.000 	724.000 	873.000 	1037.000 	1241.000 	1459.000 	1679.000 	1877.000 	2035.000 	2202.000 	2369.000 	2529.000 	2699.000 	2863.000 	3082.746 	3350.850 	3621.831 	3964.354 	4306.171 	4559.008 	4776.298 	4929.658 	5059.018 	5165.108 	5261.228 	5288.813 	5172.185 	5123.303 	5050.403 	4922.944 	4774.554 	4616.474 
A,SOL_COL_SURF,THS_M2,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,SOL_COL_SURF,THS_M2,BE	34.000 	36.000 	36.000 	36.000 	36.000 	36.000 	36.000 	36.000 	36.000 	38.000 	41.000 	44.000 	50.000 	58.000 	74.000 	77.000 	110.000 	139.000 	176.000 	319.000 	374.900 	409.700 	447.500 	570.000 	613.500 	659.500 	659.500 	686.400 	705.800 	724.200 	740.300 	748.000 	756.400 
A,SOL_COL_SURF,THS_M2,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	25.000 	28.000 	30.000 	0.000 	194.000 	230.000 	256.000 	309.000 	327.000 	344.000 	354.000 	378.000 	401.498 	425.478 	445.538 	469.834 	515.697 
A,SOL_COL_SURF,THS_M2,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	700.000 	730.000 	765.000 	800.000 	838.000 	870.000 	909.000 	937.000 	959.000 	977.000 	993.000 	1009.000 	1025.000 	1043.860 	1064.662 	1084.111 	1102.430 	1121.667 	1139.643 
A,SOL_COL_SURF,THS_M2,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	59.000 	70.000 	85.000 	105.000 	131.000 	165.000 	217.000 	307.000 	359.000 	398.000 	427.000 	454.000 	480.000 	506.000 	524.000 	539.000 	555.000 	567.000 	586.000 	611.000 
A,SOL_COL_SURF,THS_M2,DE	348.000 	478.000 	594.000 	762.000 	957.000 	1166.000 	1459.000 	1816.000 	2182.000 	2624.000 	3251.000 	4149.000 	4679.000 	5399.000 	6145.000 	7085.000 	8475.000 	9403.000 	11278.000 	12832.000 	13914.000 	15100.000 	16140.000 	17020.000 	17746.000 	18339.000 	18812.000 	19091.000 	19269.000 	19326.000 	21416.000 	22057.000 	22415.000 
A,SOL_COL_SURF,THS_M2,DK	57.000 	69.000 	85.000 	103.000 	124.000 	144.000 	184.000 	213.000 	230.000 	237.000 	243.000 	252.000 	259.000 	263.000 	271.000 	286.000 	305.000 	325.000 	356.000 	402.000 	480.000 	556.000 	597.000 	712.000 	810.000 	1015.929 	1368.997 	1542.384 	1830.555 	1915.122 	2051.096 	2035.096 	2059.096 
A,SOL_COL_SURF,THS_M2,EA20	3474.867 	3951.857 	4412.927 	4899.391 	5409.632 	5962.479 	6565.908 	7238.542 	8074.323 	8787.039 	10272.610 	11506.511 	12410.137 	13581.790 	15575.649 	17019.995 	19557.847 	21898.751 	25611.325 	29099.140 	32036.660 	34901.984 	37138.953 	39219.807 	40953.616 	42484.679 	43757.240 	44719.623 	45643.427 	46473.179 	49098.359 	50344.991 	51439.898 
A,SOL_COL_SURF,THS_M2,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,SOL_COL_SURF,THS_M2,EL	1448.000 	1610.000 	1759.000 	1878.000 	1991.000 	2101.000 	2168.000 	2228.000 	2381.000 	2440.000 	2941.000 	2992.000 	3050.000 	3140.000 	3246.000 	3047.000 	3296.000 	3573.000 	3871.000 	4077.000 	4100.000 	4090.000 	4122.000 	4181.000 	4287.000 	4390.000 	4477.000 	4596.000 	4691.000 	4867.500 	4991.000 	5175.000 	5442.000 
A,SOL_COL_SURF,THS_M2,ES	261.867 	265.857 	273.927 	281.391 	288.632 	298.479 	308.908 	321.542 	341.323 	364.039 	404.828 	458.901 	516.572 	593.414 	674.848 	777.419 	928.489 	1164.332 	1570.093 	1957.588 	2312.099 	2371.729 	2595.401 	2820.227 	3066.670 	3293.279 	3497.111 	3688.174 	3881.304 	4067.774 	4235.678 	4359.743 	4449.343 
A,SOL_COL_SURF,THS_M2,EU27_2020	3641.867 	4051.857 	4629.927 	5144.391 	5683.632 	6268.479 	6938.908 	7655.542 	8519.323 	9244.039 	10758.610 	12024.511 	12921.137 	14326.790 	16370.649 	17901.995 	20653.847 	23193.751 	27201.325 	30972.140 	34427.660 	37676.984 	40241.953 	42971.807 	45142.616 	47141.608 	48943.237 	50264.007 	51846.830 	53092.689 	56245.353 	57731.720 	59133.490 
A,SOL_COL_SURF,THS_M2,FI	6.000 	6.000 	6.000 	7.000 	7.000 	7.000 	7.000 	8.000 	8.000 	9.000 	10.000 	11.000 	11.000 	12.000 	14.000 	16.000 	18.000 	21.000 	25.000 	28.000 	31.000 	34.000 	37.000 	41.000 	45.000 	50.000 	55.000 	60.000 	66.000 	73.000 	80.000 	88.000 	88.000 
A,SOL_COL_SURF,THS_M2,FR	571.000 	582.000 	593.000 	601.000 	605.000 	598.000 	582.000 	566.000 	551.000 	532.000 	513.000 	499.000 	493.000 	510.000 	527.000 	583.000 	744.000 	917.000 	1139.000 	1302.000 	1447.000 	2204.051 	2461.061 	2663.917 	2806.867 	2966.639 	3142.762 	3351.839 	3550.823 	3698.039 	3818.393 	3957.437 	4072.360 
A,SOL_COL_SURF,THS_M2,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.000 	38.000 	48.000 	62.000 	58.000 	60.000 	62.000 	62.000 	62.000 	62.000 
A,SOL_COL_SURF,THS_M2,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	16.000 	18.000 	20.000 	22.000 	26.000 	30.000 	36.000 	41.000 	47.000 	57.000 	70.000 	80.000 	92.000 	106.000 	125.000 	143.000 	162.000 	183.000 	204.000 	226.700 	246.100 	272.200 	288.000 	300.000 	312.600 
A,SOL_COL_SURF,THS_M2,HU	20.000 	21.000 	22.000 	24.000 	25.000 	27.000 	28.000 	31.000 	34.000 	35.000 	36.000 	37.000 	38.000 	40.000 	42.000 	45.000 	55.000 	65.000 	100.000 	120.000 	140.000 	170.000 	220.000 	230.000 	250.000 	280.000 	292.000 	308.000 	329.000 	350.000 	392.000 	406.000 	418.000 
A,SOL_COL_SURF,THS_M2,IE	2.000 	3.000 	2.000 	3.000 	3.000 	2.000 	3.000 	3.000 	4.000 	4.000 	4.000 	4.000 	5.000 	6.000 	8.000 	13.000 	15.199 	34.149 	79.864 	132.785 	184.576 	223.391 	251.144 	277.619 	300.183 	319.946 	343.251 	311.216 	333.407 	336.951 	346.150 	344.829 	345.907 
A,SOL_COL_SURF,THS_M2,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
