freq,unit,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,I15,AT	93.2 	98.9 	102.3 	105.3 	92.9 	98.8 	98.4 	94.8 	95.7 	98.7 	100.0 	101.7 	104.9 	101.9 	101.5 	106.3 	107.6 
A,I15,BE	106.2 	106.8 	106.0 	101.8 	92.6 	96.7 	95.4 	96.4 	98.4 e	97.7 e	100.0 	101.4 e	100.4 e	93.5 e	93.2 be	96.5 ep	96.6 ep
A,I15,BG	143.4 e	134.4 e	123.5 e	111.1 e	92.0 e	94.2 	88.8 	89.1 	100.1 	95.5 	100.0 	95.4 	98.2 	89.3 	80.0 	98.1 	99.3 
A,I15,CH	127.7 e	126.3 e	115.7 e	114.3 e	106.6 	107.2 	105.4 	101.7 	102.2 	104.0 	100.0 	97.8 	97.5 	95.8 	95.0 	97.4 	98.2 
A,I15,CY	263.7 	209.9 	206.5 	218.1 	162.1 	179.0 	154.3 	152.4 	114.6 	99.3 	100.0 	117.1 	129.9 	132.6 	120.7 	102.1 	100.1 p
A,I15,CZ	100.4 	98.7 	95.4 	88.0 	80.7 	85.9 	87.6 	86.9 	91.8 	93.8 	100.0 	99.2 	94.3 	93.0 	93.1 	106.6 	109.8 
A,I15,DE	101.1 	103.8 	105.7 	105.9 	100.5 	103.2 	101.3 	99.3 	101.0 	100.4 	100.0 	101.6 	100.1 	97.2 	98.7 p	99.6 p	101.8 p
A,I15,DK	92.7 	93.2 	95.0 	98.7 	93.0 	95.6 	101.9 	100.7 	104.1 	103.5 	100.0 	103.5 	99.7 	93.1 	92.1 	96.8 	92.9 
A,I15,EE	258.1 	234.8 	186.6 	150.9 	162.7 	174.4 	161.6 	137.0 	130.0 	100.9 	100.0 	88.8 	80.6 	83.1 	73.4 	64.4 	70.5 
A,I15,EL	100.8 	125.5 	102.4 	112.0 	114.5 	128.5 b	96.6 	103.0 	86.2 	99.2 	100.0 	109.7 	111.2 	107.8 	104.1 p	101.9 p	109.9 p
A,I15,ES	123.3 	123.4 	127.7 	116.3 	104.4 	102.2 	100.9 	98.4 	97.7 	97.5 	100.0 	101.3 	104.0 	104.5 	106.8 p	116.6 p	123.3 p
A,I15,EU27_2020	111.6 e	111.6 e	112.2 e	109.9 e	101.4 	104.0 	101.9 	99.3 	101.2 e	100.3 e	100.0 	101.1 e	102.5 e	100.1 e	100.7 e	104.1 e	105.5 e
A,I15,EU28	112.5 e	112.5 e	113.3 e	110.8 e	102.0 e	104.6 	102.8 	100.3 	101.2 e	99.9 e	100.0 	101.1 e	102.2 e	100.1 e	100.8 e	: 	: 
A,I15,FI	129.3 	121.3 	115.0 	120.1 	113.3 	116.2 	106.3 	102.5 	100.5 	100.0 	100.0 	109.4 	114.1 	114.6 	112.0 	117.8 	116.5 
A,I15,FR	127.5 	128.0 	129.6 	123.6 	109.7 	111.8 	110.2 	104.2 	105.2 	102.9 	100.0 	100.8 	104.9 	103.6 	104.2 p	108.8 p	108.0 p
A,I15,HR	128.2 e	130.2 e	128.2 e	118.2 e	103.7 	101.0 	95.6 	94.8 	95.5 	94.5 	100.0 	96.3 	106.6 	104.2 	99.5 	114.6 	100.3 p
A,I15,HU	108.2 	113.2 	119.4 	120.9 	104.9 	106.0 	102.5 	100.4 	100.9 	99.9 	100.0 	106.2 	113.8 	102.8 	101.2 	104.4 	105.1 p
A,I15,IE	239.9 	225.7 	223.3 	213.5 	148.8 	144.2 	133.9 	130.4 	125.5 	121.6 	100.0 	112.5 	103.4 	97.1 	98.7 	77.2 	76.4 
A,I15,IT	139.6 	129.6 	126.5 	127.2 	123.4 	126.3 	109.9 	102.1 	104.7 	99.8 	100.0 	98.5 	103.2 	104.7 	111.1 	118.1 	122.5 
A,I15,LT	101.4 	101.2 	101.8 	98.9 	97.0 	104.3 	109.2 	103.4 	99.3 	100.6 	100.0 	97.1 	101.4 	104.9 	96.8 	99.0 	88.7 
A,I15,LU	113.6 	111.6 	110.8 	107.1 	96.0 	105.6 	103.2 	120.1 	107.0 	118.6 	100.0 	99.6 	100.5 	86.8 	86.2 	76.4 	80.8 p
A,I15,LV	114.7 	90.5 	90.1 	96.2 	104.8 	104.6 	124.0 	118.4 	107.5 	104.9 	100.0 	85.4 	80.9 	90.3 	76.3 	54.0 	50.6 
A,I15,NL	101.8 	99.3 	100.5 	99.3 	91.0 	98.8 	97.6 	97.4 	102.4 	102.2 	100.0 	101.0 	97.7 	94.9 	94.8 	96.6 	95.7 p
A,I15,NO	85.3 	86.8 	85.2 	91.9 	86.4 	90.7 	89.9 	90.8 	97.1 	96.5 	100.0 	92.7 	94.4 	93.1 	92.7 	94.8 	97.0 
A,I15,PL	101.0 	100.5 	97.2 	95.9 	91.5 	97.2 	100.6 	97.6 	105.3 	99.4 	100.0 	100.5 	106.8 	97.5 	96.0 	97.3 	98.0 
A,I15,PT	136.5 	137.3 	141.9 	130.3 	118.5 	107.2 	109.7 	101.0 	97.4 	102.2 	100.0 	98.8 	97.1 	94.1 	90.0 	83.5 	85.3 p
A,I15,RO	194.7 e	178.0 e	174.5 e	149.7 e	122.2 e	112.1 	105.4 	106.6 	104.7 	96.7 	100.0 	100.4 	94.8 	88.6 	93.4 	93.1 	99.7 p
A,I15,SE	115.9 	114.5 	114.1 	115.6 	102.9 	104.7 	101.2 	95.4 	95.1 	104.5 	100.0 	101.6 	98.5 	101.1 	96.7 	99.8 	103.6 
A,I15,SI	98.1 	100.6 	99.4 	94.9 	87.1 	91.9 	93.7 	92.2 	96.2 	97.9 	100.0 	104.4 	112.1 	108.4 	106.8 	102.6 	101.9 
A,I15,SK	131.1 e	123.4 e	119.3 	114.2 	102.0 	103.4 	99.6 	98.0 	102.2 	103.7 	100.0 	103.1 	106.6 	102.1 	101.8 	97.2 	99.5 
A,I15,UK	121.2 	121.0 	121.8 	115.7 	104.9 	106.5 	107.4 	108.1 	99.7 	95.0 	100.0 	100.8 	97.9 	98.7 	98.7 	: 	: 
