TIME,CITIES,INDIC_UR,Value,Flag and Footnotes
2018,Bruxelles / Brussel,Total use of water - m³,"59,317,300.00",
2018,Bruxelles / Brussel,Price of a m³ of domestic water - Euro,3.7,
2018,Antwerpen,Total use of water - m³,"24,472,029.00",
2018,Antwerpen,Price of a m³ of domestic water - Euro,3.4,
2018,Gent,Total use of water - m³,"14,575,149.00",
2018,Gent,Price of a m³ of domestic water - Euro,4.4,
2018,Charleroi,Total use of water - m³,"9,053,083.00",
2018,Charleroi,Price of a m³ of domestic water - Euro,5.5,
2018,Liège,Total use of water - m³,"16,254,496.00",
2018,Liège,Price of a m³ of domestic water - Euro,5.2,
2018,Brugge,Total use of water - m³,"6,032,608.00",
2018,Brugge,Price of a m³ of domestic water - Euro,4.4,
2018,Namur,Total use of water - m³,"5,202,294.00",
2018,Namur,Price of a m³ of domestic water - Euro,5.5,
2018,Leuven,Total use of water - m³,"6,796,856.00",
2018,Leuven,Price of a m³ of domestic water - Euro,4.9,
2018,Mons,Total use of water - m³,"4,606,306.00",
2018,Mons,Price of a m³ of domestic water - Euro,5.5,
2018,Kortrijk,Total use of water - m³,"3,287,546.00",
2018,Kortrijk,Price of a m³ of domestic water - Euro,4.9,
2018,Oostende,Total use of water - m³,"3,067,884.00",
2018,Oostende,Price of a m³ of domestic water - Euro,4.4,
2018,Estonia,Total use of water - m³,"1,435,717,187.00",
2018,Tallinn,Total use of water - m³,"22,146,044.00",
2018,Tallinn,Price of a m³ of domestic water - Euro,2.08,
2018,Tartu,Total use of water - m³,"5,969,067.00",b
2018,Tartu,Price of a m³ of domestic water - Euro,2.08,b
2018,Narva,Total use of water - m³,"161,488,919.00",
2018,Narva,Price of a m³ of domestic water - Euro,1.67,
2018,Spain,Price of a m³ of domestic water - Euro,2.02,
2018,Zagreb,Total use of water - m³,"116,144,000.00",
2018,Zagreb,Share of population connected to potable drinking water system - %,95.4,
2018,Zagreb,Price of a m³ of domestic water - Euro,2.57,
2018,Rijeka,Total use of water - m³,"22,288,000.00",
2018,Rijeka,Share of population connected to potable drinking water system - %,90.5,
2018,Rijeka,Price of a m³ of domestic water - Euro,1.72,
2018,Slavonski Brod,Total use of water - m³,"8,697,000.00",
2018,Slavonski Brod,Share of population connected to potable drinking water system - %,86.5,
2018,Slavonski Brod,Price of a m³ of domestic water - Euro,1.31,
2018,Osijek,Total use of water - m³,"10,596,000.00",
2018,Osijek,Share of population connected to potable drinking water system - %,71,
2018,Osijek,Price of a m³ of domestic water - Euro,1.71,
2018,Split,Total use of water - m³,"27,253,000.00",
2018,Split,Share of population connected to potable drinking water system - %,98,
2018,Split,Price of a m³ of domestic water - Euro,1.57,
2018,Pula - Pola,Total use of water - m³,"6,572,000.00",
2018,Pula - Pola,Share of population connected to potable drinking water system - %,70,
2018,Pula - Pola,Price of a m³ of domestic water - Euro,2.16,
2018,Zadar,Total use of water - m³,"6,948,000.00",
2018,Zadar,Share of population connected to potable drinking water system - %,79,
2018,Zadar,Price of a m³ of domestic water - Euro,2,
2018,Latvia,Total use of water - m³,"210,184,336.00",
2018,Riga,Total use of water - m³,"39,561,560.00",
2018,Riga,Price of a m³ of domestic water - Euro,1.92,
2018,Liepaja,Total use of water - m³,"3,087,122.00",
2018,Liepaja,Price of a m³ of domestic water - Euro,1.85,
2018,Jelgava,Total use of water - m³,"2,630,030.00",
2018,Jelgava,Price of a m³ of domestic water - Euro,2.13,
2018,Daugavpils,Total use of water - m³,"3,818,248.00",
2018,Daugavpils,Price of a m³ of domestic water - Euro,1.76,
2018,Lithuania,Total use of water - m³,"2,539,197,688.00",
2018,Vilnius,Total use of water - m³,"32,240,153.00",
2018,Kaunas,Total use of water - m³,"19,268,310.00",
2018,Panevezys,Total use of water - m³,"6,903,350.00",
2018,Alytus,Total use of water - m³,"2,430,000.00",
2018,Klaipeda,Total use of water - m³,"66,038,228.00",
2018,Siauliai,Total use of water - m³,"4,063,002.00",
2018,Hungary,Total use of water - m³,"456,156,020.00",p
2018,Budapest,Total use of water - m³,"116,210,860.00",p
2018,Budapest,Price of a m³ of domestic water - Euro,1.9,p
2018,Miskolc,Total use of water - m³,"6,407,930.00",p
2018,Miskolc,Price of a m³ of domestic water - Euro,1.75,p
2018,Nyíregyháza,Total use of water - m³,"5,879,930.00",p
2018,Nyíregyháza,Price of a m³ of domestic water - Euro,1.62,p
2018,Pécs,Total use of water - m³,"5,982,580.00",p
2018,Pécs,Price of a m³ of domestic water - Euro,2.34,p
2018,Debrecen,Total use of water - m³,"11,509,090.00",p
2018,Debrecen,Price of a m³ of domestic water - Euro,1.68,p
2018,Szeged,Total use of water - m³,"9,652,320.00",p
2018,Szeged,Price of a m³ of domestic water - Euro,1.96,p
2018,Gyõr,Total use of water - m³,"6,842,580.00",p
2018,Gyõr,Price of a m³ of domestic water - Euro,2.27,p
2018,Kecskemét,Total use of water - m³,"6,021,510.00",p
2018,Kecskemét,Price of a m³ of domestic water - Euro,1.92,p
2018,Székesfehérvár,Total use of water - m³,"5,947,890.00",p
2018,Székesfehérvár,Price of a m³ of domestic water - Euro,2.02,p
2018,Szombathely,Total use of water - m³,"3,970,200.00",p
2018,Szombathely,Price of a m³ of domestic water - Euro,2.14,p
2018,Szolnok,Total use of water - m³,"3,609,190.00",p
2018,Szolnok,Price of a m³ of domestic water - Euro,1.92,p
2018,Tatabánya,Total use of water - m³,"3,733,890.00",p
2018,Tatabánya,Price of a m³ of domestic water - Euro,2.35,p
2018,Veszprém,Total use of water - m³,"3,211,100.00",p
2018,Veszprém,Price of a m³ of domestic water - Euro,2.12,p
2018,Békéscsaba,Total use of water - m³,"2,953,410.00",p
2018,Békéscsaba,Price of a m³ of domestic water - Euro,2.07,p
2018,Kaposvár,Total use of water - m³,"2,758,590.00",p
2018,Kaposvár,Price of a m³ of domestic water - Euro,1.39,p
2018,Eger,Total use of water - m³,"2,900,060.00",p
2018,Eger,Price of a m³ of domestic water - Euro,1.94,p
2018,Dunaújváros,Total use of water - m³,"2,890,650.00",p
2018,Dunaújváros,Price of a m³ of domestic water - Euro,1.61,p
2018,Zalaegerszeg,Total use of water - m³,"2,764,110.00",p
2018,Zalaegerszeg,Price of a m³ of domestic water - Euro,2.85,p
2018,Sopron,Total use of water - m³,"3,768,940.00",p
2018,Sopron,Price of a m³ of domestic water - Euro,2.31,p
2018,Malta,Total use of water - m³,"58,719,377.00",d
2018,Valletta,Total use of water - m³,"20,927,135.00",d
2018,Valletta,Price of a m³ of domestic water - Euro,3.12,
2018,Romania,Total use of water - m³,"1,152,732,000.00",
2018,Bucuresti,Total use of water - m³,"149,428,700.00",
2018,Cluj-Napoca,Total use of water - m³,"19,834,400.00",
2018,Timisoara,Total use of water - m³,"32,098,000.00",
2018,Craiova,Total use of water - m³,"15,666,700.00",
2018,Braila,Total use of water - m³,"7,717,500.00",
2018,Oradea,Total use of water - m³,"10,822,000.00",
2018,Bacau,Total use of water - m³,"6,711,000.00",
2018,Arad,Total use of water - m³,"9,804,900.00",
