Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1. Energy,WAM,ESR,13755.892,13727.61323,13699.33446,13671.05568,13642.77691,13459.15914,13275.54137,13091.92361,12908.30584,12724.68807,12397.89342,12071.09876,11744.30411,11417.50946,11090.71481,10914.2436,10737.77238,10561.30116,10384.82995,10208.35873,10208.35873,10208.35873,10208.35873,10208.35873,10208.35873,10208.35873,10208.35873,10208.35873,10208.35873,10208.35873,13755.892,13642.7769132471,12724.6880662405,11090.7148118297,10208.3587297209,10208.3587297209,10208.3587297209
1. Energy,WAM,ETS,26673.902,26489.52769,26305.15339,26120.77908,25936.40478,25000.30965,24064.21453,23128.1194,22192.02428,21255.92915,19826.95472,18397.98029,16969.00586,15540.03143,14111.057,12613.40497,11115.75294,9618.1009,8120.44887,6622.79684,6622.79684,6622.79684,6622.79684,6622.79684,6622.79684,6622.79684,6622.79684,6622.79684,6622.79684,6622.79684,26673.902,25936.404777948,21255.9291529862,14111.0570007829,6622.79683962716,6622.79683962716,6622.79683962716
1. Energy,WAM,Total,40444.134,40231.48092,40018.82785,39806.17477,39593.52169,38473.8088,37354.0959,36234.38301,35114.67011,33994.95722,32239.18814,30483.41906,28727.64998,26971.88089,25216.11181,23541.98856,21867.86532,20193.74207,18519.61882,16845.49557,16845.49557,16845.49557,16845.49557,16845.49557,16845.49557,16845.49557,16845.49557,16845.49557,16845.49557,16845.49557,40444.134,39593.5216911951,33994.9572192268,25216.1118126126,16845.4955693481,16845.4955693481,16845.4955693481
1. Energy,WEM,ESR,13755.885,13786.62158,13817.35816,13848.09474,13878.83132,13744.84476,13610.85819,13476.87163,13342.88506,13208.8985,12958.03387,12707.16925,12456.30462,12205.43999,11954.57537,11755.69238,11556.80939,11357.9264,11159.04341,10960.16042,10960.16042,10960.16042,10960.16042,10960.16042,10960.16042,10960.16042,10960.16042,10960.16042,10960.16042,10960.16042,13755.885,13878.8313207266,13208.8984959891,11954.5753691277,10960.160418153,10960.160418153,10960.160418153
1. Energy,WEM,ETS,26673.902,26516.04485,26358.18771,26200.33056,26042.47341,25172.28236,24302.09132,23431.90027,22561.70922,21691.51817,20232.30248,18773.08679,17313.8711,15854.65542,14395.43973,12896.51019,11397.58065,9898.65111,8399.72157,6900.79203,6900.79203,6900.79203,6900.79203,6900.79203,6900.79203,6900.79203,6900.79203,6900.79203,6900.79203,6900.79203,26673.902,26042.473412668,21691.5181707122,14395.4397266553,6900.79203152975,6900.79203152975,6900.79203152975
1. Energy,WEM,Total,40444.127,40317.00643,40189.88587,40062.7653,39935.64473,38931.46712,37927.28951,36923.11189,35918.93428,34914.75667,33204.67635,31494.59604,29784.51572,28074.43541,26364.3551,24666.54257,22968.73004,21270.91751,19573.10498,17875.29245,17875.29245,17875.29245,17875.29245,17875.29245,17875.29245,17875.29245,17875.29245,17875.29245,17875.29245,17875.29245,40444.127,39935.6447333945,34914.7566667013,26364.3550957831,17875.2924496827,17875.2924496827,17875.2924496827
1.A.1. Energy industries,WAM,ETS,22100.571,21919.10843,21737.64586,21556.1833,21374.72073,20497.54135,19620.36198,18743.1826,17866.00323,16988.82386,15563.43161,14138.03936,12712.64712,11287.25487,9861.86263,8438.48105,7015.09948,5591.71791,4168.33634,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,22100.571,21374.7207281563,16988.8238560132,9861.86262546252,2744.95477188327,2744.95477188327,2744.95477188327
1.A.1. Energy industries,WAM,Total,22100.571,21919.10843,21737.64586,21556.1833,21374.72073,20497.54135,19620.36198,18743.1826,17866.00323,16988.82386,15563.43161,14138.03936,12712.64712,11287.25487,9861.86263,8438.48105,7015.09948,5591.71791,4168.33634,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,2744.95477,22100.571,21374.7207281563,16988.8238560132,9861.86262546252,2744.95477188327,2744.95477188327,2744.95477188327
1.A.1. Energy industries,WEM,ETS,22100.571,21929.77464,21758.97828,21588.18192,21417.38556,20582.06718,19746.7488,18911.43042,18076.11204,17240.79366,15812.88292,14384.97218,12957.06145,11529.15071,10101.23997,8677.907,7254.57402,5831.24104,4407.90806,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,22100.571,21417.3855571607,17240.7936563137,10101.239974049,2984.57508174688,2984.57508174688,2984.57508174688
1.A.1. Energy industries,WEM,Total,22100.571,21929.77464,21758.97828,21588.18192,21417.38556,20582.06718,19746.7488,18911.43042,18076.11204,17240.79366,15812.88292,14384.97218,12957.06145,11529.15071,10101.23997,8677.907,7254.57402,5831.24104,4407.90806,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,2984.57508,22100.571,21417.3855571607,17240.7936563137,10101.239974049,2984.57508174688,2984.57508174688,2984.57508174688
