Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035
1. Energy,WAM,Total,33188.90768,32913.6402,32694.49944,32261.71227,29804.78487,29253.37743,28643.36794,28016.35915,27373.54135,26605.89816,26364.53324,25868.04202,25366.65752,24862.51438,24357.43834
1. Energy,WEM,Total,33188.90768,32976.94487,32814.15834,32470.42471,32618.46575,32127.1873,31574.58493,31002.83483,30413.68018,29811.19486,29569.75349,29073.18739,28571.72916,28067.51432,27562.36754
1. Energy,WOM,Total,43624.94951,43282.15231,42930.21751,42612.58101,42288.85327,42124.09928,41916.49946,41685.99649,42332.50099,42064.23216,41908.45028,41784.69448,42426.40428,42278.84456,42092.65023
1.A.1. Energy industries,WAM,Total,3287.00087,3271.78949,3282.72424,3293.65435,3074.41562,3087.19753,3099.94229,3112.6503,3125.32193,3137.95757,3188.21844,3212.25693,3236.29409,3260.32992,3284.36441
1.A.1. Energy industries,WEM,Total,3287.00087,3271.78949,3282.72424,3293.65435,3304.57998,3315.13287,3325.68441,3336.23458,3346.78335,3357.33073,3409.34781,3435.14383,3460.93986,3486.73589,3512.53193
1.A.1. Energy industries,WOM,Total,5124.92866,5140.4025,5153.38143,5183.47687,5213.79502,5301.32491,5366.27012,5441.32215,6392.96266,6462.90072,6543.5555,6646.28884,7522.2948,7620.43085,7685.82052
1.A.2. Manufacturing industries and construction,WAM,Total,4562.94204,4605.53334,4684.43355,4763.34038,4504.99018,4471.49572,4437.85333,4404.06635,4370.13808,4336.0717,4345.20829,4318.11353,4291.02006,4263.92786,4236.83695
1.A.2. Manufacturing industries and construction,WEM,Total,4562.94204,4605.53334,4684.43355,4763.34038,4842.25368,4801.63718,4761.02399,4720.41413,4679.80762,4639.20446,4646.58448,4617.73183,4588.87911,4560.02635,4531.17352
1.A.2. Manufacturing industries and construction,WOM,Total,5562.54794,5508.5618,5452.04119,5398.29193,5342.26771,5307.95464,5267.15433,5225.50743,5180.60975,5130.15053,5113.76611,5103.19063,5084.8677,5076.61828,5067.40902
1.A.3. Transport,WAM,Total,14243.58607,14331.77458,14226.12868,13907.16412,12706.30796,12369.65987,11974.85122,11563.44896,11136.64678,10586.46686,10281.8309,9972.01981,9657.33396,9339.90749,9021.56579
1.A.3. Transport,WEM,Total,14243.58607,14394.57772,14344.83721,14114.19436,14370.96012,14112.25887,13792.22655,13453.03933,13096.44039,12726.50358,12421.32656,12110.94374,11795.65245,11477.5882,11158.57565
