Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,2704.5,2769.9,2780.3,2795.2,2811.4,2800.7,2760.5,2678.0,2583.3,2465.1,2344.6,2227.9,2114.7,2003.7,1878.6,1749.7,1642.1,1510.0,1379.3,1251.6,1133.7,1040.5,978.1,925.6,891.1,857.7,825.6,793.8,762.9,731.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,ETS,3502.2,3419.6,3259.0,2371.5,1898.5,1882.8,1916.1,1941.8,1966.4,1999.6,2018.1,2008.1,1954.0,1921.2,1912.7,1887.6,1763.2,1749.0,1753.6,1751.8,1562.0,1514.3,1507.0,1484.3,1300.1,1226.6,1196.1,1146.3,1093.7,1051.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,Total,6207.1,6189.8,6039.7,5167.0,4710.3,4684.0,4677.0,4620.2,4550.2,4465.1,4363.2,4236.4,4069.1,3925.4,3791.8,3637.8,3405.8,3259.6,3133.5,3004.0,2696.3,2555.3,2485.7,2410.5,2191.9,2084.9,2022.3,1940.8,1857.3,1783.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WEM,ESR,2704.5,2769.9,2780.3,2795.2,2811.4,2800.7,2760.5,2678.0,2583.3,2465.1,2344.6,2227.9,2114.7,2003.7,1878.6,1749.7,1642.1,1510.0,1379.3,1251.6,1133.7,1040.5,978.1,925.6,891.1,857.7,825.6,793.8,762.9,731.7,2704.54937819589,2769.86465107,2780.26501838766,2795.18352517477,2811.40275661288,2800.71458251024,2760.50674329041,2677.9954484456,2583.31099744913,2465.05477846949,2344.59822693365,2227.85465435508,2114.71149825779,2003.71868887343,1878.63176847887,1749.67416350074,1642.05022734188,1510.0129091794,1379.32294901381,1251.62635717832,1133.71707144718,1040.45423746144,978.09401274123,925.59522883159,891.106735543847,857.736676490249,825.582672199765,793.787157298306,762.908316690975,731.698908981068
1. Energy,WEM,ETS,3502.2,3419.6,3259.0,2371.5,1898.5,1882.8,1916.1,1941.8,1966.4,1999.6,2018.1,2008.1,1954.0,1921.2,1912.7,1887.6,1763.2,1749.0,1753.6,1751.8,1562.0,1514.3,1507.0,1484.3,1300.1,1226.6,1196.1,1146.3,1093.7,1051.1,3502.17916943,3419.55766544428,3259.04192837041,2371.47005861057,1898.46978120851,1882.82713942009,1916.10090150018,1941.77264786317,1966.40548250986,1999.5572616877,2018.12511591299,2008.10022611025,1953.95471316888,1921.23886972626,1912.67380421272,1887.64190988216,1763.19723086534,1749.01819328851,1753.61173999889,1751.80128131406,1562.04920052074,1514.25611798689,1506.98771364936,1484.29656703587,1300.1366497103,1226.55040349867,1196.08318983829,1146.33309901793,1093.70596721758,1051.06380347517
1. Energy,WEM,Total,6207.1,6189.8,6039.7,5167.0,4710.3,4684.0,4677.0,4620.2,4550.2,4465.1,4363.2,4236.4,4069.1,3925.4,3791.8,3637.8,3405.8,3259.6,3133.5,3004.0,2696.3,2555.3,2485.7,2410.5,2191.9,2084.9,2022.3,1940.8,1857.3,1783.5,6207.08417250549,6189.78758142915,6039.6860043483,5167.04549278974,4710.27615657902,4683.95543115689,4677.03086932937,4620.19978533833,4550.1554702584,4465.05850035473,4363.17758894768,4236.417143166,4069.13691618918,3925.43735835529,3791.79538560425,3637.81681988366,3405.76015668106,3259.55605247181,3133.47219077355,3003.97798302277,2696.32972560333,2555.28723565583,2485.67230375919,2410.49630285421,2191.86205103378,2084.9200753349,2022.31329011631,1940.78213283398,1857.29048858966,1783.45312806184
1.A.1. Energy industries,WAM,ESR,9.9,29.8,30.3,26.1,23.9,24.5,25.0,25.5,25.9,26.4,26.8,27.3,27.7,28.1,28.7,29.3,29.8,30.5,31.2,31.9,32.4,33.1,33.9,34.6,35.2,35.9,36.7,37.4,38.2,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,ETS,3077.7,3069.5,2983.5,2185.5,1712.5,1696.9,1730.1,1755.8,1780.4,1813.6,1832.2,1822.1,1768.0,1735.3,1726.7,1701.7,1577.2,1563.0,1567.6,1565.8,1376.1,1328.3,1321.0,1298.3,1114.2,1040.6,1010.1,960.4,907.7,865.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,Total,3087.6,3099.4,3013.8,2211.6,1736.4,1721.3,1755.2,1781.3,1806.4,1840.0,1859.0,1849.4,1795.7,1763.4,1755.4,1730.9,1607.0,1593.5,1598.8,1597.7,1408.5,1361.4,1354.9,1332.9,1149.4,1076.5,1046.8,997.8,945.9,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WEM,ESR,9.9,29.8,30.3,26.1,23.9,24.5,25.0,25.5,25.9,26.4,26.8,27.3,27.7,28.1,28.7,29.3,29.8,30.5,31.2,31.9,32.4,33.1,33.9,34.6,35.2,35.9,36.7,37.4,38.2,38.9,9.87176898602502,29.8299261166017,30.3101586173875,26.0673665154704,23.9255616495664,24.466912769034,25.0240619574745,25.5158670737815,25.9425045586231,26.38671884525,26.8341946704304,27.2666174533929,27.6796446532658,28.1495032654871,28.6934659088172,29.272198452044,29.8105233245158,30.4724913039281,31.1692557111364,31.8758497826454,32.4145523612424,33.1086753379309,33.8570917561656,34.6033466440936,35.2053782404194,35.9242490353936,36.6906992823111,37.4392829537281,38.1784377151271,38.9208262683294
