Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1. Energy,WAM,ESR,37123.88,37301.26,37478.64,37656.02,37833.4,37300.22,36767.04,36233.86,35700.68,35167.5,33558.84,31950.18,30341.52,28732.86,27124.2,26309.2,25494.2,24679.2,23864.2,23049.2,22928.82,22808.44,22688.06,22567.68,22447.3,22093.3,21739.3,21385.3,21031.3,20677.3,37833.4213624246,35167.4847140291,27124.1689051708,23049.1753348751,22447.3365678668,20677.3402350469
1. Energy,WAM,ETS,43904.24,39863.88,35823.52,31783.16,27742.8,26163.28,24583.76,23004.24,21424.72,19845.2,17893.28,15941.36,13989.44,12037.52,10085.6,9992.84,9900.08,9807.32,9714.56,9621.8,9235.38,8848.96,8462.54,8076.12,7689.7,7595.46,7501.22,7406.98,7312.74,7218.5,27742.7989006178,19845.170490065,10085.6389793863,9621.80463235833,7689.66168947492,7218.52985149052
1. Energy,WAM,Total,81038.12,77174.84,73311.56,69448.28,65585.0,63472.04,61359.08,59246.12,57133.16,55020.2,51459.42,47898.64,44337.86,40777.08,37216.3,36308.36,35400.42,34492.48,33584.54,32676.6,32169.66,31662.72,31155.78,30648.84,30141.9,29693.56,29245.22,28796.88,28348.54,27900.2,65585.0431330425,55020.2222640941,37216.3366145571,32676.6461472334,30141.9442373417,27900.2115265374
1. Energy,WEM,ESR,37183.7,37420.9,37658.1,37895.3,38132.5,38009.16,37885.82,37762.48,37639.14,37515.8,37247.62,36979.44,36711.26,36443.08,36174.9,35726.1,35277.3,34828.5,34379.7,33930.9,33351.7,32772.5,32193.3,31614.1,31034.9,29548.32,28061.74,26575.16,25088.58,23602.0,38132.454416892,37515.8192122514,36174.8693608102,33930.8879893782,31034.8617539084,23602.0065786545
1. Energy,WEM,ETS,44059.82,40175.04,36290.26,32405.48,28520.7,26658.42,24796.14,22933.86,21071.58,19209.3,18021.76,16834.22,15646.68,14459.14,13271.6,13054.84,12838.08,12621.32,12404.56,12187.8,11962.42,11737.04,11511.66,11286.28,11060.9,11055.14,11049.38,11043.62,11037.86,11032.1,28520.7152627882,19209.2838425104,13271.6260267609,12187.7674318907,11060.9284252219,11032.1416610233
1. Energy,WEM,Total,81253.52,77605.64,73957.76,70309.88,66662.0,64676.14,62690.28,60704.42,58718.56,56732.7,55276.76,53820.82,52364.88,50908.94,49453.0,48787.26,48121.52,47455.78,46790.04,46124.3,45319.58,44514.86,43710.14,42905.42,42100.7,40608.26,39115.82,37623.38,36130.94,34638.5,66661.9925496802,56732.6701147617,49453.0241175711,46124.3216012689,42100.7361591304,34638.4896796779
1.A.1. Energy industries,WAM,ESR,4019.84,4830.28,5640.72,6451.16,7261.6,7316.28,7370.96,7425.64,7480.32,7535.0,7017.88,6500.76,5983.64,5466.52,4949.4,4828.26,4707.12,4585.98,4464.84,4343.7,4615.22,4886.74,5158.26,5429.78,5701.3,5755.42,5809.54,5863.66,5917.78,5971.9,7261.59370106138,7534.9681324333,4949.43942000333,4343.67650523785,5701.28973845049,5971.90607044629
1.A.1. Energy industries,WAM,ETS,34342.5,30309.2,26275.9,22242.6,18209.3,16664.48,15119.66,13574.84,12030.02,10485.2,8547.06,6608.92,4670.78,2732.64,794.5,718.82,643.14,567.46,491.78,416.1,38.14,-339.82,-717.78,-1095.74,-1473.7,-1559.46,-1645.22,-1730.98,-1816.74,-1902.5,18209.3459957886,10485.2112450668,794.477414011862,416.12175338534,-1473.67504825479,-1902.46074499592
1.A.1. Energy industries,WAM,Total,38362.34,35139.48,31916.62,28693.76,25470.9,23980.76,22490.62,21000.48,19510.34,18020.2,15564.94,13109.68,10654.42,8199.16,5743.9,5547.08,5350.26,5153.44,4956.62,4759.8,4653.36,4546.92,4440.48,4334.04,4227.6,4195.96,4164.32,4132.68,4101.04,4069.4,25470.93969685,18020.1793775001,5743.91683401519,4759.79825862319,4227.6146901957,4069.44532545037
1.A.1. Energy industries,WEM,ESR,3920.32,4631.24,5342.16,6053.08,6764.0,7092.16,7420.32,7748.48,8076.64,8404.8,8428.04,8451.28,8474.52,8497.76,8521.0,8424.04,8327.08,8230.12,8133.16,8036.2,7800.72,7565.24,7329.76,7094.28,6858.8,6047.92,5237.04,4426.16,3615.28,2804.4,6764.02410571375,8404.76027496816,8521.03369223867,8036.16084775457,6858.81895034996,2804.37925067903
