Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,0.0,0.0,315213.71196,310678.61721,298577.34901,288378.42756,276467.06592,261841.26332,247208.4647,230230.25578,213906.47262,198414.75493,182934.64925,167766.66296,152359.78603,137076.7976,123576.68796,111765.33413,101586.5339,92540.43604,85556.08658,79472.25157,73853.04533,69118.50654,65020.29149,61384.78357,57895.84874,54846.21376,52188.94907,49738.49562,0.0,0.0,315213.711963033,310678.617212247,298577.349011257,288378.427556044,276467.065915279,261841.263320651,247208.464702906,230230.255780815,213906.472622218,198414.754930506,182934.649249869,167766.662956125,152359.786032987,137076.797597142,123576.6879611,111765.334128777,101586.533901845,92540.4360444122,85556.086581758,79472.2515658283,73853.0453309822,69118.5065371176,65020.2914885167,61384.7835746052,57895.8487408282,54846.2137615857,52188.9490732882,49738.4956171277
1. Energy,WAM,ETS,302467.31641,326286.905,352952.68717,303646.05851,278296.67462,232438.35981,190307.48799,162773.4105,130080.21444,112460.83412,101954.0271,93216.82265,85381.25011,78401.85274,71536.05334,66312.66132,61924.38772,57901.63426,53918.03483,50469.21834,48494.81506,46720.19037,45268.84388,43888.66772,42593.15189,42202.9854,41697.27262,41292.57927,40895.55484,39812.04798,,,352952.687170621,303646.058506575,278296.674620051,232438.359806991,190307.487994467,162773.41050123,130080.214436288,112460.834117684,101954.027102521,93216.8226527869,85381.250110091,78401.8527445093,71536.0533357524,66312.661320952,61924.38771741,57901.6342559859,53918.0348254009,50469.2183400562,48494.8150626238,46720.1903689309,45268.8438767334,43888.667716169,42593.1518852862,42202.9853964267,41697.2726182862,41292.579273967,40895.5548371208,39812.0479757328
1. Energy,WAM,Total,632181.34379,655428.65053,670421.34726,616738.91495,579294.54368,523241.03695,469201.79125,427044.20599,379719.85039,345123.29231,318274.97278,294028.27808,270694.8357,248529.7231,226239.38319,205715.40611,187809.50012,171957.93525,157778.12122,145265.82418,136289.68883,128413.83179,121325.85864,115193.68684,109782.45423,105739.23191,101726.99068,98255.02431,95183.05119,91631.37566,,,670421.34725999,616738.914945184,579294.54367648,523241.036948867,469201.791253665,427044.205992997,379719.850388197,345123.292310218,318274.972778263,294028.278084663,270694.835704265,248529.723097792,226239.383191219,205715.40611465,187809.500119919,171957.935250506,157778.121219806,145265.824178127,136289.688829213,128413.831786648,121325.858643161,115193.686841654,109782.454234427,105739.231913124,101726.990677876,98255.0243115852,95183.0511852497,91631.3756627954
1. Energy,WEM,ESR,328270.52101,327292.51896,326314.51691,323027.29276,311985.57697,303006.84036,291962.02428,278578.41441,266006.65004,251514.38737,237850.48618,225797.05321,212553.20855,199094.96936,185249.46412,171440.08599,159188.44245,148019.15996,138569.30264,129722.48242,122840.71242,116713.95935,111384.03654,106579.24494,102043.96577,97910.28641,94095.81745,90713.70494,87607.99239,84715.85489,0.0,0.0,326314.516907602,323027.292755757,311985.57697419,303006.840356061,291962.024280798,278578.414405876,266006.65003956,251514.387366312,237850.486176178,225797.053212639,212553.208553454,199094.969355744,185249.464115418,171440.085989049,159188.442446452,148019.159962838,138569.302636722,129722.482417519,122840.712415093,116713.959346008,111384.036542692,106579.244944064,102043.965768183,97910.2864054729,94095.8174472752,90713.7049425103,87607.9923915045,84715.8548930652
1. Energy,WEM,ETS,302467.31641,326286.905,350106.49359,301086.02418,275393.20878,230256.8373,188545.99134,160129.75061,130465.50966,115931.5894,106646.21798,100118.09351,93689.07475,88256.63635,82475.99234,76361.15606,71076.90483,66138.98052,61462.84284,57020.6313,55377.33475,53838.3345,52373.39051,51112.30523,49939.9384,49394.73744,48921.3566,48755.93528,48496.10329,47466.51982,,,350106.493592402,301086.024183284,275393.208782888,230256.837301697,188545.991340498,160129.750611298,130465.509658361,115931.589401786,106646.217977998,100118.093508707,93689.0747544157,88256.6363478249,82475.9923367339,76361.1560611447,71076.9048276302,66138.9805208278,61462.8428431807,57020.6312957235,55377.3347485365,53838.3345017022,52373.390510978,51112.3052333314,49939.9383975445,49394.7374373551,48921.3566003605,48755.9352824788,48496.1032948311,47466.519817231
1. Energy,WEM,Total,632181.34379,655428.65053,678675.95863,626527.55617,589799.3058,535687.92724,482935.25297,441137.69719,398903.33095,369878.17918,346911.17721,328311.84722,308621.21965,289712.8131,270069.00027,250127.18925,232573.77172,216449.10735,202305.69797,188999.28351,180456.83435,172773.6837,165961.39649,159878.06277,154152.91503,149456.48678,145151.04337,141585.8715,138202.64296,134263.20678,,,678675.95862634,626527.556165402,589799.305802249,535687.92724359,482935.252965214,441137.69718829,398903.330946923,369878.179179817,346911.1772077,328311.847222716,308621.219652175,289712.813100726,270069.000274631,250127.189246749,232573.771715492,216449.107349409,202305.697972462,188999.283506901,180456.83434846,172773.6836996,165961.396489115,159878.062765763,154152.915026352,149456.48678492,145151.043366398,141585.871501022,138202.642961176,134263.206780231
1.A.1. Energy industries,WAM,ESR,28963.61661,27825.40119,21831.56089,22713.66437,23365.35787,24002.03875,24251.58857,23657.43952,22472.53089,20606.07009,19538.27043,18685.9458,17799.63779,16967.47837,16146.80185,15741.59756,15319.27603,14886.13219,14446.02103,14149.28523,14243.34944,14347.79166,14477.91161,14595.51307,14726.35674,14970.59209,15135.88421,15280.4297,15412.33919,15539.59759,,,21831.5608941253,22713.6643728374,23365.3578746988,24002.0387531688,24251.5885697845,23657.4395153524,22472.5308883486,20606.0700936575,19538.2704325543,18685.9458030835,17799.6377882823,16967.4783747115,16146.8018531246,15741.5975636011,15319.2760266583,14886.1321872485,14446.0210305576,14149.2852285741,14243.3494448668,14347.791655337,14477.9116100168,14595.5130744837,14726.3567435591,14970.5920889403,15135.8842112968,15280.4297013394,15412.3391870052,15539.5975926412
1.A.1. Energy industries,WAM,ETS,206001.8,229547.39529,256362.04683,207843.12218,186803.63319,145735.20267,108906.04889,86929.35735,60411.17552,50210.955,45094.8413,40991.33536,37069.76193,33417.97541,29730.16983,27433.43932,25188.35649,23061.08761,20939.68149,19151.14315,18686.32483,18351.49816,18324.11274,18310.93322,18398.41461,18824.00318,19076.85782,19296.07857,19510.93089,19688.17946,,,256362.046833304,207843.122178828,186803.633193407,145735.202668653,108906.048893597,86929.3573512385,60411.1755198591,50210.9550012794,45094.8413011836,40991.3353642767,37069.7619347998,33417.9754105596,29730.1698274308,27433.4393162456,25188.3564862561,23061.0876095882,20939.6814947931,19151.1431491046,18686.3248252347,18351.4981646912,18324.1127351806,18310.9332166232,18398.4146141662,18824.0031822879,19076.8578202259,19296.0785671244,19510.9308913491,19688.1794550111
1.A.1. Energy industries,WAM,Total,234965.41635,257372.797,278193.60773,230556.78655,210168.99107,169737.24142,133157.63746,110586.79687,82883.70641,70817.02509,64633.11173,59677.28117,54869.39972,50385.45379,45876.97168,43175.03688,40507.63251,37947.2198,35385.70253,33300.42838,32929.67427,32699.28982,32802.02435,32906.44629,33124.77136,33794.59527,34212.74203,34576.50827,34923.27008,35227.77705,,,278193.607727429,230556.786551665,210168.991068106,169737.241421821,133157.637463381,110586.796866591,82883.7064082076,70817.0250949369,64633.1117337379,59677.2811673601,54869.3997230821,50385.4537852711,45876.9716805554,43175.0368798466,40507.6325129143,37947.2197968366,35385.7025253507,33300.4283776787,32929.6742701015,32699.2898200282,32802.0243451974,32906.446291107,33124.7713577253,33794.5952712282,34212.7420315227,34576.5082684638,34923.2700783542,35227.7770476523
1.A.1. Energy industries,WEM,ESR,28963.61661,27825.40119,26687.18576,27244.89777,27600.90755,28550.93935,28401.50335,26755.85616,24894.48365,22946.01444,21774.12127,21016.67159,20149.58484,19091.22506,18056.32252,16984.11873,15910.31416,14845.35729,13789.22638,12868.01344,13013.99173,13151.84748,13295.12181,13439.36276,13606.015,13699.15607,13806.82182,13915.87662,14031.33245,14150.3045,,,26687.1857598872,27244.8977687366,27600.9075497206,28550.9393507561,28401.5033466446,26755.8561632457,24894.4836464093,22946.014443897,21774.1212691909,21016.6715947848,20149.5848381762,19091.2250613334,18056.3225236163,16984.1187258017,15910.3141608942,14845.3572896105,13789.2263763422,12868.0134443598,13013.9917342706,13151.8474845813,13295.1218121844,13439.3627617216,13606.0149959116,13699.1560712763,13806.8218217808,13915.8766192073,14031.3324455684,14150.3045016943
