Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1. Energy,WAM,ESR,18017.4239013888,17917.11987,17360.65229,16678.23401,15959.55546,15409.76104,14608.94888,13823.13912,13120.1828,12396.93029,11886.01693,11375.10357,10864.19021,10353.27685,9842.36349,9245.86635,8649.3692,8052.87206,7456.37492,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,,,,,,,,,,,,,,
1. Energy,WAM,ETS,10301.7179783333,10768.33652,7150.97734,7691.6628,4576.24098,3159.42615,2537.13064,2123.60253,-302.61143,-557.41121,-567.29197,-577.17273,-587.05349,-596.93425,-606.81501,-654.29699,-701.77897,-749.26095,-796.74293,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,,,,,,,,,,,,,,
1. Energy,WAM,Total,27891.611905,28795.11916,24628.34435,24493.67625,20666.65342,18701.39722,17279.68637,16081.78505,12954.08864,11977.54239,11457.16004,10936.77768,10416.39532,9896.01297,9375.63061,8732.07093,8088.51124,7444.95155,6801.39187,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,,,,,,,,,,,,,,
1. Energy,WEM,ESR,18017.4239013888,17917.11987,17360.65229,16678.23401,15959.55546,15409.76104,14608.94888,13823.13912,13120.1828,12396.93029,11886.01693,11375.10357,10864.19021,10353.27685,9842.36349,9245.86635,8649.3692,8052.87206,7456.37492,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,6859.87777,,17917.1198732205,17360.6522885422,16678.2340148654,15959.5554598598,15409.7610351403,14608.9488782687,13823.139115247,13120.1828017046,12396.9302891861,9842.36348867354,6859.87777381196,6859.87777381196,6859.87777381196
1. Energy,WEM,ETS,10301.7179783333,10768.33652,7150.97734,7691.6628,4576.24098,3159.42615,2537.13064,2123.60253,-302.61143,-557.41121,-567.29197,-577.17273,-587.05349,-596.93425,-606.81501,-654.29699,-701.77897,-749.26095,-796.74293,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,-844.22491,10313.9198128792,10768.3365128886,7150.97734496489,7691.66280354732,4576.24097823883,3159.42615344416,2537.13064253082,2123.60252870988,-302.611427534569,-557.411209498242,-606.815012953242,-844.224913253635,-844.224913253635,-844.224913253635
1. Energy,WEM,Total,27876.8320194444,28795.11943,24628.34435,24493.67625,20666.65342,18701.39722,17279.68637,16081.78505,12954.08864,11977.54239,11457.16004,10936.77768,10416.39532,9896.01297,9375.63061,8732.07093,8088.51124,7444.95155,6801.39187,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,6157.83218,,28795.1194320073,24628.344347492,24493.6762503389,20666.6534196814,18701.397220429,17279.6863749541,16081.7850507728,12954.0886379128,11977.5423917873,9375.63061111407,6157.83218393963,6157.83218393963,6157.83218393963
1.A.1. Energy industries,WAM,ESR,622.609288055552,552.36215,540.9729,477.28721,468.33571,438.22496,360.36405,306.58499,251.63335,218.70712,208.53532,198.36353,188.19173,178.01993,167.84814,159.24752,150.6469,142.04628,133.44566,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,ETS,7867.62013,8626.53012,5193.63826,5926.40723,3293.08526,2066.67286,1659.90248,1434.46578,-801.21838,-922.90454,-914.99541,-907.08628,-899.17716,-891.26803,-883.3589,-901.3789,-919.3989,-937.4189,-955.4389,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,Total,8318.69196333333,9178.89227,5734.61116,6403.69444,3761.42097,2504.89782,2020.26653,1741.05077,-549.58503,-704.19742,-706.46009,-708.72276,-710.98543,-713.2481,-715.51076,-742.13138,-768.752,-795.37262,-821.99324,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,,,,,,,,,,,,,,
1.A.1. Energy industries,WEM,ESR,622.609288055552,552.36215,540.9729,477.28721,468.33571,438.22496,360.36405,306.58499,251.63335,218.70712,208.53532,198.36353,188.19173,178.01993,167.84814,159.24752,150.6469,142.04628,133.44566,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,124.84504,447.162999119624,552.362150331963,540.972899932387,477.287206051164,468.335710592523,438.224960396228,360.364047182349,306.584985232823,251.633351019327,218.707118778092,167.848135146745,124.845041154785,124.845041154785,124.845041154785
1.A.1. Energy industries,WEM,ETS,7867.62013,8626.53012,5193.63826,5926.40723,3293.08526,2066.67286,1659.90248,1434.46578,-801.21838,-922.90454,-914.99541,-907.08628,-899.17716,-891.26803,-883.3589,-901.3789,-919.3989,-937.4189,-955.4389,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,-973.4589,,8626.53012249566,5193.63826464448,5926.40723140232,3293.08525591574,2066.67285769074,1659.90247873733,1434.4657842713,-801.218381356591,-922.904540378376,-883.358899777183,-973.45890255119,-973.45890255119,-973.45890255119
1.A.1. Energy industries,WEM,Total,8318.69196333333,9178.89227,5734.61116,6403.69444,3761.42097,2504.89782,2020.26653,1741.05077,-549.58503,-704.19742,-706.46009,-708.72276,-710.98543,-713.2481,-715.51076,-742.13138,-768.752,-795.37262,-821.99324,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,-848.61386,8314.78312911962,9178.89227282762,5734.61116457687,6403.69443745349,3761.42096650826,2504.89781808697,2020.26652591968,1741.05076950413,-549.585030337264,-704.197421600284,-715.510764630438,-848.613861396405,-848.613861396405,-848.613861396405
1.A.2. Manufacturing industries and construction,WAM,ESR,1868.94748444442,1736.41253,1630.78781,1457.72553,1339.78598,1215.15121,1066.10767,940.31861,806.55158,708.72589,690.13959,671.55328,652.96697,634.38067,615.79436,608.30886,600.82336,593.33785,585.85235,578.36685,578.36685,578.36685,578.36685,578.36685,578.36685,578.36685,578.36685,578.36685,578.36685,578.36685,,,,,,,,,,,,,,
1.A.2. Manufacturing industries and construction,WAM,ETS,2308.74236,2037.07028,1853.15886,1650.38134,1205.3588,1020.08241,799.6661,611.98071,423.54236,285.0208,268.72698,252.43316,236.13935,219.84553,203.55171,174.64926,145.7468,116.84434,87.94188,59.03942,59.03942,59.03942,59.03942,59.03942,59.03942,59.03942,59.03942,59.03942,59.03942,59.03942,,,,,,,,,,,,,,
1.A.2. Manufacturing industries and construction,WAM,Total,3778.18783527778,3773.4828,3483.94667,3108.10686,2545.14478,2235.23362,1865.77377,1552.29932,1230.09394,993.74669,958.86657,923.98644,889.10632,854.2262,819.34608,782.95811,746.57015,710.18219,673.79423,637.40627,637.40627,637.40627,637.40627,637.40627,637.40627,637.40627,637.40627,637.40627,637.40627,637.40627,,,,,,,,,,,,,,
