Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,3955.40248,3861.24873,3889.56001,3920.54384,3902.5728,3864.63247,3808.76089,3757.80286,3703.70608,3550.00582,3455.82262,3347.10177,3238.68927,3131.10526,3038.14912,2893.13648,2782.79083,2677.4335,2576.8331,2480.44962,2384.83906,2297.75488,2214.73237,2137.45537,2064.94753,2014.62693,1967.53019,1923.48604,1882.33157,1843.9118,3955.40248346092,3861.24873461916,3889.56001154967,3920.5438380634,3902.57279620258,3864.63246631978,3808.76088819719,3757.80286221554,3703.70607611619,3550.0058221532,3455.822619232,3347.10176695534,3238.6892739673,3131.10526135454,3038.14912404886,2893.13647982618,2782.79082701099,2677.43350438264,2576.83309780093,2480.44961930634,2384.83906474513,2297.75488362315,2214.73237469188,2137.45537408566,2064.94752928458,2014.62693173029,1967.53018862091,1923.48603993271,1882.33156564298,1843.91179912342
1. Energy,WAM,ETS,5500.44253,5440.6344,5380.82626,5321.01813,5261.20999,4939.06546,4616.92093,4294.7764,3972.63186,3650.48733,3497.88198,3345.27662,3192.67127,3040.06591,2887.46056,2875.08242,2862.70427,2850.32613,2837.94799,2825.56984,176.54372,168.88469,161.22565,153.56661,145.90757,146.27197,146.63637,147.00077,147.36518,147.72958,5500.44252854621,5440.63439509214,5380.82626163808,5321.01812818401,5261.20999472994,4939.06546221891,4616.92092970788,4294.77639719686,3972.63186468583,3650.4873321748,3497.88197764486,3345.27662311492,3192.67126858499,3040.06591405505,2887.46055952511,2875.08241627928,2862.70427303344,2850.3261297876,2837.94798654177,2825.56984329593,176.54372438893,168.884685050767,161.225645712603,153.56660637444,145.907567036277,146.271969085711,146.636371135145,147.000773184579,147.365175234013,147.729577283447
1. Energy,WAM,Total,9461.04455,9307.14848,9275.70165,9246.92784,9169.19964,8809.16624,8431.20207,8058.15196,7681.96358,7206.17224,6959.43763,6698.16589,6437.20302,6177.06916,5931.5637,5774.22947,5651.56278,5533.88495,5420.9646,5312.26172,2567.68435,2473.00099,2382.37987,2297.50484,2217.39955,2167.50552,2120.83594,2077.21956,2036.49345,1998.50265,9461.04455000195,9307.14848464276,9275.70164899105,9246.92783812084,9169.19963858875,8809.16623624766,8431.20207453727,8058.1519584826,7681.96358051339,7206.17223761663,6959.43763145674,6698.16588847865,6437.20302219555,6177.06915860946,5931.56369761424,5774.22947327911,5651.56277770124,5533.88495476479,5420.96459548289,5312.26171709829,2567.68434504779,2473.00098936883,2382.379874596,2297.50484226644,2217.39954531436,2167.50552207494,2120.83594391696,2077.21955642772,2036.49344524887,1998.50264947028
1. Energy,WEM,ESR,3956.58141,3863.60658,3893.09678,3925.25953,3925.29501,3893.32623,3846.30371,3804.19474,3758.94701,3648.48615,3560.58664,3458.04397,3355.70605,3254.09485,3175.13403,3035.14325,2929.87462,2829.64764,2734.22909,2643.07727,2552.67867,2470.86086,2393.15674,2319.3371,2250.12738,2203.43514,2160.00668,2119.66924,2082.25846,2047.61799,3956.58140764945,3863.60658299621,3893.09678411525,3925.25953481751,3925.29500605316,3893.3262312014,3846.3037102756,3804.19474149075,3758.9470125882,3648.48614779872,3560.58664151238,3458.04396716973,3355.70605089656,3254.0948539041,3175.13402820387,3035.14324604906,2929.87462114583,2829.64763904461,2734.22909408645,2643.07726633468,2552.6786736251,2470.86085670015,2393.15674300023,2319.33709838614,2250.12737526588,2203.4351427267,2160.00668372404,2119.66924300717,2082.25846178841,2047.61798899219
1. Energy,WEM,ETS,5500.79614,5441.34163,5381.88711,5322.43259,5262.97807,4942.82117,4622.66426,4302.50735,3982.35044,3662.19353,3511.37333,3360.55313,3209.73293,3058.91272,2908.09252,2896.5055,2884.91848,2873.33146,2861.74444,2850.15742,198.86236,188.93437,179.00638,169.0784,159.15041,159.77296,160.39552,161.01807,161.64062,162.26317,5500.79614447293,5441.34162694558,5381.88710941823,5322.43259189088,5262.97807436353,4942.82116637719,4622.66425839086,4302.50735040452,3982.35044241819,3662.19353443186,3511.37333206024,3360.55312968862,3209.732927317,3058.91272494538,2908.09252257376,2896.50550240363,2884.91848223351,2873.33146206338,2861.74444189325,2850.15742172312,198.862356135274,188.934370116261,179.006384097248,169.078398078234,159.150412059221,159.77296396024,160.395515861259,161.018067762278,161.640619663297,162.263171564316
1. Energy,WEM,Total,9462.57709,9310.21356,9280.29927,9253.058,9193.68993,8841.61571,8474.48823,8112.27479,7746.92309,7316.35877,7077.69301,6824.3846,6571.28146,6318.90556,6089.18056,5937.65933,5820.86078,5709.10442,5602.15705,5499.47694,2757.84259,2666.15665,2578.58498,2494.89836,2415.82224,2369.81473,2327.07158,2287.42005,2250.69579,2216.74243,9462.57709011719,9310.21356487325,9280.29926933678,9253.05799858182,9193.68992807292,8841.61570528756,8474.48822529867,8112.27479096549,7746.92309471777,7316.35876551921,7077.69300815249,6824.38459526673,6571.28145785683,6318.90556204936,6089.18056481791,5937.65932562635,5820.86078103614,5709.10442170254,5602.1570471199,5499.47694255383,2757.84258567412,2666.15664751133,2578.584981289,2494.89835827072,2415.8222363186,2369.81472794588,2327.0715837462,2287.42005407988,2250.69578582358,2216.74243361992
1.A.1. Energy industries,WAM,ESR,402.14059,391.63151,381.12243,370.61336,360.10428,347.56212,335.01996,322.47781,309.93565,297.39349,293.46801,289.54253,285.61705,281.69157,277.76609,268.31154,258.857,249.40245,239.9479,230.49335,215.63319,205.31532,194.99744,184.67957,174.3617,173.3338,172.30589,171.27799,170.25009,169.22219,402.140585749758,391.631509963296,381.122434176833,370.61335839037,360.104282603907,347.562123728419,335.01996485293,322.477805977442,309.935647101954,297.393488226465,293.468008972125,289.542529717785,285.617050463445,281.691571209104,277.766091954764,268.311544042249,258.856996129734,249.402448217219,239.947900304704,230.493352392189,215.63318922979,205.315316305096,194.997443380403,184.67957045571,174.361697531016,173.333795699567,172.305893868117,171.277992036668,170.250090205218,169.222188373769
1.A.1. Energy industries,WAM,ETS,5403.82748,5342.04884,5280.2702,5218.49157,5156.71293,4834.09665,4511.48037,4188.86409,3866.24781,3543.63153,3390.39226,3237.15299,3083.91373,2930.67446,2777.43519,2764.48797,2751.54074,2738.59351,2725.64629,2712.69906,63.04321,54.75443,46.46565,38.17687,29.88809,29.64185,29.39561,29.14938,28.90314,28.65691,5403.8274771317,5342.04884034358,5280.27020355545,5218.49156676733,5156.71292997921,4834.09664989952,4511.48036981983,4188.86408974014,3866.24780966045,3543.63152958076,3390.39226171751,3237.15299385425,3083.91372599099,2930.67445812773,2777.43519026447,2764.48796504176,2751.54073981904,2738.59351459633,2725.64628937361,2712.69906415089,63.0432050344909,54.754425486926,46.4656459393611,38.1768663917961,29.8880868442312,29.6418506444727,29.3956144447141,29.1493782449556,28.903142045197,28.6569058454385
1.A.1. Energy industries,WAM,Total,5805.96806,5733.68035,5661.39264,5589.10493,5516.81721,5181.65877,4846.50033,4511.3419,4176.18346,3841.02502,3683.86027,3526.69552,3369.53078,3212.36603,3055.20128,3032.79951,3010.39774,2987.99596,2965.59419,2943.19242,278.67639,260.06974,241.46309,222.85644,204.24978,202.97565,201.70151,200.42737,199.15323,197.87909,5805.96806288146,5733.68035030687,5661.39263773229,5589.1049251577,5516.81721258311,5181.65877362794,4846.50033467276,4511.34189571758,4176.18345676241,3841.02501780723,3683.86027068963,3526.69552357203,3369.53077645443,3212.36602933684,3055.20128221924,3032.79950908401,3010.39773594878,2987.99596281354,2965.59418967831,2943.19241654308,278.676394264281,260.069741792022,241.463089319764,222.856436847506,204.249784375247,202.975646344039,201.701508312831,200.427370281623,199.153232250415,197.879094219207
1.A.1. Energy industries,WEM,ESR,402.50125,392.35283,382.20442,372.056,361.90759,352.43479,342.96199,333.48919,324.01639,314.54359,313.85875,313.17392,312.48909,311.80426,311.11942,303.97828,296.83715,289.69601,282.55487,275.41373,262.28588,253.70033,245.11477,236.52921,227.94365,227.94367,227.94369,227.94371,227.94373,227.94376,402.501247183435,392.352832830649,382.204418477864,372.056004125078,361.907589772292,352.434789074939,342.961988377586,333.489187680233,324.01638698288,314.543586285527,313.858753472295,313.173920659063,312.489087845831,311.804255032599,311.119422219367,303.978283752136,296.837145284906,289.696006817676,282.554868350446,275.413729883215,262.285882405796,253.700325166083,245.11476792637,236.529210686657,227.943653446944,227.943673802566,227.943694158187,227.943714513809,227.943734869431,227.943755225052
