Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040
1. Energy,WAM,ESR,24990.06,24975.02,24959.98,24944.94,24929.9,24506.26,24082.62,23658.98,23235.34,22811.7,22528.88,22246.06,21963.24,21680.42,21397.6,21134.1,20870.6,20607.1,20343.6,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,,,,
1. Energy,WAM,ETS,27503.98,25694.26,23884.54,22074.82,20265.1,18933.66,17602.22,16270.78,14939.34,13607.9,13248.26,12888.62,12528.98,12169.34,11809.7,11676.18,11542.66,11409.14,11275.62,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,,,,
1. Energy,WAM,Total,52813.52,51068.84,49324.16,47579.48,45834.8,44083.58,42332.36,40581.14,38829.92,37078.7,36440.32,35801.94,35163.56,34525.18,33886.8,33494.44,33102.08,32709.72,32317.36,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,,,,
1. Energy,WEM,ESR,24990.06,24975.02,24959.98,24944.94,24929.9,24506.26,24082.62,23658.98,23235.34,22811.7,22528.88,22246.06,21963.24,21680.42,21397.6,21134.1,20870.6,20607.1,20343.6,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,20080.1,24929.8799413447,22811.6561658548,21397.6068605498,20080.0652654037
1. Energy,WEM,ETS,27503.98,25694.26,23884.54,22074.82,20265.1,18933.66,17602.22,16270.78,14939.34,13607.9,13248.26,12888.62,12528.98,12169.34,11809.7,11676.18,11542.66,11409.14,11275.62,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,11142.1,20265.0645622491,13607.9343425288,11809.7235927514,11142.0661231315
1. Energy,WEM,Total,52813.52,51068.84,49324.16,47579.48,45834.8,44083.58,42332.36,40581.14,38829.92,37078.7,36440.32,35801.94,35163.56,34525.18,33886.8,33494.44,33102.08,32709.72,32317.36,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,31925.0,45834.751192631,37078.7332911019,33886.8184137997,31925.0025753469
1.A.1. Energy industries,WAM,ESR,123.42,112.24,101.06,89.88,78.7,72.66,66.62,60.58,54.54,48.5,47.1,45.7,44.3,42.9,41.5,42.02,42.54,43.06,43.58,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,,,,
1.A.1. Energy industries,WAM,ETS,24496.76,22692.82,20888.88,19084.94,17281.0,15980.06,14679.12,13378.18,12077.24,10776.3,10416.76,10057.22,9697.68,9338.14,8978.6,8940.16,8901.72,8863.28,8824.84,8786.4,8786.4,8786.4,8786.4,8786.4,8786.4,8786.4,8786.4,8786.4,8786.4,8786.4,,,,
1.A.1. Energy industries,WAM,Total,24620.18,22805.06,20989.94,19174.82,17359.7,16052.7,14745.7,13438.7,12131.7,10824.7,10463.78,10102.86,9741.94,9381.02,9020.1,8982.18,8944.26,8906.34,8868.42,8830.5,8830.5,8830.5,8830.5,8830.5,8830.5,8830.5,8830.5,8830.5,8830.5,8830.5,,,,
1.A.1. Energy industries,WEM,ESR,123.42,112.24,101.06,89.88,78.7,72.66,66.62,60.58,54.54,48.5,47.1,45.7,44.3,42.9,41.5,42.02,42.54,43.06,43.58,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,78.7173093559068,48.4546120705109,41.5080422857154,44.1145443523437
