Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,134787.9,130450.4,126224.5,121999.2,118265.2,111989.3,105715.3,99443.0,93116.2,86839.8,86612.5653104112,86386.4314684853,86157.0886275015,85929.9266869518,85700.2874101371,85240.9602185768,84775.6887091591,84313.8759908868,83850.7974273482,83391.6923671524,83313.6395010105,83228.4297096901,83149.5658124922,83068.3380135234,83000.9633726875,82738.3579841603,82479.3252430659,82224.0921109049,81959.4255318551,81701.8921207364,134787.884691816,130450.366321011,126224.539196139,121999.164021233,118265.237169934,111989.342485702,105715.328198807,99443.0384157413,93116.2283464818,86839.7533839244,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,ETS,79086.1,70861.0,62914.2,54967.3,49374.4,47839.3,46304.3,44769.2,42984.3,41414.9,40828.8634579653,40242.7078513892,39658.6042992915,39073.305030963,38490.6342845741,38346.4565296426,38203.6918116212,38061.3798625732,37917.3843604135,37774.7256856626,38035.9319827593,38293.9820093115,38552.1309282298,38810.5714201823,39069.8011374893,39238.8110265618,39407.6588426403,39576.5048449762,39745.3793534548,39914.2291414948,79086.065167217,70861.0062742053,62914.1659967993,54967.3257193934,49374.3930316057,47839.3341174011,46304.2752031964,44769.2162889917,42984.2702292639,41414.9171621621,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,Total,216048.5,204172.2,192685.9,181200.0,172559.5,164766.2,156974.9,149185.2,141091.2,133263.1,132505.376059298,131748.037051484,130989.621840122,130232.1132139,129474.755773353,128923.826159872,128368.367407413,127816.818073104,127262.321482386,126713.13308045,126958.918894477,127194.312913717,127436.230318509,127675.994653532,127930.403514011,127928.262501514,127929.532073849,127934.520842311,127930.183269091,127932.87340233,216048.450790275,204172.206378967,192685.871829198,181199.989229395,172559.462542817,164766.219809856,156974.857474234,149185.219642439,141091.174378928,133263.057214745,,,,,,,,,,,,,,,,,,,,
1. Energy,WEM,ESR,134787.9,133087.0,131434.7,129782.7,128540.0,127064.7,125589.8,124115.2,122640.9,121166.8,120812.4,120457.8,120103.3,119748.6,119393.8,118690.0,117986.1,117282.2,116578.3,115874.6,115706.6,115538.8,115371.2,115203.9,115036.9,114608.6,114180.7,113753.2,113326.2,112899.7,134787.884691816,133086.971089285,131434.69187318,129782.702360638,128539.994314899,127064.704764284,125589.815143579,124115.169559276,122640.858774745,121166.79848652,120812.367564836,120457.84529458,120103.270230482,119748.585918102,119393.77754133,118689.953986518,117986.10031109,117282.201050936,116578.329511832,115874.576926021,115706.615523389,115538.779442342,115371.208391681,115203.891925319,115036.932567701,114608.64729483,114180.730827308,113753.22826625,113326.20821281,112899.71883742
1. Energy,WEM,ETS,79086.1,77462.3,76054.4,74646.5,75051.2,75277.9,75504.5,75731.2,75957.8,76184.5,74475.9,72767.3,71058.8,69350.2,67641.6,67314.7,66987.7,66660.7,66333.7,66006.8,66547.1,67087.5,67627.9,68168.3,68708.6,68774.9,68841.1,68907.3,68973.6,69039.8,79086.065167217,77462.3175685501,76054.4008613599,74646.4841541697,75051.1928950793,75277.8534660267,75504.514036974,75731.1746079213,75957.8351788686,76184.495749816,74475.9215922123,72767.3474346087,71058.773277005,69350.1991194014,67641.6249617977,67314.65025761,66987.6755534223,66660.7008492346,66333.7261450469,66006.7514408592,66547.1262080549,67087.5009752507,67627.8757424464,68168.2505096422,68708.6252768379,68774.8571118394,68841.0889468408,68907.3207818422,68973.5526168437,69039.7844518451
1. Energy,WEM,Total,216048.5,213667.5,211551.1,209434.9,209540.6,208366.6,207193.0,206019.7,204846.6,203673.9,201680.3,199686.6,197692.9,195699.1,193705.1,192740.7,191776.3,190811.8,189847.4,188883.0,189334.5,189786.1,190237.9,190690.0,191142.5,190895.9,190649.7,190403.9,190158.5,189913.7,216048.450790275,213667.524980205,211551.064448038,209434.893619433,209540.629705732,208366.625349508,207193.020923195,206019.660533284,204846.634943145,203673.859849312,201680.286994649,199686.622791415,197692.905794339,195699.079548981,193705.129239231,192740.729905546,191776.300451246,190811.825412219,189847.378094243,188883.049729559,189334.507448737,189786.0904895,190237.938560649,190690.041216096,191142.500980289,190895.905571126,190649.678967312,190403.866269962,190158.536080231,189913.736568549
1.A.1. Energy industries,WAM,ESR,2642.8,2457.0,2266.0,2075.0,1884.0,1716.4,1548.9,1381.3,1213.7,1046.2,1004.19598695982,962.57814780326,920.96019419077,879.342355034207,837.850867603092,831.704664333285,825.687310032136,819.541106762329,813.523752461179,807.506398160029,814.96270830495,822.419132905797,829.875443050717,837.202904226981,844.659214371901,836.977715206408,829.278414371133,821.579113535858,813.879927156509,806.180626321234,2642.78004277713,2457.02575962015,2266.01139272441,2074.99700536092,1883.98261511268,1716.42248584632,1548.86235214091,1381.30223073052,1213.74212996529,1046.18204444739,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,ETS,38604.1,33610.2,28894.4,24178.5,19462.6,18897.3,18332.1,17766.8,17201.5,16636.2,16119.1923408979,15604.4466087794,15089.6995280422,14575.0222108209,14061.767077623,13969.9064880304,13879.5659220352,13787.7071461851,13697.2963515501,13606.9557855549,13715.8951436194,13824.83403656,13933.7733946245,14041.1945428341,14150.0654860013,14107.7008998065,14065.238981276,14022.7752490031,13980.381280246,13937.9193617155,38604.0705909916,33610.2459346383,28894.3779178638,24178.5099010893,19462.6418843148,18897.3465541738,18332.0512240329,17766.7558938919,17201.4605637509,16636.1652336099,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,Total,41246.9,36067.3,31160.4,26253.5,21346.6,20613.8,19880.9,19148.1,18415.2,17682.3,17123.2884723702,16566.9249010951,16010.5598667454,15454.2647103675,14899.5180897385,14801.5112968761,14705.1533765798,14607.1483974599,14510.7202485237,14414.3623282274,14530.7579964368,14647.1533139782,14763.5489821876,14878.2975915735,14994.6248448857,14944.5787491317,14894.4175297659,14844.2544966577,14794.1613415213,14744.0001221555,41246.8506337687,36067.2716942584,31160.3893105882,26253.5069064502,21346.6244994275,20613.7690400202,19880.9135761738,19148.0581246224,18415.2026937162,17682.3472780573,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WEM,ESR,2642.8,2439.2,2229.0,2018.8,1808.6,1724.7,1640.9,1557.0,1473.1,1389.3,1316.8,1244.2,1171.7,1099.2,1026.6,1005.0,983.3,961.7,940.0,918.4,902.6,886.9,871.1,855.4,839.6,827.5,815.3,803.2,791.0,778.8,2642.78004277713,2439.19875555763,2228.99565282362,2018.79252962185,1808.58940353533,1724.72822378539,1640.86703959641,1557.00586770245,1473.14471645364,1389.28358045216,1316.75001036375,1244.21708171011,1171.68476299143,1099.15301003816,1026.6217775123,1004.96746082792,983.3136025922,961.660171004764,940.007131135836,918.354460007484,902.608603385441,886.863130198199,871.118016881033,855.373241313938,839.628782750809,827.472483640701,815.316463824699,803.160706182692,791.005194659378,778.84991343794
