Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050
1. Energy,WAM,ESR,1179032.82149139,1164787.90049,1463235.7548,1440631.51324,1411416.83125,1375248.45181,1336158.74815,1294546.37252,1252493.11534,1207421.10058,1172848.29003354,1139195.86118435,1105855.86220609,1072880.98093828,1039686.26069419,1006704.79784358,976146.746095107,947441.342247782,920559.42852519,895035.388535941,878157.136001274,862428.705701429,847292.830875707,833004.188388214,819951.487498854,810313.933754809,801448.684898198,792948.54378052,784885.836965953,777288.376829318
1. Energy,WAM,ETS,1060346.64267833,1054398.03989,1051159.31466,974044.01336,918976.38103,849521.53426,783161.61463,733264.6272,675414.62277,635179.03768,608426.799025215,582856.840634495,558802.544178253,535957.484275781,511714.289435249,499697.526793113,488615.708847888,478647.192681635,468066.932902272,457412.548570317,449525.524573001,444742.338325142,440543.03868965,435801.09882719,431684.437510086,429908.586078241,428790.022433402,427438.811184821,426527.691742382,424710.597959505
1. Energy,WAM,Total,2577170.678555,2558392.09391,2528139.70535,2429962.23153,2347068.28497,2241519.60057,2136144.02294,2044705.74422,1944873.14976,1859635.44036,1798228.68011614,1738923.84345518,1681447.48822066,1625545.24442129,1568025.19328758,1523123.31592007,1481579.87097357,1443002.43925522,1405637.20067047,1369555.14061449,1344742.62274912,1324183.13953929,1304800.82529502,1285722.81577064,1268505.88424205,1257198.51554552,1247320.79357383,1237575.13849826,1228707.242811,1219398.49014021
1. Energy,WEM,ESR,1512531.38069139,1503558.27322,1493744.07048,1480102.52856,1459864.54004,1435692.24709,1408708.3302,1379196.22569,1350336.93032,1318927.86437,1292219.66289658,1267456.99226371,1241445.94898681,1215176.80187141,1188668.34300781,1162691.91071613,1138938.30074543,1116343.71967534,1095495.38903361,1075369.63008594,1059938.44038556,1045403.84429586,1031758.87524616,1018482.84525646,1005990.37469676,995447.313057065,985389.188837366,975769.689477666,966526.419987967,957622.718158268
1. Energy,WEM,ETS,1066654.84741833,1073638.65391,1080883.22829,1017080.55268,974288.81488,909491.43024,847755.16276,800367.86121,749510.26073,717363.07568,692284.018198514,669621.601511425,647688.588474917,627211.051210035,606911.922825121,589915.329420512,574752.042960626,560559.006905961,546144.582291329,532486.109803512,525473.815991152,521478.304029927,518057.276698702,514234.536927478,510606.844766253,508962.192195029,508157.189193804,507579.17513258,506895.779621355,505718.26167013
1. Energy,WEM,Total,2588698.02160945,2589379.32197,2588903.77466,2513264.92191,2451886.44873,2363050.07936,2274462.00722,2197692.25205,2118104.48999,2054676.59613,2002821.45209136,1955327.92683048,1907316.05418395,1860501.48921054,1813626.48795895,1770773.3339214,1731976.28358961,1695309.07824364,1660166.67926602,1626502.53554933,1604067.27687534,1585545.14694318,1568487.17699103,1551396.52696887,1535284.23971671,1523218.92453455,1512478.45038239,1502403.27540023,1492598.70354807,1482639.72829591
1. Energy,WOM,ESR,10121.20045,10222.74688,10322.36289,10421.69484,10519.96499,10633.10971,10744.22774,10854.1143,10963.6363,11073.26179,11170.96178,11268.56177,11366.16176,11463.76175,11569.9726,11736.27262,11902.57265,12068.77268,12235.0727,12401.03283,12425.883,12428.17632,12430.46964,12432.76296,12435.05628,12437.3496,12439.64291,12441.93623,12444.22955,12446.52287
1. Energy,WOM,ETS,8220.41606,8238.6407,8255.9632,8270.66716,8432.2891,8451.43437,8468.08391,8490.01802,8503.98271,8519.01311,8527.61311,8536.21311,8544.81311,8553.41311,8606.15663,8614.35663,8622.65663,8630.85663,8639.15663,8682.48626,8723.16138,8744.27994,8765.3985,8786.51706,8807.63561,8828.75417,8849.87273,8870.99129,8892.10985,8913.22841
1. Energy,WOM,Total,130129.54402,130870.99726,131609.67314,132345.6464,133227.26187,134467.17519,135702.46613,136941.90234,138172.80462,139405.1761,140841.37403,142277.67197,143713.76991,145149.96785,146638.92017,148203.32465,149767.82913,151332.3336,152896.73808,154496.0323,155192.79043,155847.39329,156501.99614,157156.599,157811.20185,158216.56471,158621.92756,159027.29042,159432.65328,159838.01613
1.A.1. Energy industries,WAM,ESR,69944.8669780556,67356.6994,59414.89985,58135.73232,56641.91503,56633.54356,56121.31765,54854.82351,53019.80756,50452.80547,48427.605112938,46734.2089059886,45003.4563445833,43362.1835876339,41750.48581241,41031.0143950826,40316.2517667239,39582.2290493966,38800.7558010378,38194.2437526791,38447.5188698892,38744.7006415552,39021.3433987653,39273.3207170067,39585.0495242168,40106.517409006,40558.4016721254,40981.8152852448,41400.2674728201,41802.7414659395
