Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,17459.8,17361.5,16741.7,14672.6,14101.5,13720.0,13083.9,12479.0,11889.6,11232.3,10861.2,10469.9,10073.3,9671.0,9206.0,8504.3,7858.9,7269.6,6725.2,6218.2,5778.0,5377.2,5008.5,4668.3,4361.0,4333.0,4307.9,4283.5,4259.8,4241.6,17459.7719901603,17361.5305738341,16741.7376473732,14672.5528108929,14101.5218129028,13719.9521203009,13083.9215346372,12478.9963707894,11889.6139893456,11232.3170317557,10861.241758933,10469.8996756579,10073.3193815375,9670.97107840086,9206.00714211366,8504.34408011392,7858.87999478505,7269.55432797432,6725.23300961357,6218.16185664212,5778.02307225261,5377.16340856008,5008.54375282437,4668.34240023362,4361.03335680002,4333.00542224726,4307.93499368645,4283.45940755694,4259.81978983924,4241.56135302517
1. Energy,WAM,ETS,16585.9,14367.3,13028.3,11467.7,9469.7,8189.9,6831.7,5398.4,3942.2,3546.3,3276.3,2946.1,2589.9,2268.2,1949.5,1488.5,1065.0,629.4,201.4,-228.4,-732.6,-1237.4,-1751.3,-2271.1,-2789.9,-3305.4,-3814.1,-4321.6,-4827.8,-5332.8,16585.8667287629,14367.3290298932,13028.2768309187,11467.7229217713,9469.74127654322,8189.91145818308,6831.66964312181,5398.41896786025,3942.23155486414,3546.26888305214,3276.31970322991,2946.1173113355,2589.93526196959,2268.1609800817,1949.51252014557,1488.45547836701,1064.99903262959,629.367735377839,201.428508142598,-228.369279688582,-732.589737029957,-1237.43615350773,-1751.28390685283,-2271.12507916046,-2789.91748067222,-3305.36583198762,-3814.13458054981,-4321.58931356169,-4827.79334988926,-5332.80919295707
1. Energy,WAM,Total,34127.4,31880.1,29965.2,26335.5,23766.5,22105.1,20110.8,18072.6,16027.0,14973.8,14332.8,13611.2,12858.5,12134.3,11350.7,10188.0,9119.1,8094.1,7121.9,6185.0,5240.6,4334.9,3452.5,2592.4,1766.3,1222.8,689.0,157.1,-372.8,-896.0,34127.3773189232,31880.1382037273,29965.2130782919,26335.4743326641,23766.461689446,22105.062178484,20110.789777759,18072.6139386496,16027.0441442097,14973.7845148078,14332.7600621629,13611.2155869934,12858.4532435071,12134.3306584826,11350.7182622592,10187.9981584809,9119.07762741464,8094.12066335216,7121.86011775616,6184.99117695354,5240.63193522265,4334.92585505235,3452.45844597154,2592.41592107315,1766.3144761278,1222.83819025964,688.999013136648,157.068693995247,-372.774960050024,-896.049239931904
1. Energy,WEM,ESR,17459.8,17361.5,16951.6,15002.3,14572.5,14080.1,13457.1,12865.4,12289.1,11638.1,11346.2,11027.3,10694.2,10346.2,9999.8,9676.6,9368.9,9082.4,8807.1,8539.7,8311.6,8105.6,7915.8,7742.6,7587.8,7444.5,7318.4,7197.9,7087.3,6986.5,17459.7719901603,17361.541118668,16951.5629372228,15002.2547406217,14572.4658711742,14080.0821513738,13457.1192529645,12865.4106094422,12289.1078680702,11638.1421185896,11346.2223498344,11027.2769503547,10694.2131131401,10346.169952894,9999.80487758346,9676.64880272853,9368.92490302766,9082.43923850058,8807.07401149078,8539.67327796487,8311.58881034325,8105.59364405994,7915.76098142037,7742.59304654935,7587.82840958482,7444.45425961224,7318.39548296535,7197.87402084108,7087.34580100396,6986.54193807545
1. Energy,WEM,ETS,16585.9,14367.3,13028.3,11467.7,9469.7,8189.9,6831.7,5398.4,3942.2,3546.3,3276.3,2946.1,2589.9,2268.2,1949.5,1488.5,1065.0,629.4,201.4,-228.4,-732.6,-1237.4,-1751.3,-2271.1,-2789.9,-3305.4,-3814.1,-4321.6,-4827.8,-5332.8,16585.8667287629,14367.3290298932,13028.2768309187,11467.7229217713,9469.74127654322,8189.91145818308,6831.66964312181,5398.41896786025,3942.23155486414,3546.26888305214,3276.31970322991,2946.1173113355,2589.93526196959,2268.1609800817,1949.51252014557,1488.45547836701,1064.99903262959,629.367735377839,201.428508142598,-228.369279688582,-732.589737029957,-1237.43615350773,-1751.28390685283,-2271.12507916046,-2789.91748067222,-3305.36583198762,-3814.13458054981,-4321.58931356169,-4827.79334988926,-5332.80919295707
1. Energy,WEM,Total,34127.4,31880.1,30175.0,26665.2,24237.4,22465.2,20484.0,18459.0,16426.5,15379.6,14817.7,14168.6,13479.3,12809.5,12144.5,11360.3,10629.1,9907.0,9203.7,8506.5,7774.2,7063.4,6359.7,5666.7,4993.1,4334.3,3699.5,3071.5,2454.8,1848.9,34127.3773189232,31880.1487485612,30175.0383681415,26665.176262393,24237.4057477174,22465.1922095568,20483.9874960864,18459.0281773024,16426.5380229343,15379.6096016417,14817.7406530643,14168.5928616902,13479.3469751097,12809.5295329758,12144.515997729,11360.3028810955,10629.1225356572,9907.00557387842,9203.70111963338,8506.50259827629,7774.19767331329,7063.3560905522,6359.67567456753,5666.66656738889,4993.1095289126,4334.28702762462,3699.45950241554,3071.48330727939,2454.7510511147,1848.93134511837
1.A.1. Energy industries,WAM,ESR,1729.6,1696.2,1732.4,1694.2,1650.4,1629.8,1606.8,1582.9,1558.7,1536.2,1527.4,1517.7,1507.6,1497.4,1487.2,1478.9,1470.9,1462.9,1455.5,1446.6,1436.0,1425.6,1415.0,1404.5,1394.4,1385.2,1376.4,1367.8,1359.4,1351.3,1729.55462733813,1696.21846221164,1732.36458558817,1694.22332800905,1650.36353848219,1629.78149924576,1606.77119894726,1582.91724663847,1558.69903671372,1536.18833565849,1527.35616620262,1517.72228031259,1507.57102748292,1497.44713890531,1487.20061395374,1478.85055026191,1470.86506814807,1462.88106932124,1455.49597693243,1446.55516576851,1435.96902520671,1425.64396110175,1414.96062263512,1404.54356333027,1394.41199476138,1385.21462371674,1376.41102104447,1367.82709094485,1359.44875108743,1351.30948627834
1.A.1. Energy industries,WAM,ETS,11482.8,9599.1,8340.7,6980.3,5180.5,4326.5,3462.7,2525.4,1567.8,605.9,466.1,327.7,186.4,51.1,-82.9,-102.6,-125.4,-159.3,-184.8,-211.3,-215.6,-220.2,-233.4,-252.3,-269.9,-285.8,-295.2,-303.4,-310.6,-316.7,11482.788275537,9599.05329012281,8340.73693865926,6980.29741965446,5180.4735763006,4326.52816583151,3462.65796902073,2525.38759602755,1567.77893533843,605.87844714097,466.088118928325,327.666951721861,186.431354577891,51.0921201255569,-82.8761381209531,-102.635461431712,-125.424240508658,-159.321348589816,-184.750025870318,-211.346936591458,-215.604326047952,-220.16616778754,-233.412643419377,-252.341369953069,-269.916414015095,-285.820927239088,-295.202171259434,-303.427502271935,-310.562032199157,-316.67008150532
1.A.1. Energy industries,WAM,Total,13212.3,11295.3,10073.1,8674.5,6830.8,5956.3,5069.4,4108.3,3126.5,2142.1,1993.4,1845.4,1694.0,1548.5,1404.3,1376.2,1345.4,1303.6,1270.7,1235.2,1220.4,1205.5,1181.5,1152.2,1124.5,1099.4,1081.2,1064.4,1048.9,1034.6,13212.3429028751,11295.2717523345,10073.1015242474,8674.52074766351,6830.83711478279,5956.30966507727,5069.42916796799,4108.30484266602,3126.47797205215,2142.06678279946,1993.44428513094,1845.38923203445,1694.00238206081,1548.53925903087,1404.32447583279,1376.2150888302,1345.44082763941,1303.55972073142,1270.74595106211,1235.20822917705,1220.36469915876,1205.47779331421,1181.54797921574,1152.2021933772,1124.49558074628,1099.39369647766,1081.20884978503,1064.39958867291,1048.88671888827,1034.63940477302
1.A.1. Energy industries,WEM,ESR,1729.6,1696.2,1732.4,1694.3,1650.4,1629.9,1606.9,1583.0,1558.9,1536.4,1527.6,1517.9,1507.8,1497.7,1487.5,1479.2,1471.2,1463.2,1455.9,1446.9,1436.4,1426.1,1415.4,1405.0,1394.9,1385.7,1376.9,1368.3,1359.9,1351.8,1729.55462733813,1696.21846221164,1732.38827960854,1694.27224846344,1650.43660291617,1629.87272913776,1606.8831758768,1583.04968757732,1558.85170714008,1536.36163317239,1527.55099968452,1517.93865191569,1507.80893931393,1497.70659295081,1487.48161214636,1479.15314484682,1471.18926125535,1463.22686323332,1455.86337344517,1446.94416681213,1436.37963498739,1426.07618190093,1415.41445622644,1405.01901059115,1394.90905688343,1385.71168433127,1376.90808144872,1368.32415469763,1359.94581539756,1351.80655105223
