Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,203308.23557,202445.63913,201583.04269,200720.44626,199857.84982,194575.59653,189293.34324,184011.08995,178728.83666,173446.58337,169427.21546,165407.84755,161388.47965,157369.11174,153349.74383,150149.98837,146950.23292,143750.47746,140550.72201,137350.96655,135159.47542,132967.98428,130776.49314,128585.002,126393.51086,125372.52814,124351.54542,123330.5627,122309.57998,121288.59726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,ETS,55788.5629,54194.00859,52599.45428,51004.89997,49410.34566,49193.20202,48976.05838,48758.91474,48541.7711,48324.62746,47978.8723,47633.11714,47287.36198,46941.60682,46595.85166,46283.58362,45971.31557,45659.04753,45346.77948,45034.51144,44780.7775,44527.04355,44273.30961,44019.57567,43765.84173,44443.26988,45120.69804,45798.1262,46475.55435,47152.98251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,Total,262440.10219,260275.12459,258110.14699,255945.16939,253780.19179,248312.62753,242845.06327,237377.499,231909.93474,226442.37048,222108.40794,217774.4454,213440.48287,209106.52033,204772.55779,201291.07045,197809.5831,194328.09576,190846.60841,187365.12106,184940.63004,182516.13902,180091.64799,177667.15697,175242.66595,174908.43457,174574.2032,174239.97183,173905.74046,173571.50908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WEM,ESR,203308.23557,202445.63913,201583.04269,200720.44626,199857.84982,194575.59653,189293.34324,184011.08995,178728.83666,173446.58337,169427.21546,165407.84755,161388.47965,157369.11174,153349.74383,150149.98837,146950.23292,143750.47746,140550.72201,137350.96655,135159.47542,132967.98428,130776.49314,128585.002,126393.51086,125372.52814,124351.54542,123330.5627,122309.57998,121288.59726,,,,,199857.849817594,,,,,173446.58337112,,,,,153349.743829005,,,,,137350.96655341,,,,,126393.510864905,,,,,121288.597260112
1. Energy,WEM,ETS,55788.5629,54194.00859,52599.45428,51004.89997,49410.34566,49193.20202,48976.05838,48758.91474,48541.7711,48324.62746,47978.8723,47633.11714,47287.36198,46941.60682,46595.85166,46283.58362,45971.31557,45659.04753,45346.77948,45034.51144,44780.7775,44527.04355,44273.30961,44019.57567,43765.84173,44443.26988,45120.69804,45798.1262,46475.55435,47152.98251,,,,,49410.3456630555,,,,,48324.627461343,,,,,46595.8516648067,,,,,45034.5114387565,,,,,43765.8417277692,,,,,47152.9825076032
1. Energy,WEM,Total,262440.10219,260275.12459,258110.14699,255945.16939,253780.19179,248312.62753,242845.06327,237377.499,231909.93474,226442.37048,222108.40794,217774.4454,213440.48287,209106.52033,204772.55779,201291.07045,197809.5831,194328.09576,190846.60841,187365.12106,184940.63004,182516.13902,180091.64799,177667.15697,175242.66595,174908.43457,174574.2032,174239.97183,173905.74046,173571.50908,0.0,0.0,0.0,0.0,253780.191794227,0.0,0.0,0.0,0.0,226442.370477416,0.0,0.0,0.0,0.0,204772.557794919,0.0,0.0,0.0,0.0,187365.121063696,0.0,0.0,0.0,0.0,175242.665945379,0.0,0.0,0.0,0.0,173571.509083438
1.A.1. Energy industries,WAM,ESR,7325.06373,6609.30478,5893.54582,5177.78686,4462.02791,4500.49122,4538.95453,4577.41785,4615.88116,4654.34447,4653.54736,4652.75025,4651.95314,4651.15603,4650.35892,4640.98049,4631.60206,4622.22363,4612.8452,4603.46678,4604.88593,4606.30509,4607.72425,4609.1434,4610.56256,4885.61308,5160.6636,5435.71412,5710.76463,5985.81515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,ETS,27880.68479,26709.00296,25537.32112,24365.63928,23193.95745,23237.23045,23280.50345,23323.77644,23367.04944,23410.32244,23287.4521,23164.58176,23041.71142,22918.84108,22795.97074,22687.59604,22579.22134,22470.84664,22362.47193,22254.09723,22188.46771,22122.83818,22057.20866,21991.57914,21925.94961,22803.82499,23681.70037,24559.57576,25437.45114,26315.32652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,Total,35205.74853,33318.30773,31430.86694,29543.42615,27655.98535,27737.72167,27819.45798,27901.19429,27982.9306,28064.66691,27940.99946,27817.33201,27693.66456,27569.99711,27446.32966,27328.57653,27210.8234,27093.07027,26975.31714,26857.56401,26793.35364,26729.14327,26664.93291,26600.72254,26536.51217,27689.43807,28842.36397,29995.28987,31148.21577,32301.14167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WEM,ESR,7325.06373,6609.30478,5893.54582,5177.78686,4462.02791,4500.49122,4538.95453,4577.41785,4615.88116,4654.34447,4653.54736,4652.75025,4651.95314,4651.15603,4650.35892,4640.98049,4631.60206,4622.22363,4612.8452,4603.46678,4604.88593,4606.30509,4607.72425,4609.1434,4610.56256,4885.61308,5160.6636,5435.71412,5710.76463,5985.81515,,,,,4462.02790697989,,,,,4654.34447045074,,,,,4650.35891788977,,,,,4603.46677600033,,,,,4610.56255910299,,,,,5985.81515267872
