Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2025,Reported Value 2030,Reported Value 2035,Reported Value 2040,Reported Value 2045,Reported Value 2050
1. Energy,WAM,ESR,10189.38,10177.76,10166.14,10154.52,10142.9,10140.58,10138.26,10135.94,10133.62,10131.3,9945.92,9760.54,9575.16,9389.78,9204.4,9021.02,8837.64,8654.26,8470.88,8287.5,7996.46,7705.42,7414.38,7123.34,6832.3,6546.9,6261.5,5976.1,5690.7,5405.3,10142.9262764005,10131.3066846985,9204.39601353801,8287.5091201933,6832.29179882856,5405.29381371702
1. Energy,WAM,ETS,5234.18,5132.56,5030.94,4929.32,4827.7,4761.48,4695.26,4629.04,4562.82,4496.6,4402.4,4308.2,4214.0,4119.8,4025.6,3931.42,3837.24,3743.06,3648.88,3554.7,3526.78,3498.86,3470.94,3443.02,3415.1,3387.18,3359.26,3331.34,3303.42,3275.5,4827.69935129179,4496.55384331122,4025.61654282875,3554.67924234628,3415.08820970775,3275.49717706922
1. Energy,WAM,Total,15441.3,15329.1,15216.9,15104.7,14992.5,14924.98,14857.46,14789.94,14722.42,14654.9,14375.04,14095.18,13815.32,13535.46,13255.6,12977.74,12699.88,12422.02,12144.16,11866.3,11546.78,11227.26,10907.74,10588.22,10268.7,9954.82,9640.94,9327.06,9013.18,8699.3,14992.4741282524,14654.9076231299,13255.604064012,11866.3242827098,10268.7033954151,8699.3018443736
1. Energy,WEM,ESR,10274.54,10348.08,10421.62,10495.16,10568.7,10650.84,10732.98,10815.12,10897.26,10979.4,10818.28,10657.16,10496.04,10334.92,10173.8,10014.76,9855.72,9696.68,9537.64,9378.6,9185.68,8992.76,8799.84,8606.92,8414.0,8226.62,8039.24,7851.86,7664.48,7477.1,10568.7203141579,10979.3672044678,10173.7756269855,9378.59054675886,8414.01775695754,7477.06805898498
1. Energy,WEM,ETS,5287.06,5238.32,5189.58,5140.84,5092.1,5060.3,5028.5,4996.7,4964.9,4933.1,4869.28,4805.46,4741.64,4677.82,4614.0,4550.18,4486.36,4422.54,4358.72,4294.9,4248.42,4201.94,4155.46,4108.98,4062.5,4016.0,3969.5,3923.0,3876.5,3830.0,5092.06744178745,4933.06408679833,4613.98253769178,4294.90098858523,4062.45302675968,3830.00506493413
1. Energy,WEM,Total,15579.32,15605.14,15630.96,15656.78,15682.6,15733.98,15785.36,15836.74,15888.12,15939.5,15714.28,15489.06,15263.84,15038.62,14813.4,14590.26,14367.12,14143.98,13920.84,13697.7,13457.72,13217.74,12977.76,12737.78,12497.8,12263.36,12028.92,11794.48,11560.04,11325.6,15682.6399688392,15939.4858110537,14813.3789588666,13697.6786039352,12497.8193564484,11325.5832007904
1.A.1. Energy industries,WAM,ESR,204.28,204.56,204.84,205.12,205.4,209.02,212.64,216.26,219.88,223.5,223.86,224.22,224.58,224.94,225.3,225.66,226.02,226.38,226.74,227.1,216.94,206.78,196.62,186.46,176.3,166.12,155.94,145.76,135.58,125.4,205.448993275082,223.505452444125,225.311314962632,227.117177481137,176.258072447432,125.398967413726
1.A.1. Energy industries,WAM,ETS,3399.28,3308.26,3217.24,3126.22,3035.2,2985.46,2935.72,2885.98,2836.24,2786.5,2713.8,2641.1,2568.4,2495.7,2423.0,2350.3,2277.6,2204.9,2132.2,2059.5,2064.62,2069.74,2074.86,2079.98,2085.1,2090.24,2095.38,2100.52,2105.66,2110.8,3035.18503840068,2786.51021925549,2422.98843214688,2059.46664503827,2085.11219056999,2110.75773610171
1.A.1. Energy industries,WAM,Total,3603.48,3512.76,3422.04,3331.32,3240.6,3194.48,3148.36,3102.24,3056.12,3010.0,2937.66,2865.32,2792.98,2720.64,2648.3,2575.96,2503.62,2431.28,2358.94,2286.6,2281.56,2276.52,2271.48,2266.44,2261.4,2256.36,2251.32,2246.28,2241.24,2236.2,3240.63403167576,3010.01567169961,2648.29974710951,2286.5838225194,2261.37026301742,2236.15670351544
1.A.1. Energy industries,WEM,ESR,206.4,208.8,211.2,213.6,216.0,221.04,226.08,231.12,236.16,241.2,242.38,243.56,244.74,245.92,247.1,248.3,249.5,250.7,251.9,253.1,241.9,230.7,219.5,208.3,197.1,185.92,174.74,163.56,152.38,141.2,215.963134247309,241.159904592784,247.117844597291,253.075784601798,197.138936528375,141.202088454953
