Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2022,Reported Value 2023,Reported Value 2024,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1. Energy,WAM,ESR,30338.26207,30429.57625,30520.89044,30612.20462,30703.5188,30474.73065,30245.94251,30017.15437,29788.36622,29559.57808,29138.14171,28716.70535,28295.26899,27873.83262,27452.39626,26667.67921,25882.96215,25098.2451,24313.52804,23528.81099,22904.15621,22279.50143,21654.84665,21030.19187,20405.53709,20190.28867,19975.04025,19759.79183,19544.5434,19329.29498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,ETS,12401.37466,12331.06917,12260.76368,12190.45819,12120.1527,11222.66925,10325.18579,9427.70234,8530.21888,7632.73543,7594.47852,7556.22161,7517.9647,7479.70779,7441.45088,7342.48989,7243.52889,7144.5679,7045.6069,6946.64591,6751.79529,6556.94467,6362.09406,6167.24344,5972.39282,6362.55803,6752.72324,7142.88845,7533.05365,7923.21886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WAM,Total,42739.63605,42760.64542,42781.65412,42802.66281,42823.6715,41697.3999,40571.1283,39444.8567,38318.58511,37192.31351,36732.62023,36272.92696,35813.23369,35353.54042,34893.84714,34010.16909,33126.49104,32242.81299,31359.13494,30475.45689,29655.9515,28836.4461,28016.94071,27197.43531,26377.92991,26552.8467,26727.76349,26902.68027,27077.59706,27252.51384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,WEM,ESR,30338.26207,30429.57625,30520.89044,30612.20462,30703.5188,30474.73065,30245.94251,30017.15437,29788.36622,29559.57808,29138.14171,28716.70535,28295.26899,27873.83262,27452.39626,26667.67921,25882.96215,25098.2451,24313.52804,23528.81099,22904.15621,22279.50143,21654.84665,21030.19187,20405.53709,20190.28867,19975.04025,19759.79183,19544.5434,19329.29498,,,,,30703.5187963762,,,,,29559.578078158,,,,,27452.3962614147,,,,,23528.8109888709,,,,,20405.5370914739,,,,,19329.2949815482
1. Energy,WEM,ETS,12401.37466,12331.06917,12260.76368,12190.45819,12120.1527,11222.66925,10325.18579,9427.70234,8530.21888,7632.73543,7594.47852,7556.22161,7517.9647,7479.70779,7441.45088,7342.48989,7243.52889,7144.5679,7045.6069,6946.64591,6751.79529,6556.94467,6362.09406,6167.24344,5972.39282,6362.55803,6752.72324,7142.88845,7533.05365,7923.21886,,,,,12120.1527048536,,,,,7632.735429165,,,,,7441.45088125452,,,,,6946.64590534432,,,,,5972.39282228133,,,,,7923.21886264789
1. Energy,WEM,Total,42739.63605,42760.64542,42781.65412,42802.66281,42823.6715,41697.3999,40571.1283,39444.8567,38318.58511,37192.31351,36732.62023,36272.92696,35813.23369,35353.54042,34893.84714,34010.16909,33126.49104,32242.81299,31359.13494,30475.45689,29655.9515,28836.4461,28016.94071,27197.43531,26377.92991,26552.8467,26727.76349,26902.68027,27077.59706,27252.51384,,,,,42823.6715012297,,,,,37192.313507323,,,,,34893.8471426692,,,,,30475.4568942152,,,,,26377.9299137552,,,,,27252.5138441961
1.A.1. Energy industries,WAM,ESR,1209.95496,1190.92004,1171.88511,1152.85018,1133.81525,1320.67265,1507.53005,1694.38744,1881.24484,2068.10224,2074.61593,2081.12963,2087.64333,2094.15702,2100.67072,2060.14224,2019.61376,1979.08528,1938.5568,1898.02833,1910.37131,1922.7143,1935.05729,1947.40027,1959.74326,1973.04303,1986.34279,1999.64256,2012.94233,2026.24209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,ETS,10915.90479,10734.29362,10552.68244,10371.07127,10189.4601,9199.67794,8209.89578,7220.11363,6230.33147,5240.54931,5161.16581,5081.78231,5002.39881,4923.01532,4843.63182,4737.423,4631.21419,4525.00537,4418.79655,4312.58774,4341.26498,4369.94221,4398.61945,4427.29669,4455.97393,4780.44644,5104.91895,5429.39147,5753.86398,6078.3365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WAM,Total,12125.85905,11925.21365,11724.56755,11523.92145,11323.27536,10520.35059,9717.42583,8914.50107,8111.57631,7308.65155,7235.78174,7162.91194,7090.04214,7017.17234,6944.30254,6797.56524,6650.82795,6504.09065,6357.35336,6210.61606,6251.63629,6292.65651,6333.67674,6374.69696,6415.71719,6753.48947,7091.26175,7429.03403,7766.80631,8104.57859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.1. Energy industries,WEM,ESR,1209.95496,1190.92004,1171.88511,1152.85018,1133.81525,1320.67265,1507.53005,1694.38744,1881.24484,2068.10224,2074.61593,2081.12963,2087.64333,2094.15702,2100.67072,2060.14224,2019.61376,1979.08528,1938.5568,1898.02833,1910.37131,1922.7143,1935.05729,1947.40027,1959.74326,1973.04303,1986.34279,1999.64256,2012.94233,2026.24209,,,,,1133.81525391783,,,,,2068.10223725872,,,,,2100.67071999606,,,,,1898.02832518764,,,,,1959.74326111764,,,,,2026.24209193391
